title;category;price;brand;specification;query;original_price;original_price_checked;capacity;shelf_life;order;Discount;Promo;_query_key;item_code;capacity_unit;pieces_per_package;package_unit;price_per_piece;original_price_per_piece;estimation_discount;capacity_category;shelf_life_unit;is_new_product
雅媽吉茶碗蒸高湯包;米油沖泡;49;雅媽吉;規格：15ml毫升x3x1bag袋;雅媽吉茶碗蒸高湯包;58;1;15,0;25,0;8442;15.52%;1;雅媽吉茶碗蒸高湯包;14632014001;ml;3;bag;16,333333333333332;19,33333333333333;15,517241379310343;volume;月;0
統一大豆沙拉油760ml;米油沖泡;75;統一;規格：760ml毫升x1x1bottle瓶;統一沙拉油760ml;79;1;760,0;12,0;8133;5.06%;1;統一沙拉油760ml;14610001001;ml;1;bottle;75,0;79,0;5,063291139240507;volume;月;0
【限量】台糖大豆沙拉油2L;米油沖泡;128;台糖;規格：2l公升x1x1bottle瓶;台糖大豆沙拉油2L;138;1;2000,0;12,0;8134;7.25%;1;台糖大豆沙拉油2L;14610002001;ml;1;bottle;128,0;138,0;7,246376811594203;volume;月;0
福壽不飽和大豆沙拉油2L;米油沖泡;126;福壽;規格：2l公升x1x1bottle瓶;福壽不飽和大豆沙拉油2L;138;1;2000,0;24,0;8137;8.70%;0;福壽不飽和大豆沙拉油2L;14610008001;ml;1;bottle;126,0;138,0;8,695652173913043;volume;月;0
福壽大豆沙拉油 600cc;米油沖泡;50;福壽;規格：600ml毫升x1x1bottle瓶;福壽大豆沙拉油600cc;0;1;600,0;12,0;8138;0.00%;0;福壽大豆沙拉油600cc;14610009001;ml;1;bottle;50,0;0,0;0,0;volume;月;0
泰山沙拉油600ml;米油沖泡;59;泰山;規格：600ml毫升x1x1bottle瓶;泰山沙拉油600ml;0;1;600,0;12,0;8139;0.00%;1;泰山沙拉油600ml;14610010001;ml;1;bottle;59,0;0,0;0,0;volume;月;0
【限量】台糖大豆沙拉油 3L;米油沖泡;169;台糖;規格：3l公升x1x1bottle瓶;台糖大豆沙拉油 3L;189;1;3000,0;12,0;8140;10.58%;0;台糖大豆沙拉油3L;14610011001;ml;1;bottle;169,0;189,0;10,582010582010582;volume;月;0
得意的一天100％葵花油1L;米油沖泡;143;得意的一天;規格：1l公升x1x1bottle瓶;得意的一天100％葵花油1L;0;1;1000,0;24,0;8142;0.00%;0;得意的一天100%葵花油1L;14611002001;ml;1;bottle;143,0;0,0;0,0;volume;月;0
得意的一天單元純葵花油;米油沖泡;341;得意的一天;規格：2.4l公升x1x1bottle瓶;得意的一天單元純葵花油;0;1;2400,0;24,0;8144;0.00%;1;得意的一天單元純葵花油;14611007001;ml;1;bottle;341,0;0,0;0,0;volume;月;0
得意的一天芥花油2.4L;米油沖泡;229;得意的一天;規格：2.4l公升x1x1bottle瓶;得意的一天不飽和葵花油2400ml;247;1;2400,0;24,0;8145;7.29%;1;得意的一天不飽和葵花油2400ml;14611008001;ml;1;bottle;229,0;247,0;7,28744939271255;volume;月;0
福壽100％純芥花油2L;米油沖泡;209;福壽;規格：2l公升x1x1bottle瓶;福壽100％純葵花油2L;249;1;2000,0;24,0;8146;16.06%;1;福壽100%純葵花油2L;14611009001;ml;1;bottle;209,0;249,0;16,06425702811245;volume;月;0
得意的一天100％葵花油3.5L;米油沖泡;371;得意的一天;規格：3.5l公升x1x1bottle瓶;得意的一天100％葵花油3.5L;434;1;3500,0;24,33333333333333;8147;14.52%;1;得意的一天100%葵花油3.5L;14611010001;ml;1;bottle;371,0;434,0;14,516129032258066;volume;月;0
得意的一天三益葵花油1.58L;米油沖泡;238;得意的一天;規格：1.58l公升x1x1can罐;得意的一天三益葵花油1.58L;267;1;1580,0;24,0;8148;10.86%;1;得意的一天三益葵花油1.58L;14611013001;ml;1;can;238,0;267,0;10,861423220973784;volume;月;0
台糖100％葵花油 2L;米油沖泡;219;台糖;規格：2l公升x1x1bottle瓶;台糖100％葵花油 2L;237;1;2000,0;18,0;8149;7.59%;1;台糖100%葵花油2L;14611014001;ml;1;bottle;219,0;237,0;7,59493670886076;volume;月;0
