title;category;price;brand;specification;query;original_price;original_price_checked;capacity;shelf_life;order;Discount;Promo;item_code;capacity_unit;pieces_per_package;package_unit;price_per_piece;original_price_per_piece;estimation_discount;capacity_category;shelf_life_unit;log_price_per_piece;log_original_price_per_piece;shelf_life_normalized;log_price_per_piece_normalized;log_original_price_per_piece_normalized;estimation_discount_normalized;is_new_product
【汽車百貨】國光牌9000SM車用機油5W/50 1L;休閒娛樂;269;國光牌;規格：1l公升x1x1bottle瓶;9000SM車用機油5W/50 1L;329;1;1000,0;33,3;9900;18.24%;1;35301020001,0;ml;1;bottle;269,0;329,0;18,237082066869306;volume;月;5,598421958998375;5,799092654460526;0,0027639134122096;0,5149654253743233;0,6222680163906434;0,2760992504147543;1
翠筠優質栽培土25L;休閒娛樂;180;翠筠;規格：25l公升x1x1pack包;優質栽培土25L;0;1;25000,0;999,0;9873;0.00%;1;34122002001,0;ml;1;pack;180,0;0,0;0,0;volume;;5,198497031265826;0,0;0,0833205889304433;0,4731094796429878;0,0;0,0;0
【汽車百貨】電瓶水LANDA-500cc;休閒娛樂;15;;規格：500cc西西x1x1bottle瓶;電瓶水LANDA500cc;0;1;500,0;33,3;9892;0.00%;0;35210002001,0;cc;1;bottle;15,0;0,0;0,0;volume;月;2,772588722239781;0,0;0,0027639134122096;0,2192151122488802;0,0;0,0;0
【汽車百貨】SHELL Ultra 5W40 全合成汽車機油 (平行輸入);休閒娛樂;239;Shell;規格：1l公升x1x1bottle瓶;(平)Shell Ultra 5W40 全合成機油;0;1;1000,0;60,0;9893;0.00%;0;35300004001,0;ml;1;bottle;239,0;0,0;0,0;volume;月;5,480638923341991;0,0;0,0049911716045434;0,5026383109419805;0,0;0,0;0
【汽車百貨】新金美孚1號5W/50 FS X2全合成機油;休閒娛樂;279;MOBIL 美孚;規格：1l公升x1x1bottle瓶;新金美孚1號5W/50 FS X2全合成機;0;1;1000,0;33,3;9899;0.00%;1;35301005001,0;ml;1;bottle;279,0;0,0;0,0;volume;月;5,634789603169249;0,0;0,0027639134122096;0,5187716450801643;0,0;0,0;0
【汽車百貨】中油9000SM車用機油10W/40;休閒娛樂;259;台灣中油;規格：1l公升x1x1bottle瓶;中油9000SM車用機油10W/40;299;1;1000,0;33,3;9902;13.38%;1;35302003001,0;ml;1;bottle;259,0;299,0;13,377926421404682;volume;月;5,560681631015528;5,703782474656201;0,0027639134122096;0,5110155412575992;0,6120408170574764;0,2025343442284374;0
【汽車百貨】美孚Special Plus 10W40 機油;休閒娛樂;109;MOBIL 美孚;規格：1l公升x1x1bottle瓶;美孚Special Plus 10w40 機油;119;1;1000,0;60,0;9905;8.40%;0;35302040001,0;ml;1;bottle;109,0;119,0;8,403361344537815;volume;月;4,700480365792417;4,787491742782046;0,0049911716045434;0,4209873010092624;0,5137188121966135;0,1272222036224848;0
【汽車百貨】新美孚自動變速箱油1公升;休閒娛樂;149;MOBIL 美孚;規格：1l公升x1x1bottle瓶;新美孚自動變速箱油1公升;0;1;1000,0;33,3;9908;0.00%;0;;ml;1;bottle;149,0;0,0;0,0;volume;月;5,010635294096256;0,0;0,0027639134122096;0,4534479628664632;0,0;0,0;0
【汽車百貨】Mobil1 ESP 5w30全合成機油;休閒娛樂;259;MOBIL 美孚;規格：946ml毫升x1x1bottle瓶;MOBIL  5W/30 全合成機油;0;1;946,0;60,0;9910;0.00%;1;35307904001,0;ml;1;bottle;259,0;0,0;0,0;volume;月;5,560681631015528;0,0;0,0049911716045434;0,5110155412575992;0,0;0,0;0
【汽車百貨】美孚1號0W20先進全合成機油;休閒娛樂;249;MOBIL 美孚;規格：1l公升x1x1bottle瓶;MOBIL1 0W20全合成機油;299;1;1000,0;60,0;9915;16.72%;0;35307912001,0;ml;1;bottle;249,0;299,0;16,722408026755854;volume;月;5,521460917862246;5,703782474656201;0,0049911716045434;0,5069107207589233;0,6120408170574764;0,2531679302855468;0
【汽車百貨】愛鐵強汽車引擎機油保護劑TP3000;休閒娛樂;369;;規格：236ml毫升x1x1bottle瓶;愛鐵強油精;478;1;236,0;33,3;9918;22.80%;0;35311004001,0;ml;1;bottle;369,0;478,0;22,80334728033473;volume;月;5,91350300563827;6,171700597410915;0,0027639134122096;0,5479416523474799;0,6622504790562113;0,3452299588257847;0
【汽車百貨】3M化油器清潔劑;休閒娛樂;78;3M;規格：473ml毫升x1x1bottle瓶;3M PN8890化油器清潔劑;0;1;473,0;999,0;9919;0.00%;0;35330011001,0;ml;1;bottle;78,0;0,0;0,0;volume;標示於包裝上;4,3694478524670215;0,0;0,0833205889304433;0,3863416013985562;0,0;0,0;0
【機車百貨】FGK SX 5W50機車全合成機油;休閒娛樂;198;FGK;規格：800ml毫升x1x1bottle瓶;FGK 5W/50 機車全合成機油;0;1;800,0;999,0;9922;0.00%;1;35751018001,0;ml;1;bottle;198,0;0,0;0,0;volume;;5,293304824724492;0,0;0,0833205889304433;0,4830320165561342;0,0;0,0;0
【機車百貨】新美孚四行程超優質機油15W40;休閒娛樂;99;MOBIL 美孚;規格：1l公升x1x1bottle瓶;新美孚四行程超優質15W40機油;129;1;1000,0;33,3;9923;23.26%;0;35751019001,0;ml;1;bottle;99,0;129,0;23,25581395348837;volume;月;4,605170185988092;4,867534450455582;0,0027639134122096;0,411012184588909;0,5223077449656454;0,3520800518854813;0
SHELL Adv 4T 10W40 全合成機油<平行輸入>;休閒娛樂;219;Shell;規格：1l公升x1x1bottle瓶;(平)Shell  機油 10W40 4T;0;1;1000,0;60,0;9924;0.00%;0;35751021001,0;ml;1;bottle;219,0;0,0;0,0;volume;月;5,393627546352362;0,0;0,0049911716045434;0,4935317431320283;0,0;0,0;0
【機車百貨】光陽機車齒輪油-110cc;休閒娛樂;49;;規格：110cc西西x1x1bottle瓶;光陽機車齒輪油-110cc;0;1;110,0;33,3;9927;0.00%;0;35752005001,0;cc;1;bottle;49,0;0,0;0,0;volume;月;3,912023005428146;0,0;0,0027639134122096;0,3384677424661431;0,0;0,0;0
