title;category;capacity_unit;item_code;cluster_local;cluster_global;mixed_cluster;cluster_size;product_type;is_new_association;pair_id;allocation_type
可口可樂纖維+600ml;飲料零食;ml;10000001001;7;7;7;3;1000;False;;common allocation
可口可樂2L;飲料零食;ml;10000002001;5;5;5;8;1000;False;;common allocation
百事可樂330ml;飲料零食;ml;10000003001;11;11;11;9;1000;False;;common allocation
百事可樂2L;飲料零食;ml;10000004001;5;5;5;8;1000;False;;common allocation
可口可樂330ml;飲料零食;ml;10000005001;11;11;11;9;1000;False;;common allocation
可口可樂 Zero 330ml;飲料零食;ml;10000007001;11;11;11;9;1000;False;;common allocation
可口可樂 1250ml;飲料零食;ml;10000008001;12;12;12;4;1000;False;;common allocation
可口可樂ZERO無糖零卡2L;飲料零食;ml;10000010001;5;5;5;8;1000;False;;common allocation
可口可樂 Can 250 ml;飲料零食;ml;10000011001;0;0;0;5;1000;False;;common allocation
可口可樂600ml;飲料零食;ml;10000012001;1;1;1;12;1000;False;;common allocation
可口可樂 1250ml;飲料零食;ml;10000022001;12;12;12;4;1000;False;;common allocation
百事可樂600ml;飲料零食;ml;10000023001;1;1;1;12;1000;False;;common allocation
可口可樂纖維+600ml;飲料零食;ml;10000027001;7;7;7;3;1000;False;;common allocation
可口可樂歡聚雙享組 350mlx12;飲料零食;ml;10000998001;11;11;11;9;1000;False;;common allocation
七喜汽水2L;飲料零食;ml;10001001001;5;5;5;8;1000;False;;common allocation
雪碧汽水2L;飲料零食;ml;10001004001;5;5;5;8;1000;False;;common allocation
七喜汽水330ml;飲料零食;ml;10001005001;11;11;11;9;1000;False;;common allocation
雪碧汽水330ml;飲料零食;ml;10001006001;11;11;11;9;1000;False;;common allocation
[限量]黑松沙士600 ml;飲料零食;ml;10001007001;1;1;1;12;1000;False;;common allocation
黑松汽水2L;飲料零食;ml;10001008001;9;9;9;5;1000;False;;common allocation
[限量]黑松沙士245ml;飲料零食;ml;10001009001;0;0;0;5;1000;False;;common allocation
美粒果柳橙汁Pet1250ml;飲料零食;ml;10001010001;5;5;5;8;1000;False;;common allocation
雪碧250ml;飲料零食;ml;10001012001;0;0;0;5;1000;False;;common allocation
雪碧600ml;飲料零食;ml;10001015001;1;1;1;12;1000;False;;common allocation
黑松CC檸檬氣泡飲can-330ml;飲料零食;ml;10001020001;11;11;11;9;1000;False;;common allocation
黑松C&C氣泡飲(檸檬)500ml;飲料零食;ml;10001022001;1;1;1;12;1000;False;;common allocation
