item_code;cluster
10000001001;1
10000002001;8
10000003001;9
10000004001;9
10000005001;8
10000007001;8
10000008001;2
10000010001;10
10000011001;8
10000012001;10
10000023001;1
10000998001;10
10001001001;5
10001004001;9
10001005001;9
10001006001;8
10001007001;1
10001008001;5
10001009001;8
10001012001;8
10001015001;10
10001020001;9
10001022001;10
10001025001;8
10001035001;5
10002001001;8
10002003001;9
10002005001;8
10002007001;9
10002008001;8
10002011001;2
10002012001;6
10002013001;4
10002014001;9
10002017001;9
10002018001;8
10002019001;8
10002025001;5
10002026001;3
10002035001;5
10002037001;3
10002038001;3
10002039001;4
10002040001;5
10002045001;10
10002046001;9
10002051001;4
10002069001;7
10002071001;10
10002072001;7
10002073001;6
10002074001;5
10002078001;4
10002102001;8
10002899001;3
10002906001;10
10002911001;3
10002916001;1
10002918001;4
10002919001;2
10002942001;10
10002943001;9
10002944001;9
10010001001;3
10010004001;8
10010007001;4
10010009001;1
10010012001;7
10010018001;2
10010019001;6
10010026001;10
10010027001;3
10010035001;8
10010042001;7
10010043001;7
10011001001;8
10011003001;9
10011007001;1
10011016001;8
10011021001;7
10011023001;9
10011028001;1
10012002001;3
10012004001;5
10012006001;5
10012009001;3
10012899001;9
10013003001;8
10013004001;4
10013005001;8
10013007001;2
10013012001;9
10014005001;4
10014006001;3
10014009001;9
10014018001;3
10014020001;10
10014023001;8
10014024001;1
10014027001;3
10014028001;8
10014029001;7
10014030001;1
10014032001;10
10014033001;8
10014037001;1
10014051001;9
10014055001;3
10014062001;3
10014067001;2
10014069001;3
10014073001;4
10014080001;5
10014081001;3
10014090001;8
10014092001;5
10014097001;3
10014103001;3
10014106001;7
10014110001;3
10014111001;2
10014113001;9
10014116001;2
10014126001;6
10014130001;7
10014898001;6
10015007001;8
10015011001;9
10016002001;1
10016006001;3
10016011001;1
10016014001;5
10016015001;9
10016018001;4
10016020001;5
10020002001;10
10020003001;1
10020004001;7
10020006001;3
10020007001;8
10020011001;9
10020012001;1
10020015001;10
10020016001;7
10020017001;3
10020018001;8
10020019001;7
10020024001;10
10020025001;7
10020027001;9
10020028001;4
10020033001;10
10020034001;5
10020036001;7
10020037001;3
10020041001;9
10020042001;6
10020046001;1
10020093001;4
10020094001;1
10021001001;8
10021005001;2
10021006001;8
10021007001;10
10021008001;8
10021009001;9
10021010001;5
10021015001;10
10021016001;8
10021017001;10
10021018001;7
10021021001;10
10021022001;7
10021025001;8
10021026001;9
10021027001;8
10021034001;5
10021035001;8
10021040001;4
10022003001;4
10022006001;2
10022008001;6
10022011001;1
10022012001;2
10022015001;1
10022016001;1
10022020001;2
10022024001;1
10022030001;9
10022910001;4
10022915001;4
10022916001;4
10023002001;3
10023004001;3
10023005001;4
10023008001;4
10023011001;3
10023017001;3
10023020001;7
10023023001;3
10023025001;3
10023031001;3
10023032001;3
10023035001;7
10023044001;3
10023049001;4
10023051001;3
10023054001;3
10023055001;3
10023058001;3
10023063001;4
10023066001;4
10023068001;3
10023073001;3
10023075001;3
10023078001;3
10023083001;3
10023087001;3
10023093001;3
10023102001;3
10023103001;3
10023104001;3
10023106001;1
10023110001;3
10023114001;4
10023124001;3
10023892001;4
10023998001;3
10024001001;1
10024003001;1
10024004001;10
10024005001;2
10024006001;3
10024007001;9
10024011001;5
10024014001;7
10030001001;1
10030005001;5
10030007001;8
10030008001;10
10030013001;8
10030014001;9
10030015001;7
10030017001;2
10030018001;7
10030019001;7
10030020001;2
10030021001;5
10030046001;9
10030048001;8
10030049001;5
10031001001;8
10031003001;2
10031004001;10
10031007001;10
10031011001;5
10031012001;10
10031013001;8
10031015001;4
10031017001;8
10031019001;10
10031023001;1
10031026001;7
10031031001;8
10031033001;8
10031899001;3
10031901001;10
10031909001;3
10031910001;8
10031911001;9
10031916001;5
10032001001;7
10032004001;2
10032006001;8
10032007001;3
10032008001;8
10032011001;9
10032013001;8
10032015001;5
10032019001;8
10032023001;2
10032046001;10
10032047001;8
10032048001;2
10032055001;9
10032059001;7
10032064001;9
10033001001;5
10033004001;8
10033010001;10
10033012001;7
10033013001;8
10033014001;10
10033015001;8
10033018001;8
10033022001;3
10033023001;2
10033026001;5
10033028001;9
10033031001;2
10033033001;4
10033034001;10
10033038001;5
10033041001;8
10033044001;5
10033053001;5
10033056001;9
10033057001;8
10033062001;3
10033064001;8
10033065001;10
10033068001;8
10033070001;8
10033075001;10
10034003001;8
10034007001;7
10034011001;8
10034013001;2
10034015001;1
10034016001;5
10034020001;10
10034022001;2
10034023001;5
10034025001;8
10034026001;7
10034031001;2
10034033001;7
10034041001;2
10034042001;8
10034044001;4
10034046001;1
10034049001;3
10034050001;10
10034057001;4
10034999001;8
10035001001;5
10035002001;5
10035003001;5
10035006001;10
10035011001;1
10035012001;9
10035013001;5
10035015001;8
10035021001;8
10035027001;4
10035028001;9
10035034001;8
10035035001;8
10035036001;1
10035041001;4
10035046001;4
10040001001;2
10040002001;9
10040003001;8
10040004001;10
10040005001;8
10040008001;9
10040009001;10
10040010001;9
10040011001;10
10040014001;4
10040015001;4
10040016001;10
10040017001;3
10040018001;5
10040019001;5
10040020001;9
10040021001;1
10040022001;10
10040023001;8
10040024001;4
10040025001;10
10040026001;5
10040027001;10
10040028001;4
10040031001;4
10040032001;9
10040034001;1
10040035001;7
10040037001;5
10040038001;7
10040039001;10
10040040001;5
10040041001;9
10040042001;5
10040044001;1
10040048001;2
10040049001;10
10040050001;7
10040056001;1
10040062001;8
10040063001;8
10040066001;9
10040078001;3
10040079001;5
10040082001;2
10040094001;5
10040111001;5
10041001001;4
10041003001;5
10041004001;5
10041008001;6
10041009001;1
10041014001;3
10041016001;3
10041033001;7
10041034001;5
10041038001;4
10041039001;5
10041058001;4
10041067001;8
10041069001;4
10041085001;10
10041087001;3
10051001001;3
10051034001;4
10052004001;3
10052014001;3
10052015001;3
10052017001;1
10052019001;2
10052020001;7
10052024001;4
10052025001;7
10052033001;3
10052035001;1
10052046001;3
10053901001;7
10053903001;3
10053904001;4
10100132001;7
10904008001;3
10904899001;3
11010001001;3
11010007001;2
11010012001;3
11010013001;4
11010016001;3
11010018001;3
11010019001;4
11010020001;3
11010022001;4
11010023001;4
11010025001;4
11010027001;4
11010035001;3
11010038001;3
11010042001;4
11010043001;4
11010045001;3
11010051001;3
11010055001;3
11010057001;3
11010059001;3
11010116001;3
11020002001;4
11020003001;3
11020010001;4
11020013001;3
11021002001;3
11021006001;3
11021013001;4
11021017001;4
11021018001;3
11021023001;3
11021025001;4
11021028001;3
11021029001;4
11021030001;4
11021047001;4
11021052001;3
11021060001;3
11021061001;4
11021064001;3
11021071001;1
11021095001;3
11022001001;3
11022002001;3
11022003001;4
11022007001;1
11022011001;2
11022012001;3
11022017001;3
11022021001;3
11022025001;4
11022031001;4
11022035001;3
11022036001;3
11022044001;3
11022051001;7
11022058001;3
11022059001;3
11022063001;3
11022067001;3
11022077001;3
11022082001;3
11022085001;3
11022087001;3
11023010001;4
11023015001;3
11030010001;4
11030016001;3
11030018001;4
11030062001;3
11030066001;4
11030079001;4
11030080001;3
11030095001;4
11030096001;3
11030097001;3
11030108001;3
11030128001;3
11030183001;3
11030183002;3
11031011001;3
11031022001;3
11031040001;3
11031901001;3
11031907001;4
11031908001;3
11031917001;3
11031918001;3
11032002001;7
11032003001;3
11032006001;3
11032008001;2
11032015001;3
11032016002;2
11032017001;3
11032021001;4
11032024001;2
11032026001;3
11032027001;1
11032028001;4
11032031001;4
11032035001;4
11032036001;2
11032043001;3
11032220001;1
11040001001;3
11040003001;3
11040004001;4
11040006001;5
11040007001;3
11040008001;3
11040009001;5
11040010001;5
11040011001;3
11040018001;4
11040020001;3
11040023001;3
11040026001;1
11040027001;3
11040029001;3
11040030001;7
11040035001;5
11040039001;4
11040044001;3
11040046001;4
11040047001;3
11040060001;3
11040062001;3
11041002001;4
11041005001;3
11041007001;3
11041014001;4
11041017001;4
11041019001;4
11041024001;3
11041031001;3
11042001001;3
11042002001;3
11042003001;3
11042005001;4
11042006001;3
11042007001;3
11042008001;4
11042009001;3
11042010001;4
11042015001;4
11042020001;3
11042022001;3
11042023001;3
11042028001;3
11042030001;3
11050002001;3
11050003001;4
11050004001;7
11050006001;4
11050008001;3
11050009001;3
11050011001;2
11050017001;7
11050019001;3
11050020001;7
11050022001;3
11050029001;4
11050031001;2
11050035001;5
11050037001;3
11050038001;4
11050039001;4
11050046001;1
11050047001;4
11050049001;3
11050053001;3
11050055001;3
11050059001;1
11050061001;3
11050062001;3
11050063001;3
11050064001;3
11050068001;3
11050074001;3
11050076001;4
11050077001;6
11050078001;3
11050087001;4
11050088001;3
11050093001;4
11050097001;3
11050101001;4
11050102001;3
11050103001;4
11050104001;3
11050111001;3
11050123001;4
11050129001;4
11050131001;4
11050140002;3
11051002001;7
11051003001;4
11051004001;3
11051006001;1
11051007001;4
11051009001;3
11051012001;4
11051013001;1
11051016001;3
11051023001;3
11051030001;3
11051037001;4
11051039001;3
11051044001;4
11051999001;3
11061001001;3
11061005001;3
11061008001;3
11061011001;4
11061015001;3
11061016001;3
11061023001;4
11061024001;3
11061027001;3
11061030001;3
11061031001;3
11061049001;3
11061050001;3
11061053001;3
11061055001;3
11061071001;7
11062015001;4
11062019001;3
11062023001;4
11062025001;4
11070001001;7
11070003001;4
11070004001;5
11070006001;3
11070007001;5
11070011001;1
11070012001;3
11070013001;3
11070014001;4
11070015001;3
11070018001;3
11070019001;3
11070027001;3
11070029001;1
11070030001;3
11070037001;3
11070040001;3
11070042001;3
11070046001;3
11070050001;3
11070051001;3
11070054001;3
11070062001;3
11070063001;3
11071001001;1
11071002001;4
11071004001;3
11071005001;4
11071008001;2
11071012001;3
11071013001;3
11071018001;4
11071032001;3
11071033001;4
11071034001;4
11071035001;3
11071898001;1
11071909001;3
11071916001;4
11072001001;1
11072004001;3
11072008001;3
11072011001;3
11072012002;3
11072017001;3
11072019001;3
11072036001;3
11072902001;3
11072903001;3
11072905001;3
11072906001;3
11073001001;3
11073002001;3
11073012001;3
11073025001;3
11073032001;3
11073039001;3
11073899001;3
11073900001;3
11073901001;3
11073902001;1
11073905001;3
11073907001;4
11074001001;3
11074007001;3
11074012001;3
11074015001;1
11074019001;3
11074020001;4
11074022001;3
11074027001;3
11074031001;4
11074046001;3
11074047001;3
11074048001;4
11075003001;4
11075004001;3
11075006001;3
11075039001;3
11076883001;3
11076886001;3
11076890001;3
11076928001;3
11100001001;1
11100003001;3
11100005001;4
11100008001;7
11100010001;4
11100011001;4
11100015001;4
11100017001;3
11100018001;4
11100019001;4
11100021001;3
11100107001;3
11100108001;4
11100112001;4
11101002001;3
11101014001;7
11101021001;3
11101023001;3
11101028001;7
11101029001;1
11101038001;4
11101039001;4
11101044001;3
11101055001;7
11102002001;7
11102003001;3
11102004001;3
11102007001;3
11102012001;3
11102013001;3
11102014001;3
11102043001;3
11103001001;3
11103002001;3
11103005001;4
11103007001;7
11103008001;3
11103011003;3
11103011004;3
11103015001;5
11103018001;4
11103019001;7
11103022001;5
11103023001;4
11103027001;4
11103031001;3
11103035001;1
11103039001;3
11103040001;3
11103046001;4
11103047001;3
11103051001;1
11103052001;4
11103054001;4
11103058001;1
11103065001;3
11103067001;4
11103068001;3
11103069001;4
11103070001;5
11103074001;4
11103076001;1
11103085001;3
11103086002;3
11103088001;2
11103090001;5
11103092001;3
11103094001;7
11103096001;1
11103098001;1
11103099001;3
11103100001;3
11103105001;3
11103106001;4
11103110001;3
11103112001;3
11103113001;3
11103115001;3
11103118001;3
11103128001;4
11103132001;3
11103133001;1
11103134001;7
11103135001;1
11103155001;3
11103156001;4
11103157001;3
11103176001;7
11103188001;3
11103188002;3
11103191001;3
11103206001;3
11103211001;3
11103220001;2
11103224001;3
11103233001;3
11103244001;3
11103256001;3
11103283001;3
11103289001;4
11103296001;3
11103313001;3
11103321002;3
11103322001;3
11103323001;3
11103346001;4
11103354001;3
11103365001;3
11103370001;3
11103375001;5
11103377001;3
11103884003;3
11104001001;3
11104005001;4
11104006001;4
11110006001;1
11110007001;7
11110013001;4
11110016001;3
11110026001;3
11110028001;3
11110029001;3
11110032001;3
11110065001;3
11110077003;2
11110082001;4
11110083001;3
11110085001;1
11110086001;3
11110087001;3
11110090001;4
11110091001;4
11110093001;1
11110095001;4
11111004001;4
11111007001;4
11111008001;4
11111011001;7
11111012001;4
11111013001;1
11111017001;5
11111019001;1
11111021001;7
11111022001;4
11111023001;3
11111030001;4
11111037001;4
11112001001;3
11112004001;3
11112005001;3
11112007001;3
11112017001;3
11112036001;3
12000011001;4
12000016001;3
12000020001;3
