title;category;price;brand;specification;query;original_price;original_price_checked;capacity;shelf_life;order;Discount;Promo;item_code;capacity_unit;pieces_per_package;package_unit;price_per_piece;original_price_per_piece;estimation_discount;capacity_category;shelf_life_unit;log_price_per_piece;log_original_price_per_piece;shelf_life_normalized;log_price_per_piece_normalized;log_original_price_per_piece_normalized;estimation_discount_normalized;capacity_normalized
C800彩瓷滑輪整理箱<摩登粉>;傢俱寢飾;199;好室喵;規格：1pc個x1x1pc個;C800彩瓷滑輪整理箱;299;1;10;9990;9589;33.44%;1;316600050010;pc;1;pc;1990;2990;3344481605351171;count;;5298317366548036;5703782474656201;8332058893044335;4835566267116747;6120408170574764;5063358605710936;0.0
KT-500 好運密封整理箱(顏色隨機出貨);傢俱寢飾;439;KEYWAY 聯府;規格：1set組x1x1set組;KT-500 好運密封整理箱;549;1;10;9990;9590;20.04%;1;316600160010;set;1;set;4390;5490;20036429872495447;count;標示於包裝上;60867747269123065;6309918278226516;8332058893044335;5660761852547941;677081840994373;3033403725716442;0.0
D300滑輪整理箱-SS;傢俱寢飾;109;好室喵;規格：1pc個x1x1pc個;D300滑輪整理箱;128;1;10;9990;9591;14.84%;1;316600180010;pc;1;pc;1090;1280;1484375;count;標示於包裝上;4700480365792417;4859812404361672;8332058893044335;42098730100926246;5214791356311077;22472609561752988;0.0
CF400(小)滑輪整理箱;傢俱寢飾;159;KEYWAY 聯府;規格：1pc個x1x1pc個;CF400(小)滑輪整理箱;175;1;10;9990;9592;9.14%;1;316600250010;pc;1;pc;1590;1750;9142857142857142;count;;5075173815233827;5170483995038151;8332058893044335;4602025326644262;554815556688371;1384177575412635;0.0
CF601(中)滑輪整理箱;傢俱寢飾;165;KEYWAY 聯府;規格：1pc個x1x1pc個;CF601(中)滑輪整理箱;179;1;10;9990;9593;7.82%;1;316600260010;pc;1;pc;1650;1790;782122905027933;count;標示包裝上;5111987788356544;519295685089021;8332058893044335;4640554649382797;5572269924537467;11840904538271495;0.0
CF801(大)滑輪整理箱;傢俱寢飾;199;KEYWAY 聯府;規格：1pc個x1x1pc個;CF801(大)滑輪整理箱;219;1;10;9990;9594;9.13%;1;316600270010;pc;1;pc;1990;2190;91324200913242;count;;5298317366548036;5393627546352362;8332058893044335;4835566267116747;5787598361335103;13825974640251776;0.0
A401透明滑輪整理箱附蓋-S;傢俱寢飾;189;好室喵;規格：1pc個x1x1pc個;A401透明滑輪整理箱附蓋-S;219;1;10;9990;9595;13.70%;1;316600380010;pc;1;pc;1890;2190;13698630136986301;count;;5247024072160486;5393627546352362;8332058893044335;4781882958140757;5787598361335103;20738961960377666;0.0
A601透明滑輪整理箱附蓋-M;傢俱寢飾;309;好室喵;規格：1pc個x1x1pc個;A601透明滑輪整理箱附蓋-M;349;1;10;9990;9596;11.46%;1;316600390010;pc;1;pc;3090;3490;11461318051575931;count;;5736572297479192;5857933154483459;8332058893044335;5294241716770437;6285818595061765;17351796253381888;0.0
CF1201(特大)滑輪整理箱;傢俱寢飾;239;KEYWAY 聯府;規格：1pc個x1x1pc個;CF1201(特大)滑輪整理箱;249;1;10;9990;9598;4.02%;1;316610090010;pc;1;pc;2390;2490;4016064257028113;count;;5480638923341991;5521460917862246;8332058893044335;5026383109419805;5924769162454824;6080097281556505;0.0
CF1501(超大)滑輪整理箱;傢俱寢飾;359;KEYWAY 聯府;規格：1pc個x1x1pc個;CF1501(超大)滑輪整理箱;439;1;10;9990;9599;18.22%;0;316610100010;pc;1;pc;3590;4390;18223234624145785;count;;5886104031450156;60867747269123065;8332058893044335;5450740892195348;6531375615492337;2758896078555935;0.0
