title;category;price;brand;specification;query;original_price;original_price_checked;capacity;shelf_life;order;Discount;Promo;item_code;capacity_unit;pieces_per_package;package_unit;price_per_piece;original_price_per_piece;estimation_discount;capacity_category;shelf_life_unit;log_price_per_piece;log_original_price_per_piece;shelf_life_normalized;log_price_per_piece_normalized;log_original_price_per_piece_normalized;estimation_discount_normalized;capacity_normalized
來復易漏尿專用棉墊多量型120cc16片;嬰童保健;109;來復易;規格：16pc片x1x1pc包;來復易瞬吸安心漏尿專用棉墊多量型;119;1;160;360;4408;8.40%;1;121200400010;pc;1;pc;1090;1190;8403361344537815;count;月;4700480365792417;4787491742782046;2989141768737748;42098730100926246;5137188121966135;12722220362248485;0.025041736227045076
來復易漏尿專用棉墊中量型80cc20片;嬰童保健;90;來復易;規格：20pc片x1x1pc包;來復易瞬吸安心漏尿專用棉墊中量型;97;1;200;360;4409;7.22%;0;121200410010;pc;1;pc;900;970;7216494845360824;count;月;451085950651685;4584967478670572;2989141768737748;4011416753805569;49198707249028445;10925370682219573;0.03171953255425709
康乃馨替換式紙尿片32片;嬰童保健;129;康乃馨;規格：32pc片x1x1pack包;康乃馨替換式紙尿片32片;139;1;320;333;4679;7.19%;1;121300010010;pc;1;pack;1290;1390;7194244604316546;count;月;4867534450455582;4941642422609304;2763913412209601;43847109913483323;5302598546453138;10891685058327838;0.05175292153589316
來復易輕薄安心活力褲中號18片;嬰童保健;329;來復易;規格：18pc片x1x1pack包;來復易輕薄安心活力褲中號18片;349;1;180;360;4680;5.73%;1;121300020010;pc;1;pack;3290;3490;5730659025787966;count;月;5799092654460526;5857933154483459;2989141768737748;5359675214095826;6285818595061765;8675898126690944;0.028380634390651086
來復易整夜一片安心成人紙尿片;嬰童保健;209;來復易;規格：33pc片x1x1pack包;來復易整夜一片安心成人紙尿片;222;1;330;360;4682;5.86%;1;121300040010;pc;1;pack;2090;2220;58558558558558556;count;月;53471075307174685;5407171771460119;2989141768737748;4886629812349526;5802131907518177;8865439144323606;0.05342237061769616
安安床墊型看護墊超大尺寸160x70cm;嬰童保健;99;安安;規格：5pc片x1x1pack包;安安床墊型看護墊-超大尺寸 安安床墊型;145;1;50;360;4684;31.72%;1;121300060010;pc;1;pack;990;1450;31724137931034484;count;月;4605170185988092;4983606621708336;2989141768737748;411012184588909;5347627968276035;48028575353757386;0.006677796327212019
來復易防漏安心復健褲L;嬰童保健;329;來復易;規格：14pc片x1x1pack包;來復易復健照護成人紙尿褲M;349;1;140;333;4686;5.73%;1;121300080010;pc;1;pack;3290;3490;5730659025787966;count;月;5799092654460526;5857933154483459;2763913412209601;5359675214095826;6285818595061765;8675898126690944;0.021702838063439065
來復易防漏安心復健褲L;嬰童保健;329;來復易;規格：14pc片x1x1pack包;來復易復健照護成人紙尿褲L;349;1;140;333;4688;5.73%;1;121300100010;pc;1;pack;3290;3490;5730659025787966;count;月;5799092654460526;5857933154483459;2763913412209601;5359675214095826;6285818595061765;8675898126690944;0.021702838063439065
[安親]輕鬆好固定看護墊XXL號 60x90CM(8+1片x12包/箱);嬰童保健;1140;安親;規格：9片x12包;安親乾爽抑菌看護墊XXL 安親看護墊XXL;1620;1;90;360;4689;29.63%;1;121300110010;pcs;12;;950;1350;29629629629629626;count;月;4564348191467836;4912654885736052;2989141768737748;40673977477196616;5271493651006616;4485760661059465;0.01335559265442404
安安看護墊XXL-60x90cm;嬰童保健;99;安安;規格：8pc片x1x1pack包;安安看護墊XXL;107;1;80;360;4690;7.48%;1;121300120010;pc;1;pack;990;1070;7476635514018691;count;月;4605170185988092;468213122712422;2989141768737748;411012184588909;5024131678500171;1131920914472949;0.011686143572621035
來復易防漏安心復健褲M;嬰童保健;329;來復易;規格：16pc片x1x1pack包;來復易防漏安心紙尿褲 M;349;1;160;333;4691;5.73%;1;121300140010;pc;1;pack;3290;3490;5730659025787966;count;月;5799092654460526;5857933154483459;2763913412209601;5359675214095826;6285818595061765;8675898126690944;0.025041736227045076
安安立體抽換式尿片乾爽柔膚型;嬰童保健;139;安安;規格：30pc片x1x1box箱;安安立體抽換式尿片乾爽柔膚型;140;1;300;360;4692;0.71%;1;121300160010;pc;1;box;1390;1400;7142857142857143;count;月;4941642422609304;4948759890378168;2989141768737748;4462272029573983;5310235900801751;10813887307911212;0.048414023372287146
來復易防漏安心復健褲XL;嬰童保健;329;來復易;規格：12pc片x1x1pack包;來復易復健照護成人紙尿褲XL;349;1;120;333;4696;5.73%;1;121300260010;pc;1;pack;3290;3490;5730659025787966;count;月;5799092654460526;5857933154483459;2763913412209601;5359675214095826;6285818595061765;8675898126690944;0.018363939899833055
