title;category;price;brand;specification;query;original_price;original_price_checked;capacity;shelf_life;order;Discount;Promo;item_code;capacity_unit;pieces_per_package;package_unit;price_per_piece;original_price_per_piece;estimation_discount;capacity_category;shelf_life_unit;log_price_per_piece;log_original_price_per_piece;shelf_life_normalized;log_price_per_piece_normalized;log_original_price_per_piece_normalized;estimation_discount_normalized;capacity_normalized
嬌生嬰兒活力亮澤洗髮露;嬰童保健;169;嬌生;規格：500ml毫升x1x1pc瓶;嬌生嬰兒活力亮澤洗髮露;209;1;5000;360;4739;19.14%;1;121500040010;ml;1;pc;1690;2090;19138755980861244;volume;月;5135798437050262;53471075307174685;2989141768737748;4665474756894042;5737680349024469;28975009054690326;0.4567600487210719
嬌生嬰兒柔亮洗髮露500ml;嬰童保健;139;嬌生;規格：500ml毫升x1x1pc瓶;嬌生嬰兒柔亮洗髮露 柔亮;147;1;5000;360;4740;5.44%;1;121500050010;ml;1;pc;1390;1470;5442176870748299;volume;月;4941642422609304;4997212273764115;2989141768737748;4462272029573983;5362227428262138;8239152234599018;0.4567600487210719
花王兒童洗髮精;嬰童保健;109;花王;規格：750ml毫升x1x1bottle瓶;花王兒童洗髮精;0;1;7500;333;4744;0.00%;0;121500090010;ml;1;bottle;1090;0;0;volume;月;4700480365792417;0;2763913412209601;42098730100926246;0;0;0.7612667478684532
依必朗兒童抗菌洗髮乳;嬰童保健;125;依必朗;規格：700ml毫升x1x1bottle瓶;依必朗兒童抗菌洗髮乳;0;1;7000;600;4745;0.00%;1;121500160010;ml;1;bottle;1250;0;0;volume;月;4836281906951478;0;4991171604543494;4352002233424926;0;0;0.7003654080389768
博寶兒植萃洗髮沐浴露-佩佩豬;嬰童保健;219;PROBO博寶兒;規格：650ml毫升x1x1pc瓶;博寶兒植萃洗髮沐浴露-佩佩豬 洗髮沐浴;265;1;6500;600;4749;17.36%;0;121510020010;ml;1;pc;2190;2650;17358490566037734;volume;月;5393627546352362;5583496308781699;4991171604543494;49353174313202836;5991335851338082;26279786514320075;0.6394640682095006
嬌生嬰兒牛奶純米沐浴乳;嬰童保健;149;嬌生;規格：750ml毫升x1x1pc瓶;嬌生嬰兒牛奶純米沐浴乳;187;1;7500;360;4761;20.32%;1;121510920010;ml;1;pc;1490;1870;2032085561497326;volume;月;50106352940962555;5236441962829949;2989141768737748;4534479628664632;5618931352387655;30764641966891787;0.7612667478684532
嬌生嬰兒甜夢沐浴露;嬰童保健;149;嬌生;規格：750ml毫升x1x1pc瓶;嬌生嬰兒甜夢沐浴露;187;1;7500;360;4765;20.32%;1;121510960010;ml;1;pc;1490;1870;2032085561497326;volume;月;50106352940962555;5236441962829949;2989141768737748;4534479628664632;5618931352387655;30764641966891787;0.7612667478684532
嬌生嬰兒蜜桃水嫩沐浴露;嬰童保健;149;嬌生;規格：750ml毫升x1x1pc瓶;嬌生嬰兒蜜桃水嫩沐浴露;187;1;7500;360;4769;20.32%;0;121511100010;ml;1;pc;1490;1870;2032085561497326;volume;月;50106352940962555;5236441962829949;2989141768737748;4534479628664632;5618931352387655;30764641966891787;0.7612667478684532
嬌生嬰兒潤膚油 (清爽配方);嬰童保健;239;嬌生;規格：300ml毫升x1x1bottle瓶;嬌生嬰兒潤膚油 (清爽配方) 嬌生嬰兒潤膚油;0;1;3000;333;4770;0.00%;1;121520040010;ml;1;bottle;2390;0;0;volume;月;5480638923341991;0;2763913412209601;5026383109419805;0;0;0.2131546894031669
嬌生嬰兒潤膚油 (滋養配方);嬰童保健;179;嬌生;規格：125ml毫升x1x1bottle瓶;嬌生嬰兒潤膚油 (滋養配方) 滋養配方嬰兒油;180;1;1250;333;4771;0.56%;1;121520050010;ml;1;bottle;1790;1800;5555555555555556;volume;月;519295685089021;5198497031265826;2763913412209601;472529647096769;5578214780497182;8410801239486499;0.0
嬌生嬰兒甜夢潤膚乳;嬰童保健;199;嬌生;規格：500ml毫升x1x1pc瓶;嬌生嬰兒甜夢潤膚乳;0;1;5000;360;4774;0.00%;0;121520620010;ml;1;pc;1990;0;0;volume;月;5298317366548036;0;2989141768737748;4835566267116747;0;0;0.4567600487210719
紐力活葡萄糖胺液(液態食品);嬰童保健;1049;紐力活;規格：946ml毫升x1x1can罐;紐力活葡萄糖胺液態食品 946ML;1152;1;9460;240;5113;8.94%;1;123220540010;ml;1;can;10490;11520;8940972222222223;volume;月;6956545443151569;7050122520269059;1988126850834874;6571059595277329;7565089950105217;13536133244798584;1.0
【限量】桂格完膳營養素白藜蘆醇237mlx6入;嬰童保健;409;桂格;規格：237ml毫升x6x1box盒;桂格完膳營養素白藜蘆醇6入 完膳白藜蘆醇;0;1;2370;120;5145;0.00%;0;123270020010;ml;6;box;6816666666666667;0;0;volume;月;4236519051002643;0;9871119329320005;3724293385852081;0;0;0.1364190012180268
【保健食品】桂格完膳營養素_纖穀口味;嬰童保健;490;桂格;規格：250ml毫升x8x1box盒;桂格完膳營養素_纖穀口味 桂格完膳_纖穀;0;1;2500;150;5147;0.00%;1;123270050010;ml;8;box;6125;0;0;volume;月;4131158535344817;0;12373656624077188;36140235897030226;0;0;0.15225334957369063
