title;category;price;brand;specification;query;original_price;original_price_checked;capacity;shelf_life;order;Discount;Promo;item_code;capacity_unit;pieces_per_package;package_unit;price_per_piece;original_price_per_piece;estimation_discount;capacity_category;shelf_life_unit;log_price_per_piece;log_original_price_per_piece;shelf_life_normalized;log_price_per_piece_normalized;log_original_price_per_piece_normalized;estimation_discount_normalized;capacity_normalized
台糖大豆卵磷脂200g;嬰童保健;173;台糖;規格：200g克x1x1pc盒;三多顆粒卵磷脂;275;1;2000;120;5109;37.09%;1;123210400010;g;1;pc;1730;2750;3709090909090909;weight;月;5159055299214529;562040086571715;9871119329320005;46898152741543137;6030936055729255;5615356754798986;0.0021716268682053985
三多魚膠原蛋白C-盒裝28入;嬰童保健;309;三多;規格：3g克x28x1box盒;三多魚膠原蛋白C-盒裝28入 三多魚膠原蛋白;339;1;30;333;5119;8.85%;0;123231090010;g;28;box;11035714285714286;12107142857142858;8849557522123892;weight;月;24878784201771578;25731573378793664;2763913412209601;1894174724272018;27611104148708876;13397736487677603;0.0
台糖寡醣乳酸菌-3gx30;嬰童保健;449;台糖;規格：3g克x30x1box盒;台糖寡醣乳酸菌30包 台糖寡醣乳酸菌;464;1;30;240;5127;3.23%;1;123250400010;g;30;box;14966666666666667;15466666666666667;32327586206896552;weight;月;277050321574876;28013381355257674;1988126850834874;2189968441679045;30059583950469687;48942162384942985;0.0
台塑生醫-舒暢益生菌;嬰童保健;668;台塑生醫;規格：4g克x30x1box盒;台塑生醫-舒暢益生菌 台塑舒暢益生菌;700;1;40;240;5128;4.57%;1;123250470010;g;30;box;22266666666666666;23333333333333332;4571428571428571;weight;月;3147021721100217;31918471524802814;1988126850834874;25840308527466876;3424991657390233;6920887877063175;1.102348664063654e-05
紅牛聰勁即溶乳清蛋白-可可風味;嬰童保健;999;紅牛;規格：2lb磅x1x1can桶;紅牛聰勁即溶乳清蛋白-可可風味 紅牛乳清可可;1188;1;907184;240;5135;15.91%;1;123260050010;g;1;can;9990;11880;15909090909090908;weight;月;6907755278982137;7080867896690782;1988126850834874;651999605004455;759808108430345;24085476276711335;0.9999999999999999
紅牛聰勁即溶乳清蛋白-曼特寧;嬰童保健;999;紅牛;規格：2lb磅x1x1pc瓶;紅牛聰勁即溶乳清蛋白-曼特寧 紅牛乳清曼特寧;1350;1;907184;180;5148;26.00%;0;123270060010;g;1;pc;9990;13500;260;weight;月;6907755278982137;7208600337960199;14876193918834373;651999605004455;7735143582858836;3936254980079681;0.9999999999999999
【保健食品】三多補體健;嬰童保健;612;三多;規格：750g克x1x1can罐;三多補體健;0;1;7500;333;5149;0.00%;0;123270070010;g;1;can;6120;0;0;weight;月;6418364935936212;0;2763913412209601;6007802530223036;0;0;0.008234544520555496
三多奶蛋白-S P93 500g/罐;嬰童保健;720;三多;規格：500g克x1x1can罐;三多奶蛋白P93/500g;0;1;5000;333;5151;0.00%;1;123270100010;g;1;can;7200;0;0;weight;月;6580639137284949;0;2763913412209601;6177637909171728;0;0;0.005478672860396361
桂格完膳營養素糖尿病穩健配方900g;嬰童保健;790;桂格;規格：900g克x1x1can罐;桂格完膳營養素 穩健配方;1057;1;9000;240;5153;25.26%;0;123270130010;g;1;can;7900;10570;25260170293282876;weight;月;6673297967767654;6964135612418245;1988126850834874;6274614184249203;747282223552967;38242488890229054;0.009888067516650978
愛基均衡及糖尿病配方營養素;嬰童保健;599;紅牛;規格：900g克x1x1can罐;愛基均衡及糖尿病配方營養素;0;1;9000;240;5154;0.00%;1;123270140010;g;1;can;5990;0;0;weight;月;6396929655216146;0;1988126850834874;598536847111995;0;0;0.009888067516650978
