title;category;price;brand;specification;query;original_price;original_price_checked;capacity;shelf_life;order;Discount;Promo;item_code;capacity_unit;pieces_per_package;package_unit;price_per_piece;original_price_per_piece;estimation_discount;capacity_category;shelf_life_unit;log_price_per_piece;log_original_price_per_piece;shelf_life_normalized;log_price_per_piece_normalized;log_original_price_per_piece_normalized;estimation_discount_normalized;capacity_normalized
白博士廚房去污濕巾60入;日用生活;89;白博士;規格：60pc張x1x1pc包;白博士廚房去污濕巾60入;94;1;600;360;794;5.32%;1;110210020010.0;pc;1;pc;890;940;5319148936170213;count;月;4499809670330265;4553876891600541;2989141768737748;39998520497400314;48865091645739056;8052894803763667;0.043510324483775814
立得清抗菌抗病毒濕巾10抽2入;日用生活;79;立得清;規格：10pc抽x2x1set組;立得清腸病毒濕巾10抽2入;0;1;100;360;817;0.00%;0;110210320010.0;pc;2;set;395;0;0;count;月;37013019741124933;0;2989141768737748;3164137832363315;0;0;0.00663716814159292
台糖酒精擦隨身包10PC;日用生活;22;台糖;規格：10pc抽x1x1pack包;台糖酒精擦隨身包;24;1;100;360;826;8.33%;0;110210470010.0;pc;1;pack;220;240;8333333333333332;count;月;31354942159291497;32188758248682006;2989141768737748;25719662226774026;3453994605531726;12616201859229745;0.00663716814159292
立得清酒精瞬潔擦濕巾50抽;日用生活;75;立得清;規格：50pc片x1x1pc包;立得清酒精瞬潔擦濕巾50抽;0;1;500;360;843;0.00%;0;110210710010.0;pc;1;pc;750;0;0;count;月;4330733340286331;0;2989141768737748;3822897596440613;0;0;0.03613569321533923
高樂氏-居家殺菌濕紙巾(檸檬香)75片;日用生活;249;高樂氏;規格：75pc片x1x1pc盒;高樂氏-居家殺菌濕紙巾(檸檬香)75片;0;1;750;360;846;0.00%;1;110210950010.0;pc;1;pc;2490;0;0;count;月;5521460917862246;0;2989141768737748;5069107207589233;0;0;0.054572271386430685
優品水槽管路清潔錠;日用生活;65;優品;規格：3pc錠x1x1box盒;優品水槽管路清潔錠;99;1;30;333;1149;34.34%;0;110420150010.0;pc;1;box;650;990;3434343434343434;count;月;4189654742026425;4605170185988092;2763913412209601;3675245431168023;4941549113846197;5199404402591653;0.0014749262536873156
百利潔力豆海綿菜瓜布;日用生活;94;3M;規格：4pc片x1x1pc片;百利潔力豆海綿菜瓜布;0;1;40;1200;1304;0.00%;0;110610010010.0;pc;1;pc;940;0;0;count;月;4553876891600541;0;9996246194057862;40564385369130984;0;0;0.0022123893805309734
驅塵氏吸水膠棉拖補充包;日用生活;99;驅塵氏;規格：1pc支x1x1pc支;家福海綿3入 家福海綿3入;0;1;10;333;1307;0.00%;0;110610050010.0;pc;1;pc;990;0;0;count;月;4605170185988092;0;2763913412209601;411012184588909;0;0;0.0
家樂福植物性彩色海綿;日用生活;75;家樂福自有品牌;規格：3pc片x1x1pack包;家福植物性彩色海綿 植物性彩色海綿;0;1;30;333;1309;0.00%;1;110610080010.0;pc;1;pack;750;0;0;count;月;4330733340286331;0;2763913412209601;3822897596440613;0;0;0.0014749262536873156
OP茶樹抗菌海綿菜瓜布;日用生活;55;OP;規格：1pc包x1x1pc包;OP茶樹抗菌海綿菜瓜布;59;1;10;1200;1311;6.78%;0;110610110010.0;pc;1;pc;550;590;6779661016949152;count;月;402535169073515;40943445622221;9996246194057862;35032866678738406;43934108678089;1026402863123776;0.0
