title;category;price;brand;specification;query;original_price;original_price_checked;capacity;shelf_life;order;Discount;Promo;item_code;capacity_unit;pieces_per_package;package_unit;price_per_piece;original_price_per_piece;estimation_discount;capacity_category;shelf_life_unit;log_price_per_piece;log_original_price_per_piece;shelf_life_normalized;log_price_per_piece_normalized;log_original_price_per_piece_normalized;estimation_discount_normalized;capacity_normalized
威猛先生地板瓶裝-芬多精;日用生活;119;威猛先生;規格：2000ml毫升x1x1bottle瓶;威猛先生地板瓶裝-芬多精;134;1;20000;333;741;11.19%;1;110100010010;ml;1;bottle;1190;1340;11194029850746269;volume;月;4787491742782046;490527477843843;2763913412209601;4300938688192147;5263574472951563;16947136825831002;0.0368474384450381
清淨海環保地板清潔劑;日用生活;190;清淨海;規格：2000ml毫升x1x1bottle瓶;清淨海環保地板清潔劑;0;1;20000;333;744;0.00%;1;110100070010;ml;1;bottle;1900;0;0;volume;月;525227342804663;0;2763913412209601;47873769081263357;0;0;0.0368474384450381
威猛先生愛地潔地板清潔劑-檸檬;日用生活;199;威猛先生;規格：3785ml毫升x1x1bottle瓶;威猛先生愛地潔地板清潔劑;229;1;37850;333;745;13.10%;1;110100080020;ml;1;bottle;1990;2290;13100436681222707;volume;月;5298317366548036;5438079308923196;2763913412209601;4835566267116747;5835297047609316;1983333043372362;0.07040492702891207
威猛先生地板清潔劑完美花香;日用生活;119;威猛先生;規格：2000ml毫升x1x1bottle瓶;威猛先生地板清潔劑完美花香;157;1;20000;333;746;24.20%;1;110100120010;ml;1;bottle;1190;1570;24203821656050955;volume;月;4787491742782046;5062595033026967;2763913412209601;4300938688192147;5432385989845644;36643235973304233;0.0368474384450381
地板魔術靈除菌EX草本香補充包;日用生活;89;魔術靈;規格：1800ml毫升x1x1pc包;魔術靈地板清潔劑;109;1;18000;360;748;18.35%;1;110100130010;ml;1;pc;890;1090;1834862385321101;volume;月;4499809670330265;4700480365792417;2989141768737748;39998520497400314;5043821107177868;27778793084542563;0.033087495746564825
威猛先生地板清潔劑-清新早晨;日用生活;199;威猛先生;規格：3785ml毫升x1x1bottle瓶;威猛先生地板清潔劑清新早晨;259;1;37850;333;753;23.17%;1;110100190010;ml;1;bottle;1990;2590;23166023166023166;volume;月;5298317366548036;5560681631015528;2763913412209601;4835566267116747;5966854703813689;350720669445769;0.07040492702891207
威猛先生地板補充包完美花香;日用生活;82;威猛先生;規格：1800ml毫升x1x1pc包;威猛先生地板補充包完美花香;122;1;18000;333;754;32.79%;1;110100200010;ml;1;pc;820;1220;3278688524590164;volume;月;4418840607796598;4812184355372417;2763913412209601;3915110228155139;5163684375727996;4963751551172359;0.033087495746564825
威猛先生地板補充包-芬多精;日用生活;82;威猛先生;規格：1800ml毫升x1x1pack包;威猛先生地板補充包-芬多精;95;1;18000;333;757;13.68%;1;110100220010;ml;1;pack;820;950;13684210526315791;volume;月;4418840607796598;4564348191467836;2763913412209601;3915110228155139;4897745327514743;20717131474103587;0.033087495746564825
威猛先生地板補充包-檸檬;日用生活;82;威猛先生;規格：1800ml毫升x1x1pack包;威猛先生地板補充包-檸檬;95;1;18000;333;758;13.68%;1;110100230010;ml;1;pack;820;950;13684210526315791;volume;月;4418840607796598;4564348191467836;2763913412209601;3915110228155139;4897745327514743;20717131474103587;0.033087495746564825
威猛先生地板瓶裝-檸檬;日用生活;119;威猛先生;規格：2000ml毫升x1x1bottle瓶;威猛先生檸檬地板清潔  2000ML;134;1;20000;333;760;11.19%;1;110100250010;ml;1;bottle;1190;1340;11194029850746269;volume;月;4787491742782046;490527477843843;2763913412209601;4300938688192147;5263574472951563;16947136825831002;0.0368474384450381
