title;category;price;brand;specification;query;original_price;original_price_checked;capacity;shelf_life;order;Discount;Promo;item_code;capacity_unit;pieces_per_package;package_unit;price_per_piece;original_price_per_piece;estimation_discount;capacity_category;shelf_life_unit;log_price_per_piece;log_original_price_per_piece;shelf_life_normalized;log_price_per_piece_normalized;log_original_price_per_piece_normalized;estimation_discount_normalized;capacity_normalized
香滿室薰衣草地板清潔劑補充包;日用生活;85;毛寶;規格：1800g克x1x1bottle瓶;香滿室薰衣草地板清潔劑補充包;95;1;18000;333;751;10.53%;0;110100160010.0;g;1;bottle;850;950;10526315789473683;weight;月;4454347296253507;4564348191467836;2763913412209601;39522713532087317;4897745327514743;15936254980079678;0.17991799179917992
白帥帥防蟑地板清潔劑-2000g;日用生活;169;白帥帥;規格：2000g克x1x1bottle瓶;白帥帥防蟑地板清潔劑;0;1;20000;333;752;0.00%;1;110100180010.0;g;1;bottle;1690;0;0;weight;月;5135798437050262;0;2763913412209601;4665474756894042;0;0;0.19991999199919994
毛寶香滿室檀木馨香地板清潔劑;日用生活;109;毛寶;規格：2000g克x1x1bottle瓶;毛寶香滿室檀木馨香地板清潔劑;0;1;20000;333;764;0.00%;0;110100350010.0;g;1;bottle;1090;0;0;weight;月;4700480365792417;0;2763913412209601;42098730100926246;0;0;0.19991999199919994
家樂福超值地板清潔劑;日用生活;99;家樂福;規格：4000g克x1x1bottle瓶;家福超值地板清潔劑;0;1;40000;333;768;0.00%;1;110100420010.0;g;1;bottle;990;0;0;weight;月;4605170185988092;0;2763913412209601;411012184588909;0;0;0.3999399939994
毛寶香滿室檀木地板清潔補充包;日用生活;85;毛寶;規格：1800g克x1x1bag袋;毛寶香滿室檀木地板清潔補充包;95;1;18000;333;769;10.53%;1;110100430010.0;g;1;bag;850;950;10526315789473683;weight;月;4454347296253507;4564348191467836;2763913412209601;39522713532087317;4897745327514743;15936254980079678;0.17991799179917992
毛寶香滿室海洋微風清潔補充包;日用生活;85;毛寶;規格：1800g克x1x1bag袋;毛寶香滿室海洋微風清潔補充包;95;1;18000;333;770;10.53%;1;110100450010.0;g;1;bag;850;950;10526315789473683;weight;月;4454347296253507;4564348191467836;2763913412209601;39522713532087317;4897745327514743;15936254980079678;0.17991799179917992
妙管家公道先生地板清潔劑(檸檬清香)2000g;日用生活;85;妙管家;規格：2000g克x1x1bottle瓶;公道先生地板清潔劑;95;1;20000;333;772;10.53%;1;110100510010.0;g;1;bottle;850;950;10526315789473683;weight;月;4454347296253507;4564348191467836;2763913412209601;39522713532087317;4897745327514743;15936254980079678;0.19991999199919994
妙管家木質地板清潔劑1000g;日用生活;89;妙管家;規格：1000g克x1x1bottle瓶;妙管家木質地板清潔劑;99;1;10000;360;783;10.10%;1;110101160010.0;g;1;bottle;890;990;101010101010101;weight;月;4499809670330265;4605170185988092;2989141768737748;39998520497400314;4941549113846197;1529236588997545;0.09990999099909992
威猛先生玻璃清潔劑噴槍瓶;日用生活;66;威猛先生;規格：500g克x1x1bottle瓶;威猛先生玻璃清潔劑;72;1;5000;333;789;8.33%;1;110200050010.0;g;1;bottle;660;720;8333333333333332;weight;月;4204692619390966;4290459441148391;2763913412209601;36909839994651616;46038507141187995;12616201859229745;0.04990499049904991
新威猛先生玻璃重裝;日用生活;69;威猛先生;規格：500g克x1x2set組;新威猛先生玻璃重裝;104;1;5000;333;791;33.65%;1;110200100010.0;g;2;set;345;520;3365384615384615;weight;月;356953269648137;3970291913552122;2763913412209601;30262287561560436;426029694772608;5095004596996628;0.04990499049904991
妙管家玻璃亮光清潔劑-噴槍瓶650g;日用生活;55;妙管家;規格：650g克x1x1bottle瓶;妙管家玻璃亮光清潔劑;65;1;6500;333;793;15.38%;1;110200130010.0;g;1;bottle;550;650;15384615384615385;weight;月;402535169073515;4189654742026425;2763913412209601;35032866678738406;4495682861140571;23291449586270302;0.06490649064906491
威猛先生廚房超強效超值組(噴+補);日用生活;85;威猛先生;規格：500g克x2x1set組;威猛先生廚房超強效;135;1;5000;360;798;37.04%;1;110210060010.0;g;2;set;425;675;3703703703703704;weight;月;37727609380946383;422683374526818;2989141768737748;3238926431698997;4535577558427107;5607200826324332;0.04990499049904991
威猛先生廚房超強效超值組(噴+補);日用生活;85;威猛先生;規格：500g克x2x1set組;威猛先生廚房清潔劑;135;1;5000;360;800;37.04%;1;110210090010.0;g;2;set;425;675;3703703703703704;weight;月;37727609380946383;422683374526818;2989141768737748;3238926431698997;4535577558427107;5607200826324332;0.04990499049904991
白博士廚房清潔劑噴槍型;日用生活;69;白博士;規格：600g克x1x1bottle瓶;白博士廚房清潔劑噴槍型;75;1;6000;333;809;8.00%;0;110210230010.0;g;1;bottle;690;750;80;weight;月;4248495242049359;4330733340286331;2763913412209601;3736827608346326;46470663701225134;12111553784860557;0.059905990599059905
毛寶小蘇打廚房清潔劑噴槍瓶;日用生活;75;毛寶;規格：500g克x1x1bottle瓶;毛寶小蘇打廚房清潔劑噴槍瓶;0;1;5000;333;814;0.00%;1;110210280010.0;g;1;bottle;750;0;0;weight;月;4330733340286331;0;2763913412209601;3822897596440613;0;0;0.04990499049904991
毛寶超強效萬用去污劑白柚清香;日用生活;199;毛寶;規格：2000g克x1x1bottle瓶;毛寶超強效萬用去汙劑 毛寶萬用去汙劑;0;1;20000;333;819;0.00%;0;110210390010.0;g;1;bottle;1990;0;0;weight;月;5298317366548036;0;2763913412209601;4835566267116747;0;0;0.19991999199919994
新威猛先生廚房檸檬噴槍;日用生活;66;威猛先生;規格：500g克x1x1bottle瓶;新威猛先生廚房檸檬噴槍;81;1;5000;333;838;18.52%;1;110210640010.0;g;1;bottle;660;810;1851851851851852;weight;月;4204692619390966;4406719247264253;2763913412209601;36909839994651616;4728602573156666;2803600413162166;0.04990499049904991
新威猛先生廚房檸檬重裝;日用生活;69;威猛先生;規格：500g克x1x2bottle瓶;新威猛先生廚房檸檬重裝;104;1;5000;333;839;33.65%;0;110210650010.0;g;2;bottle;345;520;3365384615384615;weight;月;356953269648137;3970291913552122;2763913412209601;30262287561560436;426029694772608;5095004596996628;0.04990499049904991
威猛先生浴室全效噴槍+重裝500gx2;日用生活;95;威猛先生;規格：500g克x2x1set組;威猛先生浴室清潔劑;129;1;5000;333;857;26.36%;1;110220100010.0;g;2;set;475;645;26356589147286826;weight;月;38815637979434374;4182050142641207;2763913412209601;3352798968303941;44875227932526307;3990240588035455;0.04990499049904991
新威猛先生浴室噴槍;日用生活;66;威猛先生;規格：500g克x1x1bottle瓶;新威猛先生浴室噴槍;72;1;5000;333;858;8.33%;1;110220110010.0;g;1;bottle;660;720;8333333333333332;weight;月;4204692619390966;4290459441148391;2763913412209601;36909839994651616;46038507141187995;12616201859229745;0.04990499049904991
威猛先生浴室全效噴槍+重裝500gx2;日用生活;95;威猛先生;規格：500g克x2x1set組;威猛先生浴室全效噴槍+重裝;129;1;5000;333;859;26.36%;1;110220120010.0;g;2;set;475;645;26356589147286826;weight;月;38815637979434374;4182050142641207;2763913412209601;3352798968303941;44875227932526307;3990240588035455;0.04990499049904991
清淨海環保浴廁清潔劑;日用生活;99;清淨海;規格：500g克x1x1bottle瓶;清淨海環保浴廁清潔劑 清淨海浴廁清潔;0;1;5000;333;865;0.00%;1;110220210010.0;g;1;bottle;990;0;0;weight;月;4605170185988092;0;2763913412209601;411012184588909;0;0;0.04990499049904991
威猛先生強力去霉劑噴槍+重裝400g+400g;日用生活;129;威猛先生;規格：800g克x1x1pc瓶;威猛先生強力去霉劑重裝;169;1;8000;240;870;23.67%;1;110220310010.0;g;1;pc;1290;1690;23668639053254438;weight;月;4867534450455582;5135798437050262;1988126850834874;43847109913483323;5510936445458008;35832999363492773;0.07990799079907991
潔霜-S浴廁專用清潔劑1050g;日用生活;69;潔霜;規格：1050g克x1x1bottle瓶;潔霜-S浴廁專用清潔劑1050g;0;1;10500;333;873;0.00%;0;110220350010.0;g;1;bottle;690;0;0;weight;月;4248495242049359;0;2763913412209601;3736827608346326;0;0;0.10491049104910491
潔霜-S浴廁清潔劑-清新薄荷;日用生活;69;潔霜;規格：1050g克x1x1bottle瓶;潔霜-S浴廁清潔劑-清新薄荷;0;1;10500;333;874;0.00%;1;110220360010.0;g;1;bottle;690;0;0;weight;月;4248495242049359;0;2763913412209601;3736827608346326;0;0;0.10491049104910491
白博士浴廁清潔劑噴槍型600g;日用生活;69;白博士;規格：600g克x1x1bottle瓶;白博士浴廁清潔劑噴槍型;75;1;6000;333;876;8.00%;1;110220440010.0;g;1;bottle;690;750;80;weight;月;4248495242049359;4330733340286331;2763913412209601;3736827608346326;46470663701225134;12111553784860557;0.059905990599059905
