title;category;price;brand;specification;query;original_price;original_price_checked;capacity;shelf_life;order;Discount;Promo;item_code;capacity_unit;pieces_per_package;package_unit;price_per_piece;original_price_per_piece;estimation_discount;capacity_category;shelf_life_unit;log_price_per_piece;log_original_price_per_piece;shelf_life_normalized;log_price_per_piece_normalized;log_original_price_per_piece_normalized;estimation_discount_normalized;capacity_normalized
【童樂繪金飾】兒童純銀手鍊 龍湯匙 (彌月銀飾 滿月禮 寶寶足銀);服飾鞋包;2080;童樂繪金飾;規格：1組;高樂氏漂白水-原味;3467;1;10;9990;1988;40.01%;1;111110010010;pcs;1;;20800;34670;40005768676088834;count;無;7640603826393634;8151333337900432;8332058893044335;7286991726049447;8746737342112856;6056650237814245;0.0
[ides愛蒂思] 情人送禮 輕珠寶設計款10分E/VS1八心八箭EX車工鑽石項鍊鎖骨鍊/經典六爪;服飾鞋包;5999;ides愛蒂思;規格：1件;青箭粒裝口香糖超值包-原味;9;1;10;2400;6479;36.85%;1;142260460010;pcs;1;;59990;90;0;count;月;8699514748210191;2302585092994046;200063953730866;8395242675275408;24707745569230985;0;0.0
台灣藍白拖-藍10.5~12;服飾鞋包;69;;規格：1pair雙x1x1pair雙;台灣藍白拖;75;1;10;9990;10233;8.00%;1;600118990010;pair;1;pair;690;750;80;count;標示於包裝上;4248495242049359;4330733340286331;8332058893044335;3736827608346326;46470663701225134;12111553784860557;0.0
舒適便利室內拖鞋-灰XL;服飾鞋包;169;;規格：1pair雙x1x1pair雙;7926舒適便利室內拖鞋;199;1;10;9990;10234;15.08%;1;600130270090;pair;1;pair;1690;1990;1507537688442211;count;;5135798437050262;5298317366548036;8332058893044335;4665474756894042;5685326368003432;22823279745340244;0.0
【安心價】606 網拖-3雙入-藍色-12;服飾鞋包;112;;規格：1pc包x1x1pc包;606 網拖(3雙入);129;1;10;333;10237;13.18%;1;600140010040;pc;1;pc;1120;1290;13178294573643413;count;月;4727387818712341;4867534450455582;2763913412209601;4238034217636506;5223077449656454;19951202940177276;0.0
單入網拖鞋-紅(尺寸:10.5-12);服飾鞋包;43;;規格：1pair雙x1x1pair雙;606 單入網拖;48;1;10;9990;10238;10.42%;0;600140070010;pair;1;pair;430;480;10416666666666668;count;;3784189633918261;38918202981106265;8332058893044335;3250887648392481;4176093470745608;15770252324037184;0.0
三花5片式平口褲PER-XXL(顏色隨機出貨);服飾鞋包;199;三花棉業;規格：1pc件x1x1pc件;三花100全棉三角褲 PER;249;1;10;9990;10243;20.08%;1;610620010020;pc;1;pc;1990;2490;20080321285140563;count;;5298317366548036;5521460917862246;8332058893044335;4835566267116747;5924769162454824;30400486407782523;0.0
宜而爽新舒棉男前開口三角褲<M>;服飾鞋包;139;宜而爽;規格：1pc件x1x1pc件;宜而爽新舒棉三角褲;169;1;10;9990;10246;17.75%;1;610620080010;pc;1;pc;1390;1690;1775147928994083;count;;4941642422609304;5135798437050262;8332058893044335;4462272029573983;5510936445458008;2687474952261958;0.0
宜而爽新舒棉男前開口平口褲-XL;服飾鞋包;139;宜而爽;規格：1pc件x1x1pc件;宜而爽新舒棉平口褲;169;1;10;9990;10248;17.75%;1;610630050020;pc;1;pc;1390;1690;1775147928994083;count;;4941642422609304;5135798437050262;8332058893044335;4462272029573983;5510936445458008;2687474952261958;0.0
三花5 片式針織平口褲-XL(花色隨機出貨);服飾鞋包;199;三花棉業;規格：1pc件x1x1pc件;三花5 片式針織平口褲;249;1;10;9990;10252;20.08%;1;610640080010;pc;1;pc;1990;2490;20080321285140563;count;;5298317366548036;5521460917862246;8332058893044335;4835566267116747;5924769162454824;30400486407782523;0.0
Hangten舒適涼感透氣平口褲-L(顏色隨機出貨);服飾鞋包;99;Hang Ten;規格：1pc件x1x1pc件;Hangten 舒適涼感透氣平口褲;119;1;10;9990;10253;16.81%;1;610640120030;pc;1;pc;990;1190;1680672268907563;count;;4605170185988092;4787491742782046;8332058893044335;411012184588909;5137188121966135;2544444072449697;0.0
三花5片式平口褲PER-XL(花色隨機出貨);服飾鞋包;199;三花棉業;規格：1pc件x1x1pc件;三花5片式平口褲 PER;249;1;10;9990;10258;20.08%;1;610640910010;pc;1;pc;1990;2490;20080321285140563;count;;5298317366548036;5521460917862246;8332058893044335;4835566267116747;5924769162454824;30400486407782523;0.0
Victoryh 100%棉針織平口褲-XL(顏色隨機出);服飾鞋包;99;Victoryh;規格：1pc件x1x1pc件;Victoryh 100棉針織平口褲;119;1;10;9990;10261;16.81%;1;610641050010;pc;1;pc;990;1190;1680672268907563;count;;4605170185988092;4787491742782046;8332058893044335;411012184588909;5137188121966135;2544444072449697;0.0
Victoryh雙色紗針織平口褲-XL(顏色隨機出貨);服飾鞋包;99;Victoryh;規格：1pc件x1x1pc件;Victoryh雙色紗針織平口褲;119;1;10;9990;10263;16.81%;1;610641950020;pc;1;pc;990;1190;1680672268907563;count;;4605170185988092;4787491742782046;8332058893044335;411012184588909;5137188121966135;2544444072449697;0.0
Victoryh織帶平口褲-XL(顏色隨機出貨);服飾鞋包;99;Victoryh;規格：1pc件x1x1pc件;Victoryh織帶平口褲;119;1;10;9990;10266;16.81%;1;610641970010;pc;1;pc;990;1190;1680672268907563;count;;4605170185988092;4787491742782046;8332058893044335;411012184588909;5137188121966135;2544444072449697;0.0
三花彈性貼身平口褲-黑XL;服飾鞋包;199;三花棉業;規格：1pc件x1x1pc件;三花彈性貼身平口褲;249;1;10;600;10268;20.08%;1;610642230020;pc;1;pc;1990;2490;20080321285140563;count;月;5298317366548036;5521460917862246;4991171604543494;4835566267116747;5924769162454824;30400486407782523;0.0
三花純棉背心PER-L;服飾鞋包;169;三花棉業;規格：1pc件x1x1pc件;三花純棉背心 PER;220;1;10;9990;10271;23.18%;1;610700190010;pc;1;pc;1690;2200;2318181818181818;count;;5135798437050262;53981627015177525;8332058893044335;4665474756894042;5792464781268264;3509597971749366;0.0
精品經典中腰免洗褲淑女型<L>;服飾鞋包;97;安多精品;規格：1pc包x1x1pc包;精品經典中腰免洗褲淑女型;99;1;10;9990;10275;2.02%;1;610800060020;pc;1;pc;970;990;20202020202020203;count;;4584967478670572;4605170185988092;8332058893044335;40889777920312204;4941549113846197;30584731779950903;0.0
精品繽紛中腰免洗褲淑女型<XXL>;服飾鞋包;104;安多精品;規格：1pc包x1x1pc包;精品繽紛中腰免洗褲淑女型;105;1;10;9990;10279;0.95%;0;610800070010;pc;1;pc;1040;1050;9523809523809524;count;;4653960350157523;4663439094112067;8332058893044335;4161185391121868;5004074201883315;14418516410548284;0.0
桑塔娜便利免洗女褲<XL>;服飾鞋包;79;;規格：1pack包x1x1pack包;桑塔娜便利免洗褲;0;1;10;333;10282;0.00%;0;610800100010;pack;1;pack;790;0;0;count;月;4382026634673881;0;2763913412209601;38765809054166034;0;0;0.0
旅寶女免洗褲(十入)-XL(包裝隨機出貨);服飾鞋包;249;;規格：1pc包x1x1pc包;TR-女免洗褲(十入);0;1;10;9990;10283;0.00%;1;610800250030;pc;1;pc;2490;0;0;count;;5521460917862246;0;8332058893044335;5069107207589233;0;0;0.0
精品免洗休閒襪5入-黑色;服飾鞋包;87;安多精品;規格：1pc包x1x1pc包;精品免洗休閒襪5入;89;1;10;600;10284;2.25%;1;610820010020;pc;1;pc;870;890;2247191011235955;count;月;4477336814478207;4499809670330265;4991171604543494;39763320696201393;48284926703802317;3402121849679932;0.0
EF 1/2男女毛巾運動襪4入-顏色隨機出貨;服飾鞋包;99;Easyfit;規格：1pack包x1x1pack包;EF 1/2男女毛巾運動襪4入;129;1;10;9990;10285;23.26%;1;611310590010;pack;1;pack;990;1290;2325581395348837;count;;4605170185988092;4867534450455582;8332058893044335;411012184588909;5223077449656454;3520800518854813;0.0
