title;category;price;brand;specification;query;original_price;original_price_checked;capacity;shelf_life;order;Discount;Promo;item_code;capacity_unit;pieces_per_package;package_unit;price_per_piece;original_price_per_piece;estimation_discount;capacity_category;shelf_life_unit;log_price_per_piece;log_original_price_per_piece;shelf_life_normalized;log_price_per_piece_normalized;log_original_price_per_piece_normalized;estimation_discount_normalized;capacity_normalized
光泉低脂保久牛乳-200ml;生鮮冷凍;115;光泉;規格：200ml毫升x1x6bottle瓶;光泉低脂保久牛乳;128;1;2000;90;9014;10.16%;1;150200010010;ml;6;bottle;19166666666666668;21333333333333332;1015624999999999;volume;月;3004031076368686;3106080330722856;7368582034562819;24343775490653002;3332960104823002;15375996015936239;0.08571428571428572
澳洲奶協會全脂牛奶1000ml;生鮮冷凍;99;澳洲奶協會;規格：1000ml毫升x1x1bottle瓶;倍瑞100％全脂牛奶1000ml;129;1;10000;120;9015;23.26%;1;150200070010;ml;1;bottle;990;1290;2325581395348837;volume;月;4605170185988092;4867534450455582;9871119329320005;411012184588909;5223077449656454;3520800518854813;1.0
光泉低脂高鈣牛乳-200ml;生鮮冷凍;268;光泉;規格：200ml毫升x1x24bottle瓶;光泉低脂高鈣牛乳;312;1;2000;90;9016;14.10%;1;150200100010;ml;24;bottle;11166666666666666;130;14102564102564108;volume;月;2498699971920336;26390573296152584;7368582034562819;1905500506964769;28318239895300396;21350495454081117;0.08571428571428572
福樂低脂高鈣牛乳(保久乳)200ml;生鮮冷凍;258;福樂;規格：200ml毫升x1x24bottle瓶;福樂低脂高鈣牛乳(保久乳)200m;312;1;2000;60;9017;17.31%;1;150200460010;ml;24;bottle;1075;130;17307692307692307;volume;月;2463853240590168;26390573296152584;4866044739805636;18690300897857393;28318239895300396;2620288078455409;0.08571428571428572
光泉全脂保久牛乳-200ml;生鮮冷凍;460;光泉;規格：200ml毫升x1x24bottle瓶;光泉全脂保久牛乳;480;1;2000;90;9018;4.17%;1;150200470010;ml;24;bottle;19166666666666668;200;4166666666666661;volume;月;3004031076368686;3044522437723423;7368582034562819;24343775490653002;3266905792101371;6308100929614864;0.08571428571428572
義美牛乳(保久乳)125mlx6;生鮮冷凍;299;義美;規格：125ml毫升x6x4set組;義美牛乳(保久乳)125ml;360;1;1250;90;9021;16.94%;1;150209100010;ml;6;set;49833333333333336;600;1694444444444444;volume;月;39285523073793565;4110873864173311;7368582034562819;34019769105766823;44111475320603166;2565294378043381;0.0
光泉高鈣牛乳-無加糖200ml;生鮮冷凍;300;光泉;規格：200ml毫升x1x24bottle瓶;光泉高鈣牛乳-無加糖200ml;344;1;2000;90;9024;12.79%;1;150209200010;ml;24;bottle;125;14333333333333334;12790697674418608;volume;月;26026896854443837;27300291078209855;7368582034562819;20143356283601144;29294406881148866;19364402853701476;0.08571428571428572
克寧國小生草莓優酪乳(198mlx6);生鮮冷凍;99;克寧;規格：198ml毫升x1x6bottle瓶;克寧國小生牛奶198ML;109;1;1980;60;9025;9.17%;1;150209220010;ml;6;bottle;165;18166666666666668;917431192660551;volume;月;28622008809294686;2953172659135195;4866044739805636;2285938765891009;31688834825662787;1388939654227129;0.08342857142857144
萬丹保久乳(脂肪無調整);生鮮冷凍;458;味全;規格：200ml毫升x1x24bottle瓶;萬丹保久乳(脂肪無調整)200ml;520;1;2000;90;9026;11.92%;1;150209240010;ml;24;bottle;19083333333333332;21666666666666668;11923076923076934;volume;月;29998902837026544;3120895416507997;7368582034562819;2430043815879505;3348857340120813;180508734293595;0.08571428571428572
極品限定高鈣牛乳200ml*6入/組;生鮮冷凍;69;味全;規格：200ml毫升x1x6bottle瓶;極品限定高鈣牛乳200ml;109;1;2000;90;9027;36.70%;1;150209250010;ml;6;bottle;115;18166666666666668;3669724770642202;volume;月;25257286443082556;2953172659135195;7368582034562819;19337885822061146;31688834825662787;5555758616908513;0.08571428571428572
