title;category;price;brand;specification;query;original_price;original_price_checked;capacity;shelf_life;order;Discount;Promo;item_code;capacity_unit;pieces_per_package;package_unit;price_per_piece;original_price_per_piece;estimation_discount;capacity_category;shelf_life_unit;log_price_per_piece;log_original_price_per_piece;shelf_life_normalized;log_price_per_piece_normalized;log_original_price_per_piece_normalized;estimation_discount_normalized;capacity_normalized
家樂福攜帶型牙間刷SSSS;美妝個清;89;家樂福;規格：12pc支x1x1set組;家樂福梅子醋;0;1;120;1200;707;0.00%;0;100520230010;pc;1;set;890;0;0;count;月;4499809670330265;0;9996246194057862;39998520497400314;0;0;0.011011011011011011
家樂福攜帶型牙間刷SSSS;美妝個清;89;家樂福;規格：12pc支x1x1set組;家樂福蘋果醋;0;1;120;1200;708;0.00%;0;100520240010;pc;1;set;890;0;0;count;月;4499809670330265;0;9996246194057862;39998520497400314;0;0;0.011011011011011011
Caravan基礎系隨身細齒梳-小;美妝個清;45;Caravan;規格：1pc件x1x1pc件;Caravan基礎系染髮梳 染髮梳;0;1;10;840;2713;0.00%;0;120060200010;pc;1;pc;450;0;0;count;月;3828641396489095;0;6993201440349242;3297410643905061;0;0;0.0
Caravan基礎系雙齒距梳-大;美妝個清;55;Caravan;規格：1pc件x1x1pc件;Caravan基礎系雙齒距梳-大 雙齒距梳-大;0;1;10;840;2715;0.00%;0;120060480010;pc;1;pc;550;0;0;count;月;402535169073515;0;6993201440349242;35032866678738406;0;0;0.0
Caravan梳理按摩氣墊梳-大;美妝個清;149;;規格：1pc件x1x1pc件;Caravan梳理按摩氣墊梳-大 按摩氣墊梳-大;0;1;10;840;2717;0.00%;0;120060620010;pc;1;pc;1490;0;0;count;月;50106352940962555;0;6993201440349242;4534479628664632;0;0;0.0
Caravan原木頭皮護理氣墊梳;美妝個清;149;;規格：1pc件x1x1pc件;Caravan原木頭皮護理氣墊梳 原木頭皮氣墊梳;0;1;10;840;2718;0.00%;0;120060670010;pc;1;pc;1490;0;0;count;月;50106352940962555;0;6993201440349242;4534479628664632;0;0;0.0
Caravan黑檀吹整養護豬鬃捲梳;美妝個清;169;;規格：1pc件x1x1pc件;Caravan黑檀吹整養護豬鬃捲梳;0;1;10;840;2720;0.00%;0;120061140010;pc;1;pc;1690;0;0;count;月;5135798437050262;0;6993201440349242;4665474756894042;0;0;0.0
Caravan直順抗靜電梳-大;美妝個清;125;;規格：1pc件x1x1pc件;Caravan直順抗靜電梳-大 抗靜電梳-大;0;1;10;840;2721;0.00%;0;120061350010;pc;1;pc;1250;0;0;count;月;4836281906951478;0;6993201440349242;4352002233424926;0;0;0.0
Caravan吹整塑型排梳-6排;美妝個清;99;;規格：1pc件x1x1pc件;Caravan吹整塑型排梳-6排 塑型排梳-6排;0;1;10;840;2722;0.00%;0;120061360010;pc;1;pc;990;0;0;count;月;4605170185988092;0;6993201440349242;411012184588909;0;0;0.0
Caravan原木吹整養護混毛捲梳;美妝個清;149;;規格：1pc件x1x1pc件;Caravan原木吹整養護混毛捲梳 原木混毛捲梳;0;1;10;840;2723;0.00%;0;120061430010;pc;1;pc;1490;0;0;count;月;50106352940962555;0;6993201440349242;4534479628664632;0;0;0.0
