title;category;price;brand;specification;query;original_price;original_price_checked;capacity;shelf_life;order;Discount;Promo;item_code;capacity_unit;pieces_per_package;package_unit;price_per_piece;original_price_per_piece;estimation_discount;capacity_category;shelf_life_unit;log_price_per_piece;log_original_price_per_piece;shelf_life_normalized;log_price_per_piece_normalized;log_original_price_per_piece_normalized;estimation_discount_normalized;capacity_normalized
魅尚萱 完美修護精油洗髮精;美妝個清;359;魅尚萱;規格：680ml毫升x1x1pc瓶;魅萱 完美修護精油洗髮精 680ml 魅萱精油洗;420;1;6800;360;2042;14.52%;1;120000100010;ml;1;pc;3590;4200;14523809523809526;volume;月;5886104031450156;6042632833682381;2989141768737748;5450740892195348;6484009432579593;21988237526086132;0.01780802735143904
美吾髮琥珀檀香雪松精油洗髮露;美妝個清;139;美吾髮;規格：700ml毫升x1x1pc瓶;美吾髮琥珀檀香雪松精油洗髮露;150;1;7000;360;2043;7.33%;1;120000110010;ml;1;pc;1390;1500;7333333333333333;volume;月;4941642422609304;5017279836814924;2989141768737748;4462272029573983;5383760801493926;11102257636122177;0.01833645546275771
魅尚萱 完美深層修護洗髮精;美妝個清;359;魅尚萱;規格：680ml毫升x1x1pc瓶;魅尚萱 完美深層修護洗髮精680ml 魅尚萱修護洗;420;1;6800;360;2052;14.52%;0;120000230010;ml;1;pc;3590;4200;14523809523809526;volume;月;5886104031450156;6042632833682381;2989141768737748;5450740892195348;6484009432579593;21988237526086132;0.01780802735143904
思波綺瞬亮修護洗髮乳N;美妝個清;255;思波綺;規格：450ml毫升x1x1pc瓶;思波綺瞬亮修護洗髮乳 思波綺瞬亮修洗;275;1;4500;360;2064;7.27%;1;120000440010;ml;1;pc;2550;2750;72727272727272725;volume;月;5545177444479562;562040086571715;2989141768737748;5093928807399436;6030936055729255;11010503440782324;0.011731104071274381
美吾髮白茶茉莉馨香洗髮露;美妝個清;139;美吾髮;規格：700ml毫升x1x1pc瓶;美吾髮白茶茉莉馨香洗髮露;150;1;7000;360;2065;7.33%;1;120000450010;ml;1;pc;1390;1500;7333333333333333;volume;月;4941642422609304;5017279836814924;2989141768737748;4462272029573983;5383760801493926;11102257636122177;0.01833645546275771
思波綺瞬亮潤澤洗髮乳N;美妝個清;255;思波綺;規格：450ml毫升x1x1pc瓶;思波綺瞬亮潤澤洗髮乳 思波綺瞬亮潤洗;275;1;4500;360;2066;7.27%;1;120000460010;ml;1;pc;2550;2750;72727272727272725;volume;月;5545177444479562;562040086571715;2989141768737748;5093928807399436;6030936055729255;11010503440782324;0.011731104071274381
美吾髮鼠尾草海鹽沁香洗髮露;美妝個清;139;美吾髮;規格：700ml毫升x1x1pc瓶;美吾髮鼠尾草沁香洗髮露;150;1;7000;360;2074;7.33%;0;120000570010;ml;1;pc;1390;1500;7333333333333333;volume;月;4941642422609304;5017279836814924;2989141768737748;4462272029573983;5383760801493926;11102257636122177;0.01833645546275771
英國製皂-斑比液態皂 玫瑰與牡丹;美妝個清;560;英國製皂;規格：500ml毫升x1x1pc瓶;超值玫瑰洗髮乳;0;1;5000;360;2076;0.00%;1;120000590010;ml;1;pc;5600;0;0;volume;月;6329720905522696;0;2989141768737748;5915028125100777;0;0;0.013052174349571047
Drs Formula髮根強化洗髮精-清爽(三代);美妝個清;289;Dr's Formula;規格：580ml毫升x1x1pc瓶;Drs Formula髮根強化洗髮精清;323;1;5800;360;2081;10.53%;1;120000670010;ml;1;pc;2890;3230;10526315789473683;volume;月;566988092298052;5780743515792329;2989141768737748;5224442853078914;6202990735228737;15936254980079678;0.01516588679484571
美國箭牌馬洗髮精;美妝個清;355;箭牌馬;規格：946ml毫升x1x1bottle瓶;美國箭牌馬洗髮精;359;1;9460;333;2088;1.11%;0;120000760010;ml;1;bottle;3550;3590;11142061281337048;volume;月;587493073085203;5886104031450156;2763913412209601;5439046970885503;6316047178694703;1686845931039075;0.024836121231977298
Farcent香水奇蹟洗髮露-同名花語;美妝個清;369;Farcent 香水;規格：600ml毫升x1x1box箱;Farcent香水奇蹟洗髮露-同名花語;0;1;6000;360;2090;0.00%;0;120000800010;ml;1;box;3690;0;0;volume;月;591350300563827;0;2989141768737748;5479416523474799;0;0;0.015694314906164377
美吾髮藍風鈴奢香蓬鬆洗髮露;美妝個清;139;美吾髮;規格：700ml毫升x1x1pc瓶;美吾髮藍風鈴奢香蓬鬆洗髮露;150;1;7000;360;2106;7.33%;1;120001080010;ml;1;pc;1390;1500;7333333333333333;volume;月;4941642422609304;5017279836814924;2989141768737748;4462272029573983;5383760801493926;11102257636122177;0.01833645546275771
美吾髮晨霧玫瑰奢香柔順洗髮露;美妝個清;139;美吾髮;規格：700ml毫升x1x1pc瓶;美吾髮晨霧玫瑰奢香柔順洗髮露;150;1;7000;360;2117;7.33%;0;120001280010;ml;1;pc;1390;1500;7333333333333333;volume;月;4941642422609304;5017279836814924;2989141768737748;4462272029573983;5383760801493926;11102257636122177;0.01833645546275771
美吾髮小蒼蘭梨萃香水洗髮露;美妝個清;139;美吾髮;規格：700ml毫升x1x1pc瓶;美吾髮小蒼蘭梨萃香水洗髮露;150;1;7000;360;2130;7.33%;1;120001520010;ml;1;pc;1390;1500;7333333333333333;volume;月;4941642422609304;5017279836814924;2989141768737748;4462272029573983;5383760801493926;11102257636122177;0.01833645546275771
瑪宣妮輕巧旅行組150ml;美妝個清;109;瑪宣妮;規格：150ml毫升x1x1set組;瑪宣妮輕巧旅行組 瑪宣妮旅行組;150;1;1500;600;2131;27.33%;0;120001540010;ml;1;set;1090;1500;27333333333333332;volume;月;4700480365792417;5017279836814924;4991171604543494;42098730100926246;5383760801493926;41381142098273566;0.0038046824014943944
花王植萃弱酸洗髮精酷爽去屑型750ml;美妝個清;139;花王;規格：750ml毫升x1x1pc瓶;花王植萃弱酸洗髮精保濕去屑型;150;1;7500;360;2136;7.33%;0;120001650010;ml;1;pc;1390;1500;7333333333333333;volume;月;4941642422609304;5017279836814924;2989141768737748;4462272029573983;5383760801493926;11102257636122177;0.019657525741054373
瑪宣妮莓果珍珠洗髮精-蓬鬆感450ml;美妝個清;199;瑪宣妮;規格：450ml毫升x1x1bottle瓶;瑪宣妮莓果珍珠洗髮精-蓬鬆感;0;1;4500;360;2138;0.00%;0;120001670010;ml;1;bottle;1990;0;0;volume;月;5298317366548036;0;2989141768737748;4835566267116747;0;0;0.011731104071274381
花王植萃弱酸洗髮精涼感控油型750ml;美妝個清;139;花王;規格：750ml毫升x1x1pc瓶;花王植萃弱酸洗髮精涼感控油型;150;1;7500;360;2140;7.33%;0;120001700010;ml;1;pc;1390;1500;7333333333333333;volume;月;4941642422609304;5017279836814924;2989141768737748;4462272029573983;5383760801493926;11102257636122177;0.019657525741054373
花王洗髮精清新沁涼型750ml;美妝個清;109;花王;規格：750ml毫升x1x1bottle瓶;花王洗髮精清新沁涼型;0;1;7500;333;2143;0.00%;0;120001780010;ml;1;bottle;1090;0;0;volume;月;4700480365792417;0;2763913412209601;42098730100926246;0;0;0.019657525741054373
花王洗髮精溫和柔潤型750ml;美妝個清;109;花王;規格：750ml毫升x1x1bottle瓶;花王洗髮精溫和柔潤型;0;1;7500;333;2144;0.00%;1;120001790010;ml;1;bottle;1090;0;0;volume;月;4700480365792417;0;2763913412209601;42098730100926246;0;0;0.019657525741054373
花王洗髮精深層柔潤型;美妝個清;109;花王;規格：750ml毫升x1x1pc瓶;花王洗髮精深層柔潤型;0;1;7500;360;2153;0.00%;1;120001930010;ml;1;pc;1090;0;0;volume;月;4700480365792417;0;2989141768737748;42098730100926246;0;0;0.019657525741054373
脫普咖啡因頭皮調理洗髮精800ML;美妝個清;95;脫普;規格：800ml毫升x1x1pc瓶;脫普咖啡因頭皮調理洗髮精800ML;96;1;8000;360;2155;1.04%;0;120001960010;ml;1;pc;950;960;10416666666666665;volume;月;4564348191467836;4574710978503383;2989141768737748;40673977477196616;4908865051439017;1577025232403718;0.020978596019351037
潘婷絲質順滑洗髮乳700ml;美妝個清;229;Pantene潘婷;規格：700ml毫升x1x1bottle瓶;潘婷絲質順滑洗髮乳700ml;0;1;7000;333;2161;0.00%;1;120002050010;ml;1;bottle;2290;0;0;volume;月;5438079308923196;0;2763913412209601;49818404268328625;0;0;0.01833645546275771
Hair Recipe生薑蘋果滋養洗髮露;美妝個清;279;Hair recipe髮的食譜;規格：530ml毫升x1x1pc瓶;Hair Recipe生薑蘋果滋養洗髮露;323;1;5300;360;2162;13.62%;0;120002060010;ml;1;pc;2790;3230;13622291021671826;volume;月;5634789603169249;5780743515792329;2989141768737748;5187716450801643;6202990735228737;20623388797750172;0.013844816516549046
逸萱秀柔亮零毛燥洗髮乳-700ml;美妝個清;179;逸萱秀Essential;規格：700ml毫升x1x1pc瓶;逸萱秀柔亮零毛燥洗髮乳 柔亮零毛燥洗髮;0;1;7000;360;2168;0.00%;0;120002140010;ml;1;pc;1790;0;0;volume;月;519295685089021;0;2989141768737748;472529647096769;0;0;0.01833645546275771
逸萱秀清爽防油光洗髮精-700ml;美妝個清;179;逸萱秀Essential;規格：700ml毫升x1x1pc瓶;逸萱秀清爽防油光洗髮精 清爽防油光洗髮;0;1;7000;360;2170;0.00%;1;120002170010;ml;1;pc;1790;0;0;volume;月;519295685089021;0;2989141768737748;472529647096769;0;0;0.01833645546275771
阿葵亞瞬護賦活洗髮精;美妝個清;199;阿葵亞;規格：600ml毫升x1x1pc瓶;阿葵亞瞬護賦活洗髮精;250;1;6000;360;2172;20.40%;1;120002200010;ml;1;pc;1990;2500;204;volume;月;5298317366548036;55254529391317835;2989141768737748;4835566267116747;5929052775952314;3088446215139442;0.015694314906164377
Drs Formula恆采固色洗髮精(波光水潤);美妝個清;279;Dr's Formula;規格：580ml毫升x1x1pc瓶;Drs Formula恆采固色洗髮精;301;1;5800;360;2173;7.31%;0;120002210010;ml;1;pc;2790;3010;7308970099667775;volume;月;5634789603169249;571042701737487;2989141768737748;5187716450801643;6127538055651162;11065373059257985;0.01516588679484571
沛特斯有機迷迭香洗髮精475ml;美妝個清;229;沛特斯;規格：475ml毫升x1x1bottle瓶;沛特斯有機迷迭香洗髮精 有機迷迭香;319;1;4750;480;2176;28.21%;1;120002240010;ml;1;bottle;2290;3190;28213166144200624;volume;月;5438079308923196;5768320995793772;3990156686640621;49818404268328625;6189660827709275;427131598995866;0.012391639210422715
沛特斯有機薰衣草洗髮精475ml;美妝個清;229;沛特斯;規格：475ml毫升x1x1bottle瓶;沛特斯有機薰衣草洗髮精 有機薰衣草;319;1;4750;480;2177;28.21%;1;120002250010;ml;1;bottle;2290;3190;28213166144200624;volume;月;5438079308923196;5768320995793772;3990156686640621;49818404268328625;6189660827709275;427131598995866;0.012391639210422715
沛特斯有機茶樹洗髮精475ml;美妝個清;229;沛特斯;規格：475ml毫升x1x1bottle瓶;沛特斯有機茶樹洗髮精;319;1;4750;480;2178;28.21%;0;120002260010;ml;1;bottle;2290;3190;28213166144200624;volume;月;5438079308923196;5768320995793772;3990156686640621;49818404268328625;6189660827709275;427131598995866;0.012391639210422715
逸萱秀速乾空氣感洗髮精-700ml;美妝個清;179;逸萱秀Essential;規格：700ml毫升x1x1pc瓶;逸萱秀速乾空氣感洗髮精 速乾空氣感洗髮;0;1;7000;360;2182;0.00%;0;120002320010;ml;1;pc;1790;0;0;volume;月;519295685089021;0;2989141768737748;472529647096769;0;0;0.01833645546275771
瑪宣妮蜜桃珍珠洗髮精450ml 日本進口;美妝個清;199;瑪宣妮;規格：450ml毫升x1x1bottle瓶;瑪宣妮蜜桃珍珠洗髮精-絲潤感;0;1;4500;600;2186;0.00%;0;120002410010;ml;1;bottle;1990;0;0;volume;月;5298317366548036;0;4991171604543494;4835566267116747;0;0;0.011731104071274381
曼秀雷敦頭皮活力洗髮精550ml;美妝個清;149;曼秀雷敦;規格：550ml毫升x1x1bottle瓶;曼秀雷敦咖啡因頭皮活力洗髮精;173;1;5500;360;2190;13.87%;0;120002460010;ml;1;bottle;1490;1730;13872832369942195;volume;月;50106352940962555;5159055299214529;2989141768737748;4534479628664632;5535892076189821;2100269442461368;0.014373244627867711
Farm Recipe萃進化紅石榴保水柔順洗髮精-480ml;美妝個清;299;FarmRecipe 萃進化;規格：480ml毫升x1x1pc瓶;Farm Recipe萃進化紅石榴保水柔順洗髮精;0;1;4800;360;2192;0.00%;1;120002480010;ml;1;pc;2990;0;0;volume;月;5703782474656201;0;2989141768737748;5259924049892291;0;0;0.01252374623825238
脫普清涼潔淨洗髮精800ml;美妝個清;95;脫普;規格：800ml毫升x1x1bottle瓶;脫普清涼潔淨洗髮精;96;1;8000;333;2196;1.04%;1;120002610010;ml;1;bottle;950;960;10416666666666665;volume;月;4564348191467836;4574710978503383;2763913412209601;40673977477196616;4908865051439017;1577025232403718;0.020978596019351037
呂滋養韌髮洗髮精_中乾性頭皮適用;美妝個清;210;呂;規格：400ml毫升x1x1pc瓶;呂滋養韌髮洗髮精_中乾性頭皮適用 呂滋養乾性洗;351;1;4000;360;2200;40.17%;1;120002700010;ml;1;pc;2100;3510;4017094017094017;volume;月;5351858133476067;5863631175598097;2989141768737748;4891601769771195;6291932821040945;6081656280859468;0.010410033792977717
BOTANIST 植物性洗髮精(受損護理) 490ml;美妝個清;495;BOTANIST;規格：460ml毫升x1x1pc瓶;BOTANIST植物性洗髮精受損護理 受損護理洗髮;550;1;4600;360;2201;10.00%;1;120002750010;ml;1;pc;4950;5500;100;volume;月;6206575926724928;6311734809152915;2989141768737748;578614519752561;6772767627112062;15139442231075695;0.011995318126933715
KAFEN卡氛還原酸系列控油洗髮精760ml;美妝個清;329;KA'FEN卡氛;規格：760ml毫升x1x1bottle瓶;KAFEN還原酸系列控油洗髮精;690;1;7600;333;2204;52.32%;1;120002850010;ml;1;bottle;3290;6900;5231884057971015;volume;月;5799092654460526;653813982376767;2763913412209601;5359675214095826;701571011439385;7920780645533807;0.019921739796713706
呂 滋養韌髮洗髮精_油性頭皮適用;美妝個清;325;呂;規格：400ml毫升x1x1pc瓶;呂滋養韌髮洗髮精_油性頭皮適用;351;1;4000;360;2207;7.41%;1;120002950010;ml;1;pc;3250;3510;74074074074074066;volume;月;5786897381366708;5863631175598097;2989141768737748;534691170141139;6291932821040945;11214401652648663;0.010410033792977717
呂 滋養韌髮洗髮精_敏感性頭皮適用;美妝個清;325;呂;規格：400ml毫升x1x1pc瓶;呂滋養韌髮洗髮精_敏感性頭皮適用 呂滋養敏感洗;351;1;4000;360;2213;7.41%;0;120003090010;ml;1;pc;3250;3510;74074074074074066;volume;月;5786897381366708;5863631175598097;2989141768737748;534691170141139;6291932821040945;11214401652648663;0.010410033792977717
美吾髮馬鞭草清新水漾洗髮露;美妝個清;139;美吾髮;規格：700ml毫升x1x1pc瓶;美吾髮馬鞭草清新水漾洗髮露;150;1;7000;360;2217;7.33%;0;120003170010;ml;1;pc;1390;1500;7333333333333333;volume;月;4941642422609304;5017279836814924;2989141768737748;4462272029573983;5383760801493926;11102257636122177;0.01833645546275771
Elastine伊絲婷永恆珍愛奢華香水洗髮精;美妝個清;338;Elastine伊絲婷;規格：600ml毫升x1x1bottle瓶;Elastine香水洗髮精永恆珍愛;0;1;6000;360;2219;0.00%;0;120003190010;ml;1;bottle;3380;0;0;volume;月;582600010738045;0;2989141768737748;5387836421639707;0;0;0.015694314906164377
Elastine伊絲婷甜蜜愛戀奢華香水洗髮精;美妝個清;338;Elastine伊絲婷;規格：600ml毫升x1x1bottle瓶;Elastine香水洗髮精甜蜜愛戀;0;1;6000;360;2220;0.00%;1;120003200010;ml;1;bottle;3380;0;0;volume;月;582600010738045;0;2989141768737748;5387836421639707;0;0;0.015694314906164377
