title;category;price;brand;specification;query;original_price;original_price_checked;capacity;shelf_life;order;Discount;Promo;item_code;capacity_unit;pieces_per_package;package_unit;price_per_piece;original_price_per_piece;estimation_discount;capacity_category;shelf_life_unit;log_price_per_piece;log_original_price_per_piece;shelf_life_normalized;log_price_per_piece_normalized;log_original_price_per_piece_normalized;estimation_discount_normalized;capacity_normalized
566護色增亮洗髮乳700g;美妝個清;99;566;規格：700g克x1x1bottle瓶;566護色增亮洗髮乳-補充包;107;1;7000;333;2038;7.48%;1;120000020010;g;1;bottle;990;1070;7476635514018691;weight;月;4605170185988092;468213122712422;2763913412209601;411012184588909;5024131678500171;1131920914472949;0.3778739518528537
566洗潤雙效洗髮乳800g;美妝個清;105;566;規格：800g克x1x1bottle瓶;566洗潤雙效洗髮乳;124;1;8000;333;2047;15.32%;0;120000160010;g;1;bottle;1050;1240;1532258064516129;weight;月;4663439094112067;48283137373023015;2763913412209601;41711057978044924;518099190829759;23197532450841793;0.43197186908304036
飛柔控油止癢洗髮露;美妝個清;139;Pert飛柔;規格：750g克x1x1bottle瓶;飛柔熱油滋潤洗髮乳;0;1;7500;360;2050;0.00%;1;120000200010;g;1;bottle;1390;0;0;weight;月;4941642422609304;0;2989141768737748;4462272029573983;0;0;0.40492291046794704
麗仕柔亮直順洗髮乳;美妝個清;189;Lux麗仕;規格：750g克x1x1pc瓶;麗仕柔亮直順洗髮乳 麗仕直順洗髮乳;0;1;7500;360;2062;0.00%;1;120000420010;g;1;pc;1890;0;0;weight;月;5247024072160486;0;2989141768737748;4781882958140757;0;0;0.40492291046794704
麗仕柔亮清爽洗髮乳;美妝個清;189;Lux麗仕;規格：750g克x1x1pc瓶;麗仕柔亮清爽洗髮乳 麗仕清爽洗髮乳;0;1;7500;360;2091;0.00%;1;120000810010;g;1;pc;1890;0;0;weight;月;5247024072160486;0;2989141768737748;4781882958140757;0;0;0.40492291046794704
566薄荷淨屑洗髮露800g;美妝個清;115;566;規格：800g克x1x1pc瓶;566 薄荷淨屑洗髮露;124;1;8000;600;2096;7.26%;1;120000890010;g;1;pc;1150;1240;7258064516129033;weight;月;47535901911063645;48283137373023015;4991171604543494;4265457491378771;518099190829759;10988304845135587;0.43197186908304036
566蛋黃素洗髮乳800g;美妝個清;105;566;規格：800g克x1x1bottle瓶;566蛋黃素洗髮乳;124;1;8000;333;2101;15.32%;0;120000970010;g;1;bottle;1050;1240;1532258064516129;weight;月;4663439094112067;48283137373023015;2763913412209601;41711057978044924;518099190829759;23197532450841793;0.43197186908304036
飛柔控油去屑洗髮露組;美妝個清;215;飛柔;規格：1000g克x1x1set組;超值薄荷洗髮乳;0;1;10000;360;2104;0.00%;1;120001010010;g;1;set;2150;0;0;weight;月;5375278407684165;0;2989141768737748;49161133132707474;0;0;0.5401677035434136
麗仕柔亮修護洗髮乳;美妝個清;189;Lux麗仕;規格：750g克x1x1pc瓶;麗仕柔亮修護洗髮乳 麗仕修護洗髮乳;0;1;7500;360;2118;0.00%;1;120001290010;g;1;pc;1890;0;0;weight;月;5247024072160486;0;2989141768737748;4781882958140757;0;0;0.40492291046794704
潘婷奇蹟系列柔亮護色護髮精華素;美妝個清;329;Pantene潘婷;規格：500g克x1x1pc瓶;潘婷奇蹟系列柔亮護色洗髮露 潘婷奇蹟護色洗;355;1;5000;360;2121;7.32%;0;120001350010;g;1;pc;3290;3550;7323943661971831;weight;月;5799092654460526;587493073085203;2989141768737748;5359675214095826;6304057738252871;11088042197407552;0.26967811739248043
花香5原效洗髮乳-櫻花香;美妝個清;129;花香5;規格：1100g克x1x1bottle瓶;花香5原效洗髮乳-櫻花香;158;1;11000;333;2126;18.35%;1;120001470010;g;1;bottle;1290;1580;18354430379746837;weight;月;4867534450455582;50689042022202315;2763913412209601;43847109913483323;5439156004454646;277875838418478;0.5942656207736002
花香5原效洗髮乳-茉莉花香;美妝個清;129;花香5;規格：1100g克x1x1bottle瓶;花香5原效洗髮乳-茉莉花香;158;1;11000;333;2128;18.35%;0;120001490010;g;1;bottle;1290;1580;18354430379746837;weight;月;4867534450455582;50689042022202315;2763913412209601;43847109913483323;5439156004454646;277875838418478;0.5942656207736002
麗仕柔亮強韌洗髮乳;美妝個清;189;Lux麗仕;規格：750g克x1x1pc瓶;麗仕柔亮強韌洗髮乳 麗仕強韌洗髮乳;0;1;7500;360;2135;0.00%;1;120001630010;g;1;pc;1890;0;0;weight;月;5247024072160486;0;2989141768737748;4781882958140757;0;0;0.40492291046794704
麗仕柔亮絲滑潤髮乳;美妝個清;189;Lux麗仕;規格：650g克x1x1pc瓶;麗仕柔亮絲滑洗髮乳 麗仕絲滑洗髮乳;0;1;6500;360;2139;0.00%;1;120001690010;g;1;pc;1890;0;0;weight;月;5247024072160486;0;2989141768737748;4781882958140757;0;0;0.3508249932377604
566潤澤抗菌香氛洗髮精-白麝香800g;美妝個清;108;566;規格：800g克x1x1bottle瓶;566潤澤抗菌香氛洗髮精-白麝香 潤澤抗菌白麝香;119;1;8000;600;2145;9.24%;0;120001820010;g;1;bottle;1080;1190;9243697478991598;weight;月;46913478822291435;4787491742782046;4991171604543494;4200314997828075;5137188121966135;13994442398473333;0.43197186908304036
潘婷絲質順滑洗髮露650G;美妝個清;199;;規格：650g克x1x1bottle瓶;潘婷強韌頭髮減少斷裂洗髮精;0;1;6500;360;2163;0.00%;1;120002070010;g;1;bottle;1990;0;0;weight;月;5298317366548036;0;2989141768737748;4835566267116747;0;0;0.3508249932377604
566抗屑抗菌香氛洗髮精-小蒼蘭800g;美妝個清;108;566;規格：800g克x1x1bottle瓶;566抗屑抗菌香氛洗髮精-小蒼蘭 抗屑抗菌小蒼蘭;119;1;8000;600;2175;9.24%;1;120002230010;g;1;bottle;1080;1190;9243697478991598;weight;月;46913478822291435;4787491742782046;4991171604543494;4200314997828075;5137188121966135;13994442398473333;0.43197186908304036
水平衡香水洗髮精浪漫小確幸700g;美妝個清;169;水平衡;規格：700g克x1x1pc瓶;水平衡香水洗髮精浪漫小確幸 浪漫小確幸;0;1;7000;360;2188;0.00%;1;120002430010;g;1;pc;1690;0;0;weight;月;5135798437050262;0;2989141768737748;4665474756894042;0;0;0.3778739518528537
水平衡香水洗髮精現正戀愛中700g;美妝個清;149;水平衡;規格：700g克x1x1pc瓶;水平衡香水洗髮精現正戀愛中 現正戀愛中;169;1;7000;360;2202;11.83%;1;120002760010;g;1;pc;1490;1690;11834319526627219;weight;月;50106352940962555;5135798437050262;2989141768737748;4534479628664632;5510936445458008;17916499681746387;0.3778739518528537
清淨海環保洗髮精-750g;美妝個清;129;清淨海;規格：750g克x1x1bottle瓶;清淨海環保洗髮精;139;1;7500;333;2205;7.19%;1;120002880010;g;1;bottle;1290;1390;7194244604316546;weight;月;4867534450455582;4941642422609304;2763913412209601;43847109913483323;5302598546453138;10891685058327838;0.40492291046794704
麗仕柔亮護色洗髮乳;美妝個清;189;Lux麗仕;規格：750g克x1x1pc瓶;麗仕柔亮護色洗髮乳;0;1;7500;360;2215;0.00%;1;120003140010;g;1;pc;1890;0;0;weight;月;5247024072160486;0;2989141768737748;4781882958140757;0;0;0.40492291046794704
麗仕髮的補給角蛋白胺基酸蓬鬆洗髮精;美妝個清;299;Lux麗仕;規格：450g克x1x1pc瓶;麗仕髮的補給角蛋白胺基酸洗髮精;323;1;4500;360;2242;7.43%;1;120003660010;g;1;pc;2990;3230;7430340557275541;weight;月;5703782474656201;5780743515792329;2989141768737748;5259924049892291;6202990735228737;11249121162409186;0.24262915877738708
麗仕髮的補給膠原蛋白胺基酸保濕洗髮精;美妝個清;299;Lux麗仕;規格：450g克x1x1pc瓶;麗仕髮的補給膠原蛋白胺基酸洗髮精;323;1;4500;360;2244;7.43%;0;120003720010;g;1;pc;2990;3230;7430340557275541;weight;月;5703782474656201;5780743515792329;2989141768737748;5259924049892291;6202990735228737;11249121162409186;0.24262915877738708
蒂沐蝶深層純淨洗髮精500g;美妝個清;263;Timotei 蒂沐蝶;規格：500g克x1x1pc瓶;蒂沐蝶深層純淨洗髮精;0;1;5000;360;2246;0.00%;0;120003740010;g;1;pc;2630;0;0;weight;月;5575949103146316;0;2989141768737748;5126134273623341;0;0;0.26967811739248043
蒂沐蝶玫瑰保濕植萃洗髮精500g;美妝個清;263;Timotei 蒂沐蝶;規格：500g克x1x1pc瓶;蒂沐蝶玫瑰保濕植萃洗髮精;0;1;5000;360;2247;0.00%;0;120003750010;g;1;pc;2630;0;0;weight;月;5575949103146316;0;2989141768737748;5126134273623341;0;0;0.26967811739248043
蒂沐蝶茶樹清爽植萃洗髮精500g;美妝個清;263;Timotei 蒂沐蝶;規格：500g克x1x1pc瓶;蒂沐蝶茶樹清爽植萃洗髮精;0;1;5000;360;2248;0.00%;1;120003770010;g;1;pc;2630;0;0;weight;月;5575949103146316;0;2989141768737748;5126134273623341;0;0;0.26967811739248043
多芬深層修護洗髮乳;美妝個清;179;Dove 多芬;規格：700g克x1x1pc瓶;多芬深層修護洗髮乳;0;1;7000;360;2273;0.00%;0;120001250010;g;1;pc;1790;0;0;weight;月;519295685089021;0;2989141768737748;472529647096769;0;0;0.3778739518528537
蒂沐蝶金盞花修護植萃洗髮精-500g;美妝個清;263;Timotei 蒂沐蝶;規格：500g克x1x1pc瓶;蒂沐蝶金盞花修護植萃洗髮精;0;1;5000;360;2277;0.00%;1;120004690010;g;1;pc;2630;0;0;weight;月;5575949103146316;0;2989141768737748;5126134273623341;0;0;0.26967811739248043
多芬去屑修護洗髮乳700g;美妝個清;179;Dove 多芬;規格：700g克x1x1pc瓶;多芬去屑修護洗髮乳;0;1;7000;360;2281;0.00%;0;120004940010;g;1;pc;1790;0;0;weight;月;519295685089021;0;2989141768737748;472529647096769;0;0;0.3778739518528537
多芬清爽淨化洗髮乳;美妝個清;179;Dove 多芬;規格：700g克x1x1pc瓶;多芬清爽淨化洗髮乳;0;1;7000;360;2282;0.00%;1;120004950010;g;1;pc;1790;0;0;weight;月;519295685089021;0;2989141768737748;472529647096769;0;0;0.3778739518528537
多芬直順亮澤洗髮乳700g;美妝個清;179;Dove 多芬;規格：700g克x1x1pc瓶;多芬直順亮澤洗髮乳;0;1;7000;360;2284;0.00%;0;120004970010;g;1;pc;1790;0;0;weight;月;519295685089021;0;2989141768737748;472529647096769;0;0;0.3778739518528537
