title;category;price;brand;specification;query;original_price;original_price_checked;capacity;shelf_life;order;Discount;Promo;item_code;capacity_unit;pieces_per_package;package_unit;price_per_piece;original_price_per_piece;estimation_discount;capacity_category;shelf_life_unit;log_price_per_piece;log_original_price_per_piece;shelf_life_normalized;log_price_per_piece_normalized;log_original_price_per_piece_normalized;estimation_discount_normalized;capacity_normalized
【半天水】鮮剖100%純椰汁24瓶〈含果肉/520ml/瓶/易開罐〉免運;飲料零食;1050;半天水;規格：520ml/瓶;鮮剖100椰子汁含椰肉520ml;1440;1;5200;240;135;27.08%;1;100140050010;pcs;1;;10500;14400;27083333333333332;count;月;6957497370876951;7273092595999522;1988126850834874;6572055878140707;7804346597664634;41002656042496677;1.0
【限量】白蘭氏雙認證雞精禮盒68mlx12(獨立包裝);飲料零食;759;白蘭氏;規格：1box盒x1x1box盒;白蘭氏雙認證雞精 68mlX12;0;1;10;333;356;0.00%;1;100230830010;bo;1;box;7590;0;0;count;月;6633318433280377;0;2763913412209601;6232771800596074;0;0;0.0
桂格活靈芝禮盒 60mlx8;飲料零食;439;桂格;規格：1box盒x1x1box盒;桂格活靈芝禮盒 60mlx8;499;1;10;240;728;12.02%;1;109040050010;bo;1;box;4390;4990;12024048096192384;count;月;60867747269123065;6214608098422191;1988126850834874;5660761852547941;6668546416612059;1820373815359803;0.0
桂格雙效活靈芝禮盒60ml*8;飲料零食;479;桂格;規格：1box盒x1x1box盒;桂格雙效活靈芝禮盒60ml*8;599;1;10;240;730;20.03%;1;109040080010;bo;1;box;4790;5990;2003338898163606;count;月;6173786103901937;6396929655216146;1988126850834874;5751827530647464;6864185424731999;30329433518014753;0.0
桂格養氣人蔘雞精禮盒68ml*8;飲料零食;525;桂格;規格：1box盒x1x1box盒;桂格養氣人蔘雞精禮盒68ml*8;0;1;10;333;736;0.00%;1;109040280010;bo;1;box;5250;0;0;count;月;626530121273771;0;2763913412209601;5847606792289014;0;0;0.0
桂格養氣人蔘禮盒60mlx8;飲料零食;478;桂格;規格：1box盒x1x1box盒;桂格養氣人蔘禮盒60mlx8;509;1;10;240;737;6.09%;0;109048990010;bo;1;box;4780;5090;6090373280943026;count;月;6171700597410915;6234410725718371;1988126850834874;5749644849837706;6689795502186574;922048544525239;0.0
【亞尼克菓子工房】亞尼克起司磚-草莓 7入/盒(5個工作日出貨);飲料零食;525;亞尼克菓子工房;規格：7入/盒;奧利奧草莓起司蛋糕口味夾心餅乾;0;1;70;16666666666666666;5956;0.00%;0;141200260010;pcs;1;;5250;0;0;count;月;626530121273771;0;0;5847606792289014;0;0;0.011560693641618497
大地花生工坊 原味花生片200g(常溫);飲料零食;209;;規格：1pack包x1x1pack包;家福無鹽花生 200g;220;1;10;100;6049;5.00%;1;141310660010;pack;1;pack;2090;2200;50;count;月;53471075307174685;53981627015177525;8202761132815215;4886629812349526;5792464781268264;7569721115537847;0.0
【山海屯】自然果實-愛文芒果乾110g;飲料零食;160;山海屯;規格：1包;台灣愛文芒果乾;0;1;10;120;6269;0.00%;1;142100190010;pcs;1;;1600;0;0;count;月;5081404364984463;0;9871119329320005;46085461892900986;0;0;0.0
懷舊復刻茶食 澎湖特產 (大蒜花生160g/鹹酥花生(全素)170g) 口味任選 [6包免運組];飲料零食;420;4乘6;規格：160-170g;四乘六大蒜花生;600;1;1600;80;6507;30.00%;0;142400140010;pcs;1;;4200;6000;300;count;月;6042632833682381;6398594934535208;6534402936310426;5614563164759573;6865972342307478;4541832669322709;0.3063583815028902
[帕莎蒂娜] 咖啡核桃吐司 (6片);飲料零食;168;帕莎蒂娜PASADENA;規格：1顆;豆之家健康果仁;178;1;10;9990;6637;5.62%;0;142440120010;pcs;1;;1680;1780;5617977528089887;count;冷藏;51298987149230735;5187385805840755;8332058893044335;46593001368075765;5566291949432205;8505304624199829;0.0
