title;category;price;brand;specification;query;original_price;original_price_checked;capacity;shelf_life;order;Discount;Promo;item_code;capacity_unit;pieces_per_package;package_unit;price_per_piece;original_price_per_piece;estimation_discount;capacity_category;shelf_life_unit;log_price_per_piece;log_original_price_per_piece;shelf_life_normalized;log_price_per_piece_normalized;log_original_price_per_piece_normalized;estimation_discount_normalized;capacity_normalized
可口可樂纖維+600ml;飲料零食;120;CocaCola 可口可樂;規格：600ml毫升x1x4bottle瓶;可口可樂Zero 600ml;0;1;6000;90;2;0.00%;1;100000010010;ml;4;bottle;300;0;0;volume;月;34339872044851463;0;7368582034562819;2884367512614976;0;0;0.09307875894988067
可口可樂2L;飲料零食;230;CocaCola 可口可樂;規格：2000ml毫升x1x6bottle瓶;可口可樂2L;296;1;20000;90;3;22.30%;1;100000020010;ml;6;bottle;38333333333333336;49333333333333336;222972972972973;volume;月;3672072335797555;39186675481468147;7368582034562819;3133546237035834;42049017447653597;3375686443415527;0.31583134447096256
百事可樂330ml;飲料零食;77;百事可樂;規格：330ml毫升x1x6bottle瓶;百事可樂330ml;90;1;3300;120;4;14.44%;1;100000030010;ml;6;bottle;12833333333333334;150;14444444444444441;volume;月;2627081138568543;2772588722239781;9871119329320005;20398636029242795;2975109016628941;21868083222664889;0.05011933174224343
百事可樂2L;飲料零食;36;百事可樂;規格：2000ml毫升x1x1bottle瓶;百事可樂2L;52;1;20000;120;5;30.77%;1;100000040010;ml;1;bottle;360;520;3076923076923077;volume;月;36109179126442243;3970291913552122;9871119329320005;3069542319319339;426029694772608;46582899172540604;0.31583134447096256
可口可樂330ml;飲料零食;83;CocaCola 可口可樂;規格：330ml毫升x1x6bottle瓶;可口可樂330ml;95;1;3300;120;6;12.63%;1;100000050010;ml;6;bottle;13833333333333334;15833333333333334;12631578947368421;volume;月;26968769005040847;28233610476132047;9871119329320005;21129115031993262;3029589943353503;19123505976095617;0.05011933174224343
可口可樂 Zero 330ml;飲料零食;83;CocaCola 可口可樂;規格：330ml毫升x1x6bottle瓶;可口可樂 Zero 330ml;94;1;3300;90;8;11.70%;0;100000070010;ml;6;bottle;13833333333333334;15666666666666666;11702127659574462;volume;月;26968769005040847;28134107167600364;7368582034562819;21129115031993262;30189128029603945;1771636856828006;0.05011933174224343
可口可樂 1250ml;飲料零食;31;CocaCola 可口可樂;規格：1250ml毫升x1x1bottle瓶;可口可樂纖維+ 1250ml;0;1;12500;90;9;0.00%;1;100000080010;ml;1;bottle;310;0;0;volume;月;34657359027997265;0;7368582034562819;2917595543716461;0;0;0.19649960222752585
可口可樂ZERO無糖零卡2L;飲料零食;230;CocaCola 可口可樂;規格：2000ml毫升x1x6bottle瓶;可口可樂 Zero 2L;296;1;20000;90;10;22.30%;1;100000100010;ml;6;bottle;38333333333333336;49333333333333336;222972972972973;volume;月;3672072335797555;39186675481468147;7368582034562819;3133546237035834;42049017447653597;3375686443415527;0.31583134447096256
可口可樂 Can 250 ml;飲料零食;239;CocaCola 可口可樂;規格：250ml毫升x1x24bottle瓶;可口可樂 Can 250 ml;259;1;2500;120;11;7.72%;1;100000110010;ml;24;bottle;9958333333333334;10791666666666666;7722007722007712;volume;月;2394100201829819;2467393067295292;9871119329320005;1796026903375179;2647620724702318;11690688981525618;0.037390612569610175
可口可樂600ml;飲料零食;89;CocaCola 可口可樂;規格：600ml毫升x1x4bottle瓶;可口可樂Pet 600ml;120;1;6000;90;12;25.83%;0;100000120010;ml;4;bottle;2225;300;25833333333333336;volume;月;31463051320333655;34339872044851463;7368582034562819;25832808741628605;36848185282954565;39110225763612216;0.09307875894988067
