title;category;price;brand;specification;query;original_price;original_price_checked;capacity;shelf_life;order;Discount;Promo;item_code;capacity_unit;pieces_per_package;package_unit;price_per_piece;original_price_per_piece;estimation_discount;capacity_category;shelf_life_unit;log_price_per_piece;log_original_price_per_piece;shelf_life_normalized;log_price_per_piece_normalized;log_original_price_per_piece_normalized;estimation_discount_normalized;capacity_normalized
UCC BLACK無糖黑咖啡飲料275g;飲料零食;41;UCC;規格：275g克x1x1can罐;UCC BLACK無糖黑咖啡飲料275g;48;1;2750;120;247;14.58%;1;100200280010;g;1;can;410;480;14583333333333334;weight;月;37376696182833684;38918202981106265;9871119329320005;3202200029421725;4176093470745608;22078353253652058;0.24134871339840283
白蘭氏葉黃素精華凍15Gx21入;飲料零食;895;白蘭氏;規格：15g克x21x1box盒;白蘭氏葉黃素精華凍15Gx21入;0;1;150;180;324;0.00%;0;100230110010;g;21;box;4261904761904762;0;0;weight;月;37754939269507073;0;14876193918834373;32417867643592424;0;0;0.01064773735581189
天地合補純正官燕窩;飲料零食;1299;天地合補;規格：70g克x6x1box盒;天地合補純正官燕窩;0;1;700;240;333;0.00%;0;100230320010;g;6;box;2165;0;0;weight;月;5382198850528739;0;1988126850834874;4923356214626799;0;0;0.05944986690328305
白蘭氏冰糖燕窩禮盒70gx5;飲料零食;1049;白蘭氏;規格：70g克x5x1box盒;白蘭氏冰糖燕窩禮盒70gx5;0;1;700;240;360;0.00%;1;100231020010;g;5;box;2098;0;0;weight;月;5350909816667207;0;1988126850834874;4890609266075245;0;0;0.05944986690328305
泰山仙草凍255g;飲料零食;115;泰山;規格：255g克x1x6can罐;泰山仙草凍255g;120;1;2550;240;588;4.17%;1;100350410010;g;6;can;19166666666666668;200;4166666666666661;weight;月;3004031076368686;3044522437723423;1988126850834874;24343775490653002;3266905792101371;6308100929614864;0.2236024844720497
旺旺厚燒鹽味;飲料零食;59;旺旺;規格：150g克x1x1pack包;厚燒鹽味;0;1;1500;60;5199;0.00%;1;140000020010;g;1;pack;590;0;0;weight;月;40943445622221;0;4866044739805636;35754942669644885;0;0;0.13043478260869565
旺旺仙貝經濟包;飲料零食;107;旺旺;規格：350g克x1x1pack包;旺旺仙貝經濟包;112;1;3500;60;5200;4.46%;0;140000030010;g;1;pack;1070;1120;4464285714285714;weight;月;468213122712422;4727387818712341;4866044739805636;4190668892043089;5072693981526111;6758679567444507;0.3078970718722272
瑞花經濟包-輕辣;飲料零食;109;旺旺;規格：350g克x1x1bag袋;瑞花經濟包-輕辣;135;1;3500;60;5203;19.26%;1;140000080010;g;1;bag;1090;1350;1925925925925926;weight;月;4700480365792417;4912654885736052;4866044739805636;42098730100926246;5271493651006616;29157444296886526;0.3078970718722272
波貝仙;飲料零食;109;旺旺;規格：350g克x1x1pack包;波貝仙;135;1;3500;60;5204;19.26%;1;140000100010;g;1;pack;1090;1350;1925925925925926;weight;月;4700480365792417;4912654885736052;4866044739805636;42098730100926246;5271493651006616;29157444296886526;0.3078970718722272
旺旺金澎派;飲料零食;109;旺旺;規格：343g克x1x1pack包;旺旺金澎派;128;1;3430;60;5205;14.84%;1;140000110010;g;1;pack;1090;1280;1484375;weight;月;4700480365792417;4859812404361672;4866044739805636;42098730100926246;5214791356311077;22472609561752988;0.3016858917480036
