sku,product_name,observations,nonzero_observations,zero_value_pct,avg_nonzero_demand,std_nonzero_demand,cv_nonzero_demand_pct
10000001001,可口可樂Zero 600ml,21,15,28.5714,12.4667,15.0706,120.8874
10000002001,可口可樂2L,21,21,0.0000,475.0476,727.3369,153.1082
10000003001,百事可樂330ml,21,21,0.0000,134.8571,50.6856,37.5847
10000004001,百事可樂2L,21,20,4.7619,105.2000,93.7845,89.1488
10000005001,可口可樂330ml,21,21,0.0000,555.7143,496.9126,89.4187
10000007001,可口可樂 Zero 330ml,21,21,0.0000,272.0000,103.6687,38.1135
10000008001,可口可樂纖維+ 1250ml:可樂纖維+ 1.25L,21,4,80.9524,15.0000,6.0000,40.0000
10000010001,可口可樂 Zero 2L,21,21,0.0000,80.7619,65.0822,80.5852
10000011001,可口可樂 Can 250 ml,21,21,0.0000,2765.7143,4143.2502,149.8076
10000012001,可口可樂Pet 600ml,21,19,9.5238,80.0000,50.2615,62.8269
10000022001,可口可樂1250ml:可口可樂,21,20,4.7619,15.7000,14.7152,93.7273
10000023001,百事可樂 - 600ml,21,14,33.3333,9.1429,7.5941,83.0605
10000027001,可口可樂纖維+ Pet 600ml,21,19,9.5238,69.0526,51.5682,74.6795
10000998001,可樂雪碧350ml*12入組:可樂雪碧12入,21,21,0.0000,40.4762,23.2693,57.4889
10001001001,七喜汽水2L,21,21,0.0000,43.1429,52.8813,122.5725
10001004001,雪碧汽水2L,21,21,0.0000,137.4286,126.0387,91.7122
10001005001,七喜汽水330ml,21,21,0.0000,91.7143,85.1312,92.8221
10001006001,雪碧汽水330ml,21,21,0.0000,479.1429,187.6407,39.1617
10001007001,黑松汽水-600毫升,21,11,47.6190,17.4545,20.8824,119.6385
10001008001,黑松汽水2L:黑松汽水,21,20,4.7619,24.6500,18.8464,76.4560
10001009001,黑松沙士245ml,21,21,0.0000,950.8571,769.4041,80.9169
10001010001,雪碧汽水1250ml:雪碧汽水,21,4,80.9524,18.0000,6.9282,38.4900
10001012001,雪碧汽水Can 250 ml,21,21,0.0000,769.1429,530.9089,69.0260
10001015001,雪碧汽水600ml:雪碧汽水寶特瓶,21,19,9.5238,31.7895,31.9019,100.3536
10001020001,黑松CC檸檬氣泡飲can 330ml:黑松CC檸檬氣,21,21,0.0000,88.5714,75.4643,85.2016
10001022001,黑松CC檸檬氣泡飲PET 500ml:黑松CC檸檬氣,21,21,0.0000,55.2381,36.6741,66.3928
10001025001,黑松汽水Can 245ml:黑松汽水245ml,21,21,0.0000,433.1429,160.5448,37.0651
10001035001,黑松CC氣泡飲葡萄 500ml,21,20,4.7619,35.4000,28.9108,81.6688
10002001001,維他露P 250ml,21,21,0.0000,464.0000,201.5619,43.4401
10002003001,黑松加鹽沙士600 ml:PET600加鹽沙士,21,21,0.0000,97.9048,64.6791,66.0633
10002005001,蘋果西打330ml,21,21,0.0000,242.5714,112.7229,46.4700
10002007001,芬達橘子汽水330ml:芬達汽水,21,21,0.0000,126.8571,64.8246,51.1005
10002008001,加鹽黑松沙士Can245ml,21,21,0.0000,728.0000,769.5110,105.7021
10002009001,黑松沙士600 ml:黑松沙士,21,21,0.0000,199.4286,168.1965,84.3392
10002011001,金車麥根沙士PET585ml,21,5,76.1905,13.6000,8.2946,60.9895
10002012001,維他露P 330 ml:維他露P,21,15,28.5714,101.2000,114.5820,113.2233
10002013001,AW 麥根沙士,21,4,80.9524,30.0000,12.0000,40.0000
10002014001,維大力汽水Can330ml,21,21,0.0000,130.5714,70.4305,53.9402
