title;category;price;brand;specification;query;original_price;original_price_checked;capacity;shelf_life;order;Discount;Promo;item_code;capacity_unit;pieces_per_package;package_unit;price_per_piece;original_price_per_piece;estimation_discount;capacity_category;shelf_life_unit;log_price_per_piece;log_original_price_per_piece;shelf_life_normalized;log_price_per_piece_normalized;log_original_price_per_piece_normalized;estimation_discount_normalized
可口可樂纖維+600ml;飲料零食;120;CocaCola 可口可樂;規格：600ml毫升x1x4bottle瓶;可口可樂Zero 600ml;0;1;600,0;9,0;2;0.00%;1;10000001001,0;ml;4;bottle;30,0;0,0;0,0;volume;月;3,4339872044851463;0,0;0,0007368582034562819;0,2884367512614976;0,0;0,0
可口可樂2L;飲料零食;230;CocaCola 可口可樂;規格：2000ml毫升x1x6bottle瓶;可口可樂2L;296;1;2000,0;9,0;3;22.30%;1;10000002001,0;ml;6;bottle;38,333333333333336;49,333333333333336;22,2972972972973;volume;月;3,672072335797555;3,9186675481468147;0,0007368582034562819;0,3133546237035834;0,42049017447653597;0,3375686443415527
百事可樂330ml;飲料零食;77;百事可樂;規格：330ml毫升x1x6bottle瓶;百事可樂330ml;90;1;330,0;12,0;4;14.44%;1;10000003001,0;ml;6;bottle;12,833333333333334;15,0;14,444444444444441;volume;月;2,627081138568543;2,772588722239781;0,0009871119329320005;0,20398636029242795;0,2975109016628941;0,21868083222664889
百事可樂2L;飲料零食;36;百事可樂;規格：2000ml毫升x1x1bottle瓶;百事可樂2L;52;1;2000,0;12,0;5;30.77%;1;10000004001,0;ml;1;bottle;36,0;52,0;30,76923076923077;volume;月;3,6109179126442243;3,970291913552122;0,0009871119329320005;0,3069542319319339;0,426029694772608;0,46582899172540604
可口可樂330ml;飲料零食;83;CocaCola 可口可樂;規格：330ml毫升x1x6bottle瓶;可口可樂330ml;95;1;330,0;12,0;6;12.63%;1;10000005001,0;ml;6;bottle;13,833333333333334;15,833333333333334;12,631578947368421;volume;月;2,6968769005040847;2,8233610476132047;0,0009871119329320005;0,21129115031993262;0,3029589943353503;0,19123505976095617
可口可樂 Zero 330ml;飲料零食;83;CocaCola 可口可樂;規格：330ml毫升x1x6bottle瓶;可口可樂 Zero 330ml;94;1;330,0;9,0;8;11.70%;0;10000007001,0;ml;6;bottle;13,833333333333334;15,666666666666666;11,702127659574462;volume;月;2,6968769005040847;2,8134107167600364;0,0007368582034562819;0,21129115031993262;0,30189128029603945;0,1771636856828006
可口可樂 1250ml;飲料零食;31;CocaCola 可口可樂;規格：1250ml毫升x1x1bottle瓶;可口可樂纖維+ 1250ml;0;1;1250,0;9,0;9;0.00%;1;10000008001,0;ml;1;bottle;31,0;0,0;0,0;volume;月;3,4657359027997265;0,0;0,0007368582034562819;0,2917595543716461;0,0;0,0
可口可樂ZERO無糖零卡2L;飲料零食;230;CocaCola 可口可樂;規格：2000ml毫升x1x6bottle瓶;可口可樂 Zero 2L;296;1;2000,0;9,0;10;22.30%;1;10000010001,0;ml;6;bottle;38,333333333333336;49,333333333333336;22,2972972972973;volume;月;3,672072335797555;3,9186675481468147;0,0007368582034562819;0,3133546237035834;0,42049017447653597;0,3375686443415527
可口可樂 Can 250 ml;飲料零食;239;CocaCola 可口可樂;規格：250ml毫升x1x24bottle瓶;可口可樂 Can 250 ml;259;1;250,0;12,0;11;7.72%;1;10000011001,0;ml;24;bottle;9,958333333333334;10,791666666666666;7,722007722007712;volume;月;2,394100201829819;2,467393067295292;0,0009871119329320005;0,1796026903375179;0,2647620724702318;0,11690688981525618
可口可樂600ml;飲料零食;89;CocaCola 可口可樂;規格：600ml毫升x1x4bottle瓶;可口可樂Pet 600ml;120;1;600,0;9,0;12;25.83%;0;10000012001,0;ml;4;bottle;22,25;30,0;25,833333333333336;volume;月;3,1463051320333655;3,4339872044851463;0,0007368582034562819;0,25832808741628605;0,36848185282954565;0,39110225763612216
百事可樂600ml;飲料零食;99;百事可樂;規格：600ml毫升x1x4bottle瓶;百事可樂 - 600ml;125;1;600,0;12,0;16;20.80%;0;10000023001,0;ml;4;bottle;24,75;31,25;20,8;volume;月;3,248434627109745;3,4735180432417816;0,0009871119329320005;0,2690169100103714;0,37272368479966067;0,3149003984063745
可口可樂歡聚雙享組 350mlx12;飲料零食;199;CocaCola 可口可樂;規格：350ml毫升x12x1set組;可樂雪碧350ml*12入組;222;1;350,0;9,0;19;10.36%;1;10000998001,0;ml;12;set;16,583333333333332;18,5;10,360360360360367;volume;月;2,8669514836880663;2,970414465569701;0,0007368582034562819;0,22909107233126774;0,31873846953046864;0,15685007716880237
七喜汽水2L;飲料零食;216;七喜;規格：2000ml毫升x1x6bottle瓶;七喜汽水2L;310;1;2000,0;12,0;20;30.32%;1;10001001001,0;ml;6;bottle;36,0;51,666666666666664;30,322580645161285;volume;月;3,6109179126442243;3,963982744358857;0,0009871119329320005;0,3069542319319339;0,42535269331170766;0,45906695797455327
雪碧汽水2L;飲料零食;39;Sprite 雪碧;規格：2000ml毫升x1x1bottle瓶;雪碧汽水2L;50;1;2000,0;9,0;21;22.00%;1;10001004001,0;ml;1;bottle;39,0;50,0;22,0;volume;月;3,6888794541139363;3,9318256327243257;0,0007368582034562819;0,31511364841889455;0,4219020945263476;0,33306772908366533
七喜汽水330ml;飲料零食;77;七喜;規格：330ml毫升x1x6bottle瓶;七喜汽水330ml;92;1;330,0;12,0;22;16.30%;1;10001005001,0;ml;6;bottle;12,833333333333334;15,333333333333334;16,304347826086957;volume;月;2,627081138568543;2,793208009442517;0,0009871119329320005;0,20398636029242795;0,2997234414017042;0,2468387320284081
雪碧汽水330ml;飲料零食;83;Sprite 雪碧;規格：330ml毫升x1x6bottle瓶;雪碧汽水330ml;94;1;330,0;12,0;23;11.70%;1;10001006001,0;ml;6;bottle;13,833333333333334;15,666666666666666;11,702127659574462;volume;月;2,6968769005040847;2,8134107167600364;0,0009871119329320005;0,21129115031993262;0,30189128029603945;0,1771636856828006
[限量]黑松沙士600 ml;飲料零食;89;黑松沙士;規格：600ml毫升x1x4bottle瓶;黑松汽水-600毫升;107;1;600,0;9,0;24;16.82%;1;10001007001,0;ml;4;bottle;22,25;26,75;16,822429906542055;volume;月;3,1463051320333655;3,3232358401924436;0,0007368582034562819;0,25832808741628605;0,35659774683617645;0,2546822057564136
黑松汽水2L;飲料零食;38;黑松汽水;規格：2000ml毫升x1x1bottle瓶;黑松汽水2L;41;1;2000,0;9,0;25;7.32%;1;10001008001,0;ml;1;bottle;38,0;41,0;7,317073170731707;volume;月;3,6635616461296463;3,7376696182833684;0,0007368582034562819;0,31246389911960737;0,4010683046258606;0,11077640656884655
[限量]黑松沙士245ml;飲料零食;235;黑松沙士;規格：245ml毫升x1x24can罐;黑松沙士245ml;286;1;245,0;12,0;26;17.83%;1;10001009001,0;ml;24;can;9,791666666666666;11,916666666666666;17,832167832167833;volume;月;2,378774231351592;2,5585184671312464;0,0009871119329320005;0,17799868182458595;0,27454022660182825;0,26996907474995124
雪碧250ml;飲料零食;239;Sprite 雪碧;規格：250ml毫升x1x24bottle瓶;雪碧汽水Can 250 ml;259;1;250,0;12,0;28;7.72%;1;10001012001,0;ml;24;bottle;9,958333333333334;10,791666666666666;7,722007722007712;volume;月;2,394100201829819;2,467393067295292;0,0009871119329320005;0,1796026903375179;0,2647620724702318;0,11690688981525618
