商品名称;count
五月花舒敏厚棒抽取式衛生紙86抽4包;2911
黑松FIN補給飲料Pet1460ml:黑松FIN健康補;2611
來一客-鮮蝦魚板 63g;2496
黑松FIN補給飲料TP300ml;1967
樂事意合組合包;1926
華元大吉利超值包;1696
愛之味牛奶花生340g;1460
百事享樂包:百事享樂包;1454
泰山八寶粥 375g;1293
科學麵20合1 Min 家庭號;1292
味味A排骨雞麵(袋) 90g;1234
統一肉燥(包) 85g;1221
可口可樂 Can 250 ml;1181
七小喜多包:七小喜多包;1152
可樂果原味量販包;1063
御茶園台灣四季春PET550ml:御茶園四季春;1062
多力多滋起士組合包;1009
樂事組合包;960
卡迪那95度C 北海道薯條-鹽味:卡迪那95度C 北;906
樂事大波浪組合包:大波浪組合包;892
義美巧克力小泡芙 (三入);881
黑松沙士330ml;829
同榮特選燒鰻(易開罐)100g;822
維力炸醬麵(包) 90g:維力炸醬麵(包);819
鴻津太國捲(蛋奶素);809
來一客-肉燥菠菜 67g;805
愛之味麥仔茶 TP250ml;792
可口可樂2L;783
義美杏仁巧克力酥片（黑可可）;781
舒跑TP250ml;777
奇多綜合起司組合包:奇多綜合組合包;768
愛之味珍保玉筍120g:珍保玉筍;758
奇多隨口脆-家常起司:奇多-家常起司;756
大茂大土豆麵筋170g;749
來一客-牛肉蔬菜 65g;747
來一客-京燉肉骨 71g;739
統一麥香紅茶TP375ml;728
立頓奶茶TP250ml;727
77新貴派迷你巧克力;724
愛之味土豆麵筋170g:土豆麵筋;717
波蜜果菜汁TP250ml;709
得意的一天100％葵花油3.5L;706
茉莉茶園蜜茶 250ml;705
同榮茄汁鯖魚罐(黃) 230g;705
北海鱈魚香絲;694
御茶園特上紅茶250ml;691
來一客-韓式泡菜 67g;691
舒跑TP250 6入;690
原萃綠茶玉露 Pet 580ml;688
義美杏仁巧克力酥片（牛奶巧克力）;686
泰山冰鎮檸檬紅茶250ml:泰山冰鎮紅茶;668
原萃日式綠茶580ml;667
統一麥香奶茶TP375ml;666
義美牛奶小泡芙(三入);656
御茶園特上奶茶250ml;652
可樂雪碧350ml*12入組:可樂雪碧12入;650
光泉全脂保久牛乳;649
生活泡沫綠茶-微甜TP250ml:生活泡沫綠茶;626
義美天然取向蘇打餅乾(鮮蔥);616
味味A小排骨雞麵(碗) 90g:小排骨雞麵;602
77新貴派18片盒裝-花生:新貴派-花生;589
