﻿Item Code;註記 (Notes);(箱)長 (Length Carton) cm;(箱)寬 (Width) cm;(箱)高 (Heigth) cm;(箱)重量 (Weigth);箱入數 (Number of Cartons);板入數 (Number of Pallets);庫存量 (Inventory Quantity);庫存單位 (Inventory Unit);庫存換算(箱) (Inventory Conversion (Carton));目前庫存 (Current Inventory) (PCS);Notes;Notes_EN
10000001001;可口可樂Zero 600ml;45;30;24;15,7;24.0;54;1107;PCS;46,2;154.0;;Coca-Cola Zero 600ml
10000002001;可口可樂2L;34;23;31;13,31;6.0;65;13565;PCS;2260,9;1447.0;;Coca-Cola 2L
10000003001;百事可樂330ml;40;27;12;9,11;24.0;99;6408;PCS;267;2160.0;;Pepsi 330ml
10000004001;百事可樂2L;34;23;31;14;6.0;65;3421;PCS;570,2;616.0;;Pepsi 2L
10000005001;可口可樂330ml;40;28;12;8,89;24.0;100;60084;PCS;2503,5;1680.0;;Coca-Cola 330ml
10000006001;Dr. Pepper 可樂;40;13;13;4,69;12.0;189;111;PCS;9,3;588.0;;Dr. Pepper Coke
10000007001;可口可樂 Zero 330ml;40;28;12;8,58;24.0;100;29208;PCS;1217;2046.0;;Coca-Cola Zero 330ml
10000008001;可口可樂纖維+ 1250ml;37;26;28;16,14;12.0;55;64;PCS;5,4;0.0;;Coca-Cola Fiber+ 1250ml
10000010001;可口可樂 Zero 2L;34;23;31;12,52;6.0;65;8378;PCS;1396,4;456.0;;Coca-Cola Zero 2L
10000011001;可口可樂 Can 250 ml;40;27;10;6,76;24.0;130;65763;PCS;2740,2;4584.0;;Coca-Cola Can 250 ml
10000012001;可口可樂Pet 600ml;45;30;25;15,88;24.0;54;8732;PCS;363,9;1948.0;;Coca-Cola Pet 600ml
10000013001;百事可樂 Can250ml;41;28;10;7,03;24.0;130;6076;PCS;253,2;120.0;;Pepsi Can250ml
10000021001;可口可樂纖維+ Can 330ml;40;28;12;8,59;24.0;100;5028;PCS;209,5;1000.0;;Coca-Cola Fiber+Can 330ml
10000022001;可口可樂1250ml;37;27;29;15,12;12.0;55;1843,333333;PCS;153,7;323.0;;Coca-Cola 1250ml
10000023001;百事可樂 - 600ml;43;28;25;16,27;24.0;54;673,3333333;PCS;28,1;176.0;;Pepsi - 600ml
10000026001;可口可樂Can 235ml;34;22;14;6,62;24.0;135;7813;PCS;325,6;3616.0;;Coca-Cola Can 235ml
10000027001;可口可樂纖維+ Pet 600ml;45;30;25;15,41;24.0;54;6872;PCS;286,4;556.0;;Coca-Cola Fiber + Pet 600ml
10000998001;可樂雪碧350ml*12入組;28;20;19;4,8;1.0;160;1740;PCS;1740;232.0;;Coke Sprite 350ml*12 is included in the group
10001001001;七喜汽水2L;34;24;31;13,34;6.0;65;1454;PCS;242,4;343.0;;Seven Up Soda 2L
10001004001;雪碧汽水2L;34;23;31;12,52;6.0;65;6673;PCS;1112,2;1100.0;;Sprite soda 2L
10001005001;七喜汽水330ml;40;27;12;9,11;24.0;99;6266;PCS;261,1;1146.0;;Seven Up Soda 330ml
10001006001;雪碧汽水330ml;40;28;12;8,95;24.0;100;20940;PCS;872,5;6780.0;;Sprite soda 330ml
