item_code;註記;(箱)長cm;(箱)寬cm;(箱)高cm;(箱)重量;箱入數;板入數;庫存量;庫存單位;庫存換算(箱);目前庫存(PCS)
10000001001;可口可樂Zero 600ml;45;30;24;15.7;24;54;1107;PCS;46.2;154
10000002001;可口可樂2L;34;23;31;13.31;6;65;13565;PCS;2260.9;1447
10000003001;百事可樂330ml;40;27;12;9.11;24;99;6408;PCS;267;2160
10000004001;百事可樂2L;34;23;31;14;6;65;3421;PCS;570.2;616
10000005001;可口可樂330ml;40;28;12;8.89;24;100;60084;PCS;2503.5;1680
10000006001;Dr. Pepper 可樂;40;13;13;4.69;12;189;111;PCS;9.3;588
10000007001;可口可樂 Zero 330ml;40;28;12;8.58;24;100;29208;PCS;1217;2046
10000008001;可口可樂纖維+ 1250ml;37;26;28;16.14;12;55;64;PCS;5.4;0
10000010001;可口可樂 Zero 2L;34;23;31;12.52;6;65;8378;PCS;1396.4;456
10000011001;可口可樂 Can 250 ml;40;27;10;6.76;24;130;65763;PCS;2740.2;4584
10000012001;可口可樂Pet 600ml;45;30;25;15.88;24;54;8732;PCS;363.9;1948
10000013001;百事可樂 Can250ml;41;28;10;7.03;24;130;6076;PCS;253.2;120
10000021001;可口可樂纖維+ Can 330ml;40;28;12;8.59;24;100;5028;PCS;209.5;1000
10000022001;可口可樂1250ml;37;27;29;15.12;12;55;1843.333333;PCS;153.7;323
10000023001;百事可樂 - 600ml;43;28;25;16.27;24;54;673.3333333;PCS;28.1;176
10000026001;可口可樂Can 235ml;34;22;14;6.62;24;135;7813;PCS;325.6;3616
10000027001;可口可樂纖維+ Pet 600ml;45;30;25;15.41;24;54;6872;PCS;286.4;556
10000998001;可樂雪碧350ml*12入組;28;20;19;4.8;1;160;1740;PCS;1740;232
10001001001;七喜汽水2L;34;24;31;13.34;6;65;1454;PCS;242.4;343
10001004001;雪碧汽水2L;34;23;31;12.52;6;65;6673;PCS;1112.2;1100
10001005001;七喜汽水330ml;40;27;12;9.11;24;99;6266;PCS;261.1;1146
10001006001;雪碧汽水330ml;40;28;12;8.95;24;100;20940;PCS;872.5;6780
10001007001;黑松汽水-600毫升;42;28;24;15.97;24;54;364;PCS;15.2;56
10001008001;黑松汽水2L;34;22;31;13.02;6;65;2528;PCS;421.4;457
10001009001;黑松沙士245ml;40;27;10;6.77;24;135;67480;PCS;2811.7;3098
10001010001;雪碧汽水1250ml;37;28;29;11.02;12;55;811;PCS;67.6;315
10001012001;雪碧汽水Can 250 ml;40;27;10;6.79;24;130;27655;PCS;1152.3;5088
10001014001;雪碧易開罐235ml;34;22;14;6.55;24;135;2523;PCS;105.2;1968
10001015001;雪碧汽水600ml;45;30;24;15.6;24;54;3368;PCS;140.4;512
10001020001;黑松CC檸檬氣泡飲can 330ml;41;27;12;8.58;24;99;2834;PCS;118.1;390
10001022001;黑松CC檸檬氣泡飲PET 500ml;42;28;23;13.81;24;63;1544;PCS;64.4;588
10001025001;黑松汽水Can 245ml;40;27;10;6.8;24;135;6816;PCS;284;3648
10001035001;黑松CC氣泡飲葡萄 500ml;42;28;23;13.682;24;63;1204;PCS;50.2;664
10001041001;Mountain Dew 激浪汽水 500ml;42;28;26;15.55;24;54;327;PCS;13.7;412
10001042001;雪碧纖維+ Can 330ml;40;27;13;8.64;24;100;2184;PCS;91;4
10001043001;雪碧纖維+ Pet 600ml;45;30;24;15.7;24;54;4464;PCS;186;304
10001044001;黑松CC乳酸菌氣泡飲 510ml;40;27;25;13.748;24;66;376;PCS;15.7;11
