item_code,(箱)長cm,(箱)寬cm,(箱)高cm,max_comp_number
10000001001,45.0,30.0,24.0,5
10000002001,34.0,23.0,31.0,7
10000003001,40.0,27.0,12.0,11
10000004001,34.0,23.0,31.0,7
10000005001,40.0,28.0,12.0,11
10000006001,40.0,13.0,13.0,24
10000007001,40.0,28.0,12.0,11
10000008001,37.0,26.0,28.0,8
10000010001,34.0,23.0,31.0,7
10000011001,40.0,27.0,10.0,13
10000012001,45.0,30.0,25.0,5
10000013001,41.0,28.0,10.0,13
10000021001,40.0,28.0,12.0,11
10000022001,37.0,27.0,29.0,6
10000023001,43.0,28.0,25.0,5
10000026001,34.0,22.0,14.0,19
10000027001,45.0,30.0,25.0,5
10000998001,28.0,20.0,19.0,21
10001001001,34.0,24.0,31.0,7
10001004001,34.0,23.0,31.0,7
10001005001,40.0,27.0,12.0,11
10001006001,40.0,28.0,12.0,11
10001007001,42.0,28.0,24.0,5
10001008001,34.0,22.0,31.0,8
10001009001,40.0,27.0,10.0,13
10001010001,37.0,28.0,29.0,6
10001012001,40.0,27.0,10.0,13
10001014001,34.0,22.0,14.0,19
10001015001,45.0,30.0,24.0,5
10001020001,41.0,27.0,12.0,11
10001022001,42.0,28.0,23.0,5
10001025001,40.0,27.0,10.0,13
10001035001,42.0,28.0,23.0,5
10001041001,42.0,28.0,26.0,5
10001042001,40.0,27.0,13.0,10
10001043001,45.0,30.0,24.0,5
10001044001,40.0,27.0,25.0,5
10002001001,41.0,28.0,10.0,13
10002003001,43.0,28.0,24.0,5
10002005001,40.0,27.0,13.0,10
10002006001,34.0,23.0,31.0,7
10002007001,40.0,28.0,12.0,11
10002008001,40.0,27.0,10.0,13
10002009001,43.0,28.0,24.0,5
10002010001,40.0,27.0,10.0,13
10002011001,42.0,28.0,24.0,5
10002012001,41.0,27.0,13.0,10
10002013001,40.0,13.0,13.0,24
10002014001,41.0,27.0,13.0,10
10002017001,34.0,22.0,31.0,8
10002018001,41.0,27.0,12.0,11
10002019001,41.0,27.0,13.0,10
10002021001,40.0,27.0,9.0,15
10002025001,38.0,28.0,30.0,6
10002026001,31.0,22.0,24.0,12
10002035001,34.0,23.0,31.0,7
10002037001,35.0,27.0,32.0,6
10002038001,35.0,27.0,32.0,6
10002039001,35.0,27.0,32.0,6
10002040001,34.0,23.0,31.0,7
10002045001,34.0,22.0,30.0,8
10002046001,43.0,29.0,12.0,11
10002051001,34.0,23.0,31.0,7
10002069001,34.0,23.0,30.0,7
10002071001,42.0,28.0,25.0,5
10002072001,34.0,23.0,30.0,7
10002073001,41.0,27.0,12.0,11
10002074001,36.0,27.0,28.0,8
10002078001,34.0,23.0,30.0,7
10002102001,40.0,27.0,12.0,11
10002899001,41.0,27.0,12.0,11
10002906001,42.0,29.0,22.0,6
10002907001,40.0,27.0,12.0,11
10002911001,40.0,27.0,12.0,11
10002915001,43.0,27.0,22.0,6
10002916001,27.0,27.0,30.0,8
10002917001,34.0,22.0,31.0,8
10002918001,35.0,23.0,31.0,7
10002919001,35.0,23.0,31.0,7
10002924001,40.0,26.0,12.0,11
10002925001,41.0,27.0,10.0,13
10002926001,35.0,23.0,31.0,7
10002931001,40.0,28.0,12.0,11
10002942001,40.0,28.0,12.0,11
10002943001,44.0,27.0,12.0,11
10002944001,44.0,27.0,12.0,11
10002990001,41.0,27.0,12.0,11
10002992001,27.0,19.0,23.0,18
10010001001,32.0,17.0,14.0,25
10010002001,35.0,20.0,11.0,28
10010004001,35.0,20.0,11.0,28
10010005001,35.0,20.0,13.0,24
10010007001,32.0,17.0,14.0,25
10010009001,42.0,28.0,24.0,5
10010012001,42.0,28.0,24.0,5
10010015001,35.0,20.0,13.0,24
10010018001,40.0,27.0,10.0,13
10010019001,32.0,17.0,14.0,25
10010023001,33.0,16.0,10.0,40
10010026001,33.0,16.0,10.0,40
10010027001,33.0,16.0,10.0,40
10010029001,33.0,16.0,13.0,31
10010030001,33.0,16.0,13.0,31
10010035001,34.0,20.0,11.0,28
10010042001,28.0,16.0,9.0,60
10010043001,28.0,16.0,9.0,60
10010044001,33.0,16.0,10.0,40
10011001001,34.0,20.0,11.0,28
10011002001,33.0,15.0,12.0,33
10011003001,33.0,16.0,13.0,31
10011004001,31.0,17.0,13.0,27
10011007001,36.0,20.0,20.0,15
10011008001,39.0,17.0,26.0,13
10011016001,35.0,20.0,13.0,24
10011021001,33.0,16.0,13.0,31
10011023001,27.0,16.0,9.0,60
10011028001,40.0,27.0,16.0,8
10012002001,36.0,20.0,20.0,15
10012004001,36.0,27.0,30.0,6
10012006001,28.0,16.0,9.0,60
10012008001,33.0,16.0,13.0,31
10012009001,29.0,18.0,26.0,17
10012011001,35.0,20.0,13.0,24
10012899001,40.0,27.0,22.0,6
10012907001,33.0,16.0,13.0,31
10013003001,35.0,20.0,13.0,24
10013004001,36.0,20.0,20.0,15
10013005001,34.0,20.0,11.0,28
10013006001,32.0,15.0,13.0,31
10013007001,33.0,16.0,13.0,31
10013011001,32.0,17.0,13.0,27
10013012001,27.0,16.0,9.0,60
10014001001,33.0,16.0,10.0,40
10014005001,41.0,27.0,18.0,7
10014006001,29.0,18.0,26.0,17
10014009001,40.0,27.0,17.0,7
10014014001,40.0,27.0,13.0,10
10014018001,38.0,30.0,26.0,6
10014020001,41.0,17.0,13.0,17
10014021001,33.0,26.0,26.0,8
10014023001,35.0,21.0,11.0,24
10014024001,35.0,18.0,14.0,25
10014027001,39.0,27.0,12.0,18
10014028001,34.0,20.0,11.0,28
10014029001,41.0,28.0,18.0,7
10014030001,42.0,29.0,24.0,5
10014031001,39.0,17.0,25.0,13
10014032001,35.0,20.0,13.0,24
10014033001,35.0,20.0,13.0,24
10014034001,35.0,20.0,13.0,24
10014037001,40.0,27.0,13.0,10
10014040001,36.0,20.0,20.0,15
10014041001,39.0,26.0,20.0,11
10014043001,36.0,20.0,20.0,15
10014044001,33.0,27.0,12.0,18
10014045001,20.0,34.0,12.0,26
10014046001,27.0,21.0,27.0,15
10014048001,36.0,20.0,20.0,15
10014049001,42.0,28.0,24.0,5
10014051001,33.0,22.0,13.0,20
10014053001,41.0,28.0,14.0,9
10014055001,39.0,26.0,23.0,9
10014058001,40.0,27.0,15.0,9
10014059001,40.0,27.0,13.0,10
10014062001,33.0,15.0,13.0,31
10014067001,41.0,17.0,14.0,16
10014069001,35.0,20.0,13.0,24
10014073001,41.0,27.0,13.0,10
10014074001,41.0,28.0,12.0,11
10014075001,41.0,28.0,12.0,11
10014076001,40.0,28.0,12.0,11
10014080001,41.0,27.0,16.0,8
10014081001,41.0,27.0,16.0,8
10014082001,38.0,23.0,32.0,7
10014083001,31.0,23.0,26.0,9
10014084001,41.0,27.0,22.0,6
10014086001,40.0,27.0,23.0,5
10014088001,31.0,24.0,27.0,9
10014090001,35.0,20.0,11.0,28
10014092001,37.0,26.0,28.0,8
10014093001,42.0,29.0,19.0,7
10014094001,42.0,28.0,24.0,5
10014097001,30.0,23.0,24.0,11
10014101001,35.0,20.0,11.0,28
10014102001,40.0,27.0,12.0,11
10014103001,39.0,17.0,26.0,13
10014106001,39.0,26.0,20.0,11
10014109001,40.0,27.0,18.0,7
10014110001,40.0,27.0,19.0,7
10014111001,41.0,28.0,12.0,11
10014112001,31.0,23.0,27.0,9
10014113001,41.0,28.0,12.0,11
10014116001,25.0,16.0,26.0,19
10014117001,42.0,27.0,24.0,5
10014119001,41.0,27.0,18.0,7
10014122001,25.0,20.0,18.0,22
10014123001,41.0,28.0,18.0,7
10014124001,25.0,20.0,18.0,22
10014126001,41.0,27.0,13.0,10
10014127001,41.0,28.0,18.0,7
10014130001,40.0,27.0,17.0,7
10014132001,42.0,28.0,24.0,5
10014152001,34.0,25.0,26.0,9
10014212001,44.0,18.0,27.0,7
10014214001,44.0,18.0,27.0,7
10014215001,41.0,27.0,13.0,10
