item_code;product_name;first_observed_date;last_observed_date;history_days;nonzero_days;zero_demand_days;total_demand;lead_time_days;service_level;bootstrap_repetitions;resampling_method;random_seed;mean_lead_time_demand;reorder_point;safety_stock;minimum_inventory
10000001001;可口可樂Zero 600ml;2021-08-01;2021-08-20;20;15;5;187,000000;2;0,950000;10000;with_replacement;42;18,615100;46;27,384900;46
10000002001;可口可樂2L;2021-08-01;2021-08-21;21;21;0;9976,000000;2;0,950000;10000;with_replacement;43;968,073000;3441;2472,927000;3441
10000003001;百事可樂330ml;2021-08-01;2021-08-21;21;21;0;2832,000000;2;0,950000;10000;with_replacement;44;269,754000;384;114,246000;384
10000004001;百事可樂2L;2021-08-01;2021-08-21;21;20;1;2104,000000;2;0,950000;10000;with_replacement;45;199,672700;450;250,327300;450
10000005001;可口可樂330ml;2021-08-01;2021-08-21;21;21;0;11670,000000;2;0,950000;10000;with_replacement;46;1115,172600;2358;1242,827400;2358
10000007001;可口可樂 Zero 330ml;2021-08-01;2021-08-21;21;21;0;5712,000000;2;0,950000;10000;with_replacement;47;542,605200;780;237,394800;780
10000008001;可口可樂纖維+ 1250ml:可樂纖維+ 1.25L;2021-08-09;2021-08-20;12;4;8;60,000000;2;0,950000;10000;with_replacement;48;10,042800;36;25,957200;36
10000010001;可口可樂 Zero 2L;2021-08-01;2021-08-21;21;21;0;1696,000000;2;0,950000;10000;with_replacement;49;161,439800;315;153,560200;315
10000011001;可口可樂 Can 250 ml;2021-08-01;2021-08-21;21;21;0;58080,000000;2;0,950000;10000;with_replacement;50;5565,158400;21432;15866,841600;21432
10000012001;可口可樂Pet 600ml;2021-08-01;2021-08-20;20;19;1;1520,000000;2;0,950000;10000;with_replacement;51;152,812800;272;119,187200;272
10000022001;可口可樂1250ml:可口可樂;2021-08-01;2021-08-21;21;20;1;314,000000;2;0,950000;10000;with_replacement;52;29,877500;69;39,122500;69
10000023001;百事可樂 - 600ml;2021-08-01;2021-08-21;21;14;7;128,000000;2;0,950000;10000;with_replacement;53;12,095200;36;23,904800;36
10000027001;可口可樂纖維+ Pet 600ml;2021-08-01;2021-08-21;21;19;2;1312,000000;2;0,950000;10000;with_replacement;54;125,476000;256;130,524000;256
10000998001;可樂雪碧350ml*12入組:可樂雪碧12入;2021-08-01;2021-08-21;21;21;0;850,000000;2;0,950000;10000;with_replacement;55;80,563100;137;56,436900;137
10001001001;七喜汽水2L;2021-08-01;2021-08-21;21;21;0;906,000000;2;0,950000;10000;with_replacement;56;87,341400;239;151,658600;239
10001004001;雪碧汽水2L;2021-08-01;2021-08-21;21;21;0;2886,000000;2;0,950000;10000;with_replacement;57;275,755100;660;384,244900;660
10001005001;七喜汽水330ml;2021-08-01;2021-08-21;21;21;0;1926,000000;2;0,950000;10000;with_replacement;58;184,582200;420;235,417800;420
10001006001;雪碧汽水330ml;2021-08-01;2021-08-21;21;21;0;10062,000000;2;0,950000;10000;with_replacement;59;962,070600;1386;423,929400;1386
10001007001;黑松汽水-600毫升;2021-08-02;2021-08-21;20;11;9;192,000000;2;0,950000;10000;with_replacement;60;18,971600;80;61,028400;80
10001008001;黑松汽水2L:黑松汽水;2021-08-01;2021-08-21;21;20;1;493,000000;2;0,950000;10000;with_replacement;61;46,940100;90;43,059900;90
10001009001;黑松沙士245ml;2021-08-01;2021-08-21;21;21;0;19968,000000;2;0,950000;10000;with_replacement;62;1913,839200;3816;1902,160800;3816
10001010001;雪碧汽水1250ml:雪碧汽水;2021-08-08;2021-08-21;14;4;10;72,000000;2;0,950000;10000;with_replacement;63;10,399200;36;25,600800;36
10001012001;雪碧汽水Can 250 ml;2021-08-01;2021-08-21;21;21;0;16152,000000;2;0,950000;10000;with_replacement;64;1533,302400;3120;1586,697600;3120
10001015001;雪碧汽水600ml:雪碧汽水寶特瓶;2021-08-01;2021-08-21;21;19;2;604,000000;2;0,950000;10000;with_replacement;65;57,112400;136;78,887600;136
10001020001;黑松CC檸檬氣泡飲can 330ml:黑松CC檸檬氣;2021-08-01;2021-08-21;21;21;0;1860,000000;2;0,950000;10000;with_replacement;66;178,747200;390;211,252800;390
10001022001;黑松CC檸檬氣泡飲PET 500ml:黑松CC檸檬氣;2021-08-01;2021-08-21;21;21;0;1160,000000;2;0,950000;10000;with_replacement;67;111,150800;208;96,849200;208
10001025001;黑松汽水Can 245ml:黑松汽水245ml;2021-08-01;2021-08-21;21;21;0;9096,000000;2;0,950000;10000;with_replacement;68;868,344000;1200;331,656000;1200
10001035001;黑松CC氣泡飲葡萄 500ml;2021-08-01;2021-08-21;21;20;1;708,000000;2;0,950000;10000;with_replacement;69;67,135200;140;72,864800;140
10002001001;維他露P 250ml;2021-08-01;2021-08-21;21;21;0;9744,000000;2;0,950000;10000;with_replacement;70;924,110400;1392;467,889600;1392
10002003001;黑松加鹽沙士600 ml:PET600加鹽沙士;2021-08-01;2021-08-21;21;21;0;2056,000000;2;0,950000;10000;with_replacement;71;196,167200;344;147,832800;344
10002005001;蘋果西打330ml;2021-08-01;2021-08-21;21;21;0;5094,000000;2;0,950000;10000;with_replacement;72;487,599600;756;268,400400;756
10002007001;芬達橘子汽水330ml:芬達汽水;2021-08-01;2021-08-21;21;21;0;2664,000000;2;0,950000;10000;with_replacement;73;253,037400;408;154,962600;408
10002008001;加鹽黑松沙士Can245ml;2021-08-01;2021-08-21;21;21;0;15288,000000;2;0,950000;10000;with_replacement;74;1451,371200;3504;2052,628800;3504
10002009001;黑松沙士600 ml:黑松沙士;2021-08-01;2021-08-21;21;21;0;4188,000000;2;0,950000;10000;with_replacement;75;399,661600;836;436,338400;836
10002011001;金車麥根沙士PET585ml;2021-08-01;2021-08-21;21;5;16;68,000000;2;0,950000;10000;with_replacement;76;6,478800;24;17,521200;24
10002012001;維他露P 330 ml:維他露P;2021-08-01;2021-08-21;21;15;6;1518,000000;2;0,950000;10000;with_replacement;77;143,971800;438;294,028200;438
10002013001;AW 麥根沙士;2021-08-01;2021-08-12;12;4;8;120,000000;2;0,950000;10000;with_replacement;78;19,915200;48;28,084800;48
10002014001;維大力汽水Can330ml;2021-08-01;2021-08-21;21;21;0;2742,000000;2;0,950000;10000;with_replacement;79;260,626800;444;183,373200;444
10002017001;黑松沙士2L;2021-08-01;2021-08-21;21;21;0;2599,000000;2;0,950000;10000;with_replacement;80;246,714000;534;287,286000;534
10002018001;黑松沙士330ml;2021-08-01;2021-08-21;21;21;0;13302,000000;2;0,950000;10000;with_replacement;81;1260,846000;1830;569,154000;1830
10002019001;維大力加鹽沙士Can330 ml;2021-08-01;2021-08-21;21;21;0;9096,000000;2;0,950000;10000;with_replacement;82;867,028200;1458;590,971800;1458
10002021001;蘋果西打-250ml;2021-08-01;2021-08-20;20;20;0;15144,000000;2;0,950000;10000;with_replacement;83;1512,823200;2880;1367,176800;2880
10002025001;黑松沙士1250 ml:黑松沙士;2021-08-01;2021-08-21;21;21;0;310,000000;2;0,950000;10000;with_replacement;84;29,817600;64;34,182400;64
10002026001;芬達汽水橘子口味600ml;2021-08-10;2021-08-13;4;2;2;72,000000;2;0,950000;10000;with_replacement;85;35,844000;120;84,156000;120
10002035001;維大力汽水2L;2021-08-01;2021-08-21;21;21;0;617,000000;2;0,950000;10000;with_replacement;86;58,952300;109;50,047700;109
10002037001;七星藍莓汽泡香檳飲料750ml:七星藍莓汽泡香;2021-08-02;2021-08-18;17;4;13;13,000000;2;0,950000;10000;with_replacement;87;1,538500;8;6,461500;8
10002038001;七星紅葡萄氣泡香檳飲料750ml:七星紅葡萄氣泡;2021-08-02;2021-08-20;19;6;13;22,000000;2;0,950000;10000;with_replacement;88;2,374000;8;5,626000;8
10002039001;七星白葡萄汽泡香檳飲料750 ml;2021-08-20;2021-08-20;1;1;0;24,000000;2;0,950000;10000;with_replacement;89;48,000000;48;0,000000;48
10002040001;芬達橘子汽水2L:芬達橘子汽水;2021-08-01;2021-08-21;21;20;1;493,000000;2;0,950000;10000;with_replacement;90;46,830400;127;80,169600;127
10002045001;黑松加鹽沙士2L;2021-08-01;2021-08-21;21;21;0;845,000000;2;0,950000;10000;with_replacement;91;80,209900;177;96,790100;177
10002046001;金車麥根沙士can330ml;2021-08-01;2021-08-21;21;18;3;2658,000000;2;0,950000;10000;with_replacement;92;250,334400;498;247,665600;498
10002051001;維他露P 2L;2021-08-19;2021-08-21;3;3;0;45,000000;2;0,950000;10000;with_replacement;93;30,125400;42;11,874600;42
10002069001;金車麥根沙士Pet 2000ml:麥根沙士2000ml;2021-08-01;2021-08-21;21;20;1;176,000000;2;0,950000;10000;with_replacement;94;16,647200;35;18,352800;35
10002071001;金車奧利多水Pet585ml:奧利多水585ml;2021-08-01;2021-08-21;21;21;0;920,000000;2;0,950000;10000;with_replacement;95;87,340400;144;56,659600;144
10002072001;金車奧利多水Pet2000ml;2021-08-01;2021-08-21;21;18;3;193,000000;2;0,950000;10000;with_replacement;96;18,555100;46;27,444900;46
10002073001;微舒打葡萄can320ml:微舒打葡萄;2021-08-10;2021-08-21;12;12;0;828,000000;2;0,950000;10000;with_replacement;97;137,475000;246;108,525000;246
10002074001;蘋果西打1250ml;2021-08-01;2021-08-21;21;21;0;350,000000;2;0,950000;10000;with_replacement;98;33,425200;65;31,574800;65
10002078001;金車冰淇淋汽水Pet 2000ml;2021-08-12;2021-08-20;9;5;4;66,000000;2;0,950000;10000;with_replacement;99;14,736000;36;21,264000;36
10002102001;維大力零熱量汽水 330ml;2021-08-01;2021-08-21;21;21;0;10434,000000;2;0,950000;10000;with_replacement;100;992,282400;1812;819,717600;1812
10002899001;黑松加鹽沙士330 ml:CAN330ml黑松加;2021-08-03;2021-08-12;10;3;7;36,000000;2;0,950000;10000;with_replacement;101;7,347600;30;22,652400;30
10002906001;美粒果蘋果蘇打Pet 500ml:蘋果蘇打500ml;2021-08-01;2021-08-20;20;19;1;754,000000;2;0,950000;10000;with_replacement;102;75,812200;140;64,187800;140
10002911001;樹頂蘋果氣泡飲320ml;2021-08-20;2021-08-20;1;1;0;6,000000;2;0,950000;10000;with_replacement;103;12,000000;12;0,000000;12
10002916001;美粒果蘋果蘇打1250ml:蘋果蘇打 1.25L;2021-08-01;2021-08-21;21;10;11;146,000000;2;0,950000;10000;with_replacement;104;13,980800;36;22,019200;36
10002918001;維大力蘋果風味氣水2000ml:維大力蘋果 2L;2021-08-13;2021-08-20;8;3;5;26,000000;2;0,950000;10000;with_replacement;105;6,451200;20;13,548800;20
10002919001;維大力白葡萄風味氣水2000ml;2021-08-12;2021-08-21;10;9;1;130,000000;2;0,950000;10000;with_replacement;106;26,156500;62;35,843500;62
