item_code;product_name;history_days;lead_time_days;service_level;bootstrap_repetitions;resampling_method;evaluation_status;train_days;test_days;number_of_test_cases;evaluation_reorder_point;evaluation_mean_lead_time_demand;evaluation_safety_stock;achieved_csl;shortage_units;fill_rate;total_actual_lead_time_demand
10000001001;可口可樂Zero 600ml;20;2;0,950000;10000;with_replacement;ok;16,000000;4,000000;3,000000;68,000000;21,184300;46,815700;1,000000;0,000000;1,000000;22,000000
10000002001;可口可樂2L;21;2;0,950000;10000;with_replacement;ok;16,000000;5,000000;4,000000;1639,000000;488,686800;1150,313200;0,500000;3000,000000;0,653380;8655,000000
10000003001;百事可樂330ml;21;2;0,950000;10000;with_replacement;ok;16,000000;5,000000;4,000000;396,000000;275,421600;120,578400;1,000000;0,000000;1,000000;1008,000000
10000004001;百事可樂2L;21;2;0,950000;10000;with_replacement;ok;16,000000;5,000000;4,000000;390,000000;154,004500;235,995500;0,750000;81,000000;0,937063;1287,000000
10000005001;可口可樂330ml;21;2;0,950000;10000;with_replacement;ok;16,000000;5,000000;4,000000;1896,000000;858,273000;1037,727000;0,250000;1752,000000;0,797222;8640,000000
10000007001;可口可樂 Zero 330ml;21;2;0,950000;10000;with_replacement;ok;16,000000;5,000000;4,000000;804,000000;586,555200;217,444800;1,000000;0,000000;1,000000;1782,000000
10000008001;可口可樂纖維+ 1250ml:可樂纖維+ 1.25L;12;2;0,950000;10000;with_replacement;ok;9,000000;3,000000;2,000000;24,000000;7,788000;16,212000;1,000000;0,000000;1,000000;24,000000
10000010001;可口可樂 Zero 2L;21;2;0,950000;10000;with_replacement;ok;16,000000;5,000000;4,000000;315,000000;162,981000;152,019000;1,000000;0,000000;1,000000;714,000000
10000011001;可口可樂 Can 250 ml;21;2;0,950000;10000;with_replacement;ok;16,000000;5,000000;4,000000;5640,000000;2924,637600;2715,362400;0,250000;39864,000000;0,359429;62232,000000
10000012001;可口可樂Pet 600ml;20;2;0,950000;10000;with_replacement;ok;16,000000;4,000000;3,000000;296,000000;164,100800;131,899200;1,000000;0,000000;1,000000;376,000000
10000022001;可口可樂1250ml:可口可樂;21;2;0,950000;10000;with_replacement;ok;16,000000;5,000000;4,000000;59,000000;29,157500;29,842500;0,750000;11,000000;0,928571;154,000000
10000023001;百事可樂 - 600ml;21;2;0,950000;10000;with_replacement;ok;16,000000;5,000000;4,000000;24,000000;9,964400;14,035600;0,750000;12,000000;0,812500;64,000000
10000027001;可口可樂纖維+ Pet 600ml;21;2;0,950000;10000;with_replacement;ok;16,000000;5,000000;4,000000;256,000000;132,152800;123,847200;1,000000;0,000000;1,000000;372,000000
10000998001;可樂雪碧350ml*12入組:可樂雪碧12入;21;2;0,950000;10000;with_replacement;ok;16,000000;5,000000;4,000000;124,000000;69,219200;54,780800;0,250000;83,000000;0,840996;522,000000
10001001001;七喜汽水2L;21;2;0,950000;10000;with_replacement;ok;16,000000;5,000000;4,000000;239,000000;81,299900;157,700100;1,000000;0,000000;1,000000;382,000000
10001004001;雪碧汽水2L;21;2;0,950000;10000;with_replacement;ok;16,000000;5,000000;4,000000;399,000000;204,936500;194,063500;0,500000;519,000000;0,718394;1843,000000
10001005001;七喜汽水330ml;21;2;0,950000;10000;with_replacement;ok;16,000000;5,000000;4,000000;330,000000;161,901000;168,099000;0,750000;90,000000;0,895833;864,000000
10001006001;雪碧汽水330ml;21;2;0,950000;10000;with_replacement;ok;16,000000;5,000000;4,000000;1272,000000;878,016000;393,984000;0,500000;354,000000;0,931949;5202,000000
10001007001;黑松汽水-600毫升;20;2;0,950000;10000;with_replacement;ok;16,000000;4,000000;3,000000;80,000000;20,303200;59,696800;1,000000;0,000000;1,000000;36,000000
10001008001;黑松汽水2L:黑松汽水;21;2;0,950000;10000;with_replacement;ok;16,000000;5,000000;4,000000;85,000000;42,995600;42,004400;0,750000;29,000000;0,894928;276,000000
10001009001;黑松沙士245ml;21;2;0,950000;10000;with_replacement;ok;16,000000;5,000000;4,000000;1872,000000;1212,513600;659,486400;0,000000;10632,000000;0,413245;18120,000000
10001010001;雪碧汽水1250ml:雪碧汽水;14;2;0,950000;10000;with_replacement;ok;11,000000;3,000000;2,000000;24,000000;8,626800;15,373200;1,000000;0,000000;1,000000;24,000000
10001012001;雪碧汽水Can 250 ml;21;2;0,950000;10000;with_replacement;ok;16,000000;5,000000;4,000000;1608,000000;1128,722400;479,277600;0,000000;5736,000000;0,528600;12168,000000
10001015001;雪碧汽水600ml:雪碧汽水寶特瓶;21;2;0,950000;10000;with_replacement;ok;16,000000;5,000000;4,000000;152,000000;64,721200;87,278800;1,000000;0,000000;1,000000;140,000000
10001020001;黑松CC檸檬氣泡飲can 330ml:黑松CC檸檬氣;21;2;0,950000;10000;with_replacement;ok;16,000000;5,000000;4,000000;330,000000;167,945400;162,054600;0,750000;18,000000;0,975410;732,000000
10001022001;黑松CC檸檬氣泡飲PET 500ml:黑松CC檸檬氣;21;2;0,950000;10000;with_replacement;ok;16,000000;5,000000;4,000000;208,000000;115,586400;92,413600;1,000000;0,000000;1,000000;408,000000
10001025001;黑松汽水Can 245ml:黑松汽水245ml;21;2;0,950000;10000;with_replacement;ok;16,000000;5,000000;4,000000;1224,000000;860,515200;363,484800;1,000000;0,000000;1,000000;3648,000000
10001035001;黑松CC氣泡飲葡萄 500ml;21;2;0,950000;10000;with_replacement;ok;16,000000;5,000000;4,000000;148,000000;73,570000;74,430000;1,000000;0,000000;1,000000;176,000000
10002001001;維他露P 250ml;21;2;0,950000;10000;with_replacement;ok;16,000000;5,000000;4,000000;1296,000000;882,501600;413,498400;1,000000;0,000000;1,000000;4152,000000
10002003001;黑松加鹽沙士600 ml:PET600加鹽沙士;21;2;0,950000;10000;with_replacement;ok;16,000000;5,000000;4,000000;352,000000;198,777200;153,222800;1,000000;0,000000;1,000000;836,000000
10002005001;蘋果西打330ml;21;2;0,950000;10000;with_replacement;ok;16,000000;5,000000;4,000000;750,000000;467,204400;282,795600;1,000000;0,000000;1,000000;2346,000000
10002007001;芬達橘子汽水330ml:芬達汽水;21;2;0,950000;10000;with_replacement;ok;16,000000;5,000000;4,000000;360,000000;228,497400;131,502600;0,500000;18,000000;0,986547;1338,000000
10002008001;加鹽黑松沙士Can245ml;21;2;0,950000;10000;with_replacement;ok;16,000000;5,000000;4,000000;2856,000000;1064,464800;1791,535200;0,750000;1872,000000;0,819861;10392,000000
10002009001;黑松沙士600 ml:黑松沙士;21;2;0,950000;10000;with_replacement;ok;16,000000;5,000000;4,000000;748,000000;370,600400;377,399600;0,750000;56,000000;0,974359;2184,000000
10002011001;金車麥根沙士PET585ml;21;2;0,950000;10000;with_replacement;ok;16,000000;5,000000;4,000000;12,000000;2,562400;9,437600;0,250000;32,000000;0,555556;72,000000
