item_id,item_code,item_class_alphabetical,index_class_priority,composite,stability,variability,importance,box_length,box_width,box_height,box_volume,box_weight,number_of_item_in_a_box,item_volume,item_weight,item_unit,item_quantity_order_unique,item_warehouse_inventory_level,item_class,item_name,item_initial_inventory,item_quantity_order_unique_frequency,total_demand,daily_mean,daily_std,daily_freq_mean,total_order_freq,cv2,adi,composite_metric
0,10001007001,AY,0,13.2871972318339,0.80952380952381,2.16742621527778,0.00102329914415374,42,28,24,28224,15.97,24,1176,0.665416666666667,PCS,"[4, 8, 12, 16, 20, 24]",0.7,7,黑松汽水-600毫升,217,"[11, 2, 2, 1, 1, 3]",192,11.2941176470588,16.6274047354148,1.17647058823529,20,2.16742621527778,1.23529411764706,13.2871972318339
1,12200006001,AY,0,115.570105067026,6.61904761904762,3.98088589480303,0.00519206851966217,21,9,31,5859,1,1,5859,1,PCS,"[6, 12, 18, 24, 30, 36, 42, 48, 54, 60, 96, 108, 240]",0.7,7,舒潔平版式衛生紙,1818,"[27, 44, 4, 2, 4, 4, 5, 95, 1, 1, 19, 1, 10]",10290,74.0287769784173,147.703381887339,1.56115107913669,217,3.98088589480303,0.151079136690648,115.570105067026
2,10034016001,AY,0,27.906976744186,2.04761904761905,0.893333333333333,0.00132879707784309,43,29,25,31175,15.434,24,1299,0.643083333333333,PCS,"[4, 8, 16, 24, 32, 48]",0.7,7,波蜜靠茶四季青茶580ml,275,"[1, 33, 9, 14, 2, 1]",860,20,18.9032625050104,1.3953488372093,60,0.893333333333333,0.488372093023256,27.906976744186
3,14500026001,AY,0,10.977366255144,7.71428571428572,1.00273772501418,0.00157444409243469,43,28,17,20468,1.3,12,1705.7,0.108333333333333,PCS,"[3, 6, 9, 12, 15, 21, 24]",0.7,7,味味A冬菜鴨肉冬粉(碗) 60g,129,"[101, 34, 4, 41, 1, 1, 16]",1455,8.98148148148148,8.99376749155778,1.22222222222222,198,1.00273772501418,0.12962962962963,10.977366255144
4,10035021001,AY,0,64.216574482485,9.85714285714286,3.99152068933503,0.0048787926145712,41,27,24,26568,13.91,24,1107,0.579583333333333,PCS,"[1, 3, 4, 7, 8, 9, 12, 15, 16, 24, 32, 33, 36, 39, 44, 48, 61, 64, 72, 120, 480, 960]",0.7,7,Asahi 十六茶 530ml,1104,"[1, 1, 49, 1, 23, 1, 3, 1, 6, 130, 1, 1, 1, 1, 1, 61, 1, 2, 4, 5, 1, 1]",9296,44.9082125603865,89.7211769451372,1.42995169082126,296,3.99152068933503,0.101449275362319,64.216574482485
5,14501047001,AY,0,15.286475855287,6.61904761904762,1.40041857601832,0.0018674704933373,40,31,14,17360,3.28,30,578.7,0.109333333333333,PCS,"[5, 10, 15, 20, 25, 30, 60]",0.7,7,味味A香辣牛肉麵(袋) 83g,209,"[103, 31, 2, 2, 1, 23, 3]",1790,12.8776978417266,15.2393752162122,1.18705035971223,165,1.40041857601832,0.151079136690648,15.286475855287
6,10034036001,AY,0,41.2146694214876,10.4761904761905,0.943382477624221,0.00265530556051681,35,20,11,7700,6.65,24,320.8,0.277083333333333,PCS,"[6, 12, 18, 24, 36, 42, 48]",0.7,7,泰山冰鎮葡萄鮮冰茶 250ml,431,"[86, 14, 2, 133, 2, 1, 57]",6762,30.7363636363636,29.8535779190763,1.34090909090909,295,0.943382477624221,0.0954545454545454,41.2146694214876
7,10030013001,AY,0,46.8139277076055,11.6190476190476,0.80551980612072,0.00272065900396671,35,20,11,7700,6.58,24,320.8,0.274166666666667,PCS,"[6, 12, 18, 24, 30, 36, 42, 48, 72, 96]",0.7,7,開喜凍頂烏龍茶微糖TP 250ml,434,"[91, 22, 7, 166, 3, 2, 4, 50, 2, 2]",7986,32.7295081967213,29.3749807838819,1.43032786885246,349,0.80551980612072,0.0860655737704918,46.8139277076055
8,10021008001,AY,0,134.059792763717,19.3333333333334,1.54375089022568,0.00568670895967139,35,20,11,7700,6.58,24,320.8,0.274166666666667,PCS,"[6, 12, 18, 24, 30, 48, 72, 96, 144, 624, 720]",0.7,7,舒跑TP250ml,1177,"[3, 1, 3, 442, 2, 302, 13, 8, 1, 1, 1]",28440,70.0492610837438,87.0346463548817,1.91379310344828,777,1.54375089022568,0.0517241379310344,134.059792763717
9,10031025001,AY,0,31.4878892733564,5.66666666666667,0.881699786523776,0.00193373734610323,43,29,25,31175,15.43,24,1299,0.642916666666667,PCS,"[4, 8, 12, 16, 20, 24, 32, 40, 48, 56]",0.7,7,波蜜靠茶極品紅茶580ml,293,"[6, 88, 7, 33, 2, 23, 9, 3, 2, 2]",2548,21.4117647058824,20.1054051947695,1.47058823529412,175,0.881699786523776,0.176470588235294,31.4878892733564
