item_id,current_global_qty,max_global_qty,global_inv_level
0,240,240,1.0
1,1820,1820,1.0
2,288,288,1.0
3,132,132,1.0
4,1104,1104,1.0
5,210,210,1.0
6,432,432,1.0
7,576,576,1.0
8,1200,1200,1.0
9,312,312,1.0
10,216,216,1.0
11,1980,1980,1.0
12,528,528,1.0
13,288,288,1.0
14,240,240,1.0
15,240,240,1.0
16,696,696,1.0
17,672,672,1.0
18,150,150,1.0
19,240,240,1.0
20,432,432,1.0
21,1248,1248,1.0
22,288,288,1.0
23,672,672,1.0
24,456,456,1.0
25,456,456,1.0
26,432,432,1.0
27,672,672,1.0
28,384,384,1.0
29,510,510,1.0
30,192,192,1.0
31,480,480,1.0
32,144,144,1.0
33,342,342,1.0
34,576,576,1.0
35,192,192,1.0
36,336,336,1.0
37,744,744,1.0
38,432,432,1.0
39,4896,4896,1.0
40,120,120,1.0
41,288,288,1.0
42,576,576,1.0
43,768,768,1.0
44,336,336,1.0
45,576,576,1.0
46,264,264,1.0
47,480,480,1.0
48,768,768,1.0
49,360,360,1.0
50,768,768,1.0
51,1181,1181,1.0
52,720,720,1.0
53,540,540,1.0
54,264,264,1.0
55,480,480,1.0
56,984,984,1.0
57,624,624,1.0
58,1296,1296,1.0
59,672,672,1.0
60,672,672,1.0
61,1008,1008,1.0
62,480,480,1.0
63,5442,5442,1.0
64,96,96,1.0
65,1008,1008,1.0
66,288,288,1.0
67,432,432,1.0
68,1992,1992,1.0
69,144,144,1.0
70,288,288,1.0
71,936,936,1.0
72,576,576,1.0
73,336,336,1.0
74,560,560,1.0
75,1278,1278,1.0
76,360,360,1.0
77,192,192,1.0
78,192,192,1.0
79,624,624,1.0
80,156,156,1.0
81,576,576,1.0
82,1728,1728,1.0
83,864,864,1.0
84,288,288,1.0
85,720,720,1.0
86,288,288,1.0
87,720,720,1.0
88,768,768,1.0
89,432,432,1.0
90,240,240,1.0
91,384,384,1.0
92,816,816,1.0
93,2434,2434,1.0
94,2208,2208,1.0
95,288,288,1.0
96,984,984,1.0
97,300,300,1.0
98,576,576,1.0
99,672,672,1.0
100,576,576,1.0
101,768,768,1.0
102,1267,1267,1.0
103,1248,1248,1.0
104,576,576,1.0
105,192,192,1.0
106,264,264,1.0
107,336,336,1.0
108,444,444,1.0
109,288,288,1.0
110,192,192,1.0
111,912,912,1.0
112,288,288,1.0
113,384,384,1.0
114,672,672,1.0
115,360,360,1.0
116,168,168,1.0
117,159,159,1.0
118,40,40,1.0
119,96,96,1.0
120,36,36,1.0
121,60,60,1.0
122,213,213,1.0
123,52,52,1.0
124,81,81,1.0
125,96,96,1.0
126,1300,1300,1.0
127,60,60,1.0
128,120,120,1.0
129,84,84,1.0
130,24,24,1.0
131,48,48,1.0
132,48,48,1.0
133,144,144,1.0
134,24,24,1.0
135,30,30,1.0
136,192,192,1.0
137,72,72,1.0
138,168,168,1.0
139,72,72,1.0
140,36,36,1.0
141,72,72,1.0
142,132,132,1.0
143,24,24,1.0
144,84,84,1.0
145,192,192,1.0
146,48,48,1.0
147,112,112,1.0
148,255,255,1.0
149,112,112,1.0
150,120,120,1.0
151,96,96,1.0
152,48,48,1.0
153,120,120,1.0
154,48,48,1.0
155,144,144,1.0
156,60,60,1.0
157,100,100,1.0
158,65,65,1.0
159,60,60,1.0
160,60,60,1.0
161,216,216,1.0
162,42,42,1.0
163,72,72,1.0
164,36,36,1.0
165,100,100,1.0
166,34,34,1.0
167,60,60,1.0
168,168,168,1.0
169,24,24,1.0
170,40,40,1.0
171,48,48,1.0
172,36,36,1.0
173,72,72,1.0
174,150,150,1.0
175,100,100,1.0
176,36,36,1.0
177,96,96,1.0
178,192,192,1.0
179,40,40,1.0
180,30,30,1.0
181,72,72,1.0
182,120,120,1.0
183,384,384,1.0
184,72,72,1.0
185,120,120,1.0
186,48,48,1.0
187,28,28,1.0
188,30,30,1.0
189,30,30,1.0
190,60,60,1.0
191,70,70,1.0
192,54,54,1.0
193,36,36,1.0
194,60,60,1.0
195,36,36,1.0
196,32,32,1.0
197,48,48,1.0
198,804,804,1.0
199,120,120,1.0
200,48,48,1.0
201,36,36,1.0
202,48,48,1.0
203,24,24,1.0
204,60,60,1.0
205,60,60,1.0
206,48,48,1.0
207,40,40,1.0
208,24,24,1.0
209,48,48,1.0
210,432,432,1.0
211,48,48,1.0
212,60,60,1.0
213,48,48,1.0
214,38,38,1.0
215,36,36,1.0
216,64,64,1.0
217,216,216,1.0
218,135,135,1.0
219,24,24,1.0
220,60,60,1.0
221,20,20,1.0
222,220,220,1.0
223,40,40,1.0
224,54,54,1.0
225,132,132,1.0
