sequence_id,order_id,order_type,item_id,item_quantity,order_arrival
0,-49,1,799,8,0
1,-48,1,762,4,0
2,-48,1,805,6,0
3,-48,1,785,4,0
4,-47,1,737,10,0
5,-46,1,799,11,0
6,-46,1,813,4,0
7,-45,1,799,6,0
8,-44,1,742,2,0
9,-44,1,767,7,0
10,-44,1,760,8,0
11,-43,1,799,3,0
12,-42,1,799,6,0
13,-41,1,746,5,0
14,-40,1,743,4,0
15,-38,1,775,4,0
16,-37,1,764,12,0
17,-36,1,785,11,0
18,-35,1,768,4,0
19,-33,1,762,2,0
20,-33,1,775,10,0
21,-33,1,770,8,0
22,-33,1,761,4,0
23,-32,1,767,11,0
24,-31,1,748,4,0
25,-31,1,790,11,0
26,-31,1,818,11,0
27,-30,1,774,3,0
28,-29,1,768,7,0
29,-28,1,822,6,0
30,-27,1,808,6,0
31,-27,1,746,12,0
32,-26,1,758,9,0
33,-26,1,749,7,0
34,-25,1,820,4,0
35,-25,1,785,6,0
36,-25,1,771,8,0
37,-25,1,752,4,0
38,-25,1,803,6,0
39,-25,1,804,6,0
40,-25,1,795,4,0
41,-24,1,757,6,0
42,-24,1,754,3,0
43,-24,1,744,9,0
44,-24,1,771,2,0
45,-23,1,816,6,0
46,-23,1,758,1,0
47,-22,1,816,8,0
48,-22,1,746,7,0
49,-21,1,740,11,0
50,-20,1,802,4,0
51,-20,1,770,6,0
52,-20,1,754,8,0
53,-20,1,795,11,0
54,-20,1,822,8,0
55,-20,1,790,8,0
56,-20,1,742,4,0
57,-19,1,768,8,0
58,-17,1,782,5,0
59,-17,1,762,5,0
60,-17,1,785,8,0
61,-17,1,768,1,0
62,-16,1,760,8,0
63,-14,1,764,6,0
64,-14,1,818,2,0
65,-14,1,814,1,0
66,-14,1,793,8,0
67,-14,1,757,2,0
68,-14,1,799,5,0
69,-13,1,789,11,0
70,-13,1,805,4,0
71,-13,1,764,8,0
72,-13,1,756,4,0
73,-13,1,754,6,0
74,-13,1,742,10,0
75,-13,1,762,7,0
76,-13,1,785,8,0
77,-12,1,746,8,0
78,-11,1,771,10,0
79,-11,1,813,6,0
80,-11,1,799,7,0
81,-11,1,744,6,0
82,-11,1,784,6,0
83,-11,1,739,4,0
84,-11,1,776,5,0
85,-10,1,822,8,0
86,-8,1,769,4,0
87,-8,1,747,8,0
88,-8,1,785,7,0
89,-5,1,822,3,0
90,-5,1,742,10,0
91,-5,1,764,7,0
92,-2,1,742,5,0
93,-2,1,781,2,0
