pod_id,pod_type,slot_id,slot_type,item,unusedColumn1,unusedColumn2,unusedColumn3,qty,max_qty,due_date,facing,pick_ind,slot_sequence,item_weight,total_item_weight,item_pod_inventory_level,item_warehouse_inventory_level
0,0,0,0,70,0,0,0,24,24,99999,0,0,0,0.437,10.488,0.5,0.5
0,0,1,0,53,0,0,0,12,12,99999,0,0,1,0.335,4.02,0.5,0.5
0,0,2,0,100,0,0,0,36,36,99999,0,0,2,0.345,12.42,0.5,0.5
0,0,3,0,38,0,0,0,384,384,99999,0,0,3,0.275,105.6,0.4,0.4
0,0,4,0,11,0,0,0,264,264,99999,0,0,4,0.282,74.448,0.4,0.4
0,0,5,0,67,0,0,0,12,12,99999,0,0,5,0.328,3.936,0.5,0.5
0,0,6,0,147,0,0,0,384,384,99999,0,0,6,0.276,105.984,0.5,0.5
0,0,7,0,492,0,0,0,216,216,99999,0,0,7,0.358,77.328,0.6,0.6
0,0,8,0,471,0,0,0,96,96,99999,0,0,8,0.52,49.92,0.6,0.6
0,0,9,0,13,0,0,0,96,96,99999,0,0,9,0.596,57.216,0.4,0.4
1,0,0,0,143,0,0,0,48,48,99999,0,0,10,0.25,12.0,0.5,0.5
1,0,1,0,164,0,0,0,384,384,99999,0,0,11,0.277,106.368,0.5,0.5
1,0,2,0,425,0,0,0,180,180,99999,0,0,12,0.11,19.8,0.6,0.6
1,0,3,0,162,0,0,0,24,24,99999,0,0,13,0.698,16.752,0.5,0.5
1,0,4,0,17,0,0,0,108,108,99999,0,0,14,0.176,19.008,0.4,0.4
1,0,5,0,206,0,0,0,120,120,99999,0,0,15,0.155,18.6,0.6,0.6
1,0,6,0,381,0,0,0,8,8,99999,0,0,16,1.0,8.0,0.6,0.6
1,0,7,0,18,0,0,0,30,30,99999,0,0,17,0.333,9.99,0.4,0.4
1,0,8,0,69,0,0,0,48,48,99999,0,0,18,0.176,8.448,0.5,0.5
1,0,9,0,52,0,0,0,48,48,99999,0,0,19,0.102,4.896,0.5,0.5
2,0,0,0,417,0,0,0,36,36,99999,0,0,20,0.391,14.076,0.6,0.6
2,0,1,0,324,0,0,0,216,216,99999,0,0,21,0.38,82.08,0.6,0.6
2,0,2,0,127,0,0,0,192,192,99999,0,0,22,0.398,76.416,0.5,0.5
2,0,3,0,163,0,0,0,96,96,99999,0,0,23,0.657,63.072,0.5,0.5
2,0,4,0,497,0,0,0,30,30,99999,0,0,24,0.379,11.37,0.6,0.6
2,0,5,0,355,0,0,0,36,36,99999,0,0,25,0.383,13.788,0.6,0.6
2,0,6,0,56,0,0,0,192,192,99999,0,0,26,0.37,71.04,0.5,0.5
2,0,7,0,136,0,0,0,48,48,99999,0,0,27,0.208,9.984,0.5,0.5
2,0,8,0,198,0,0,0,288,288,99999,0,0,28,0.07,20.16,0.5,0.5
2,0,9,0,39,0,0,0,360,360,99999,0,0,29,0.276,99.36,0.4,0.4
3,0,0,0,155,0,0,0,54,54,99999,0,0,30,0.286,15.444,0.5,0.5
3,0,1,0,178,0,0,0,96,96,99999,0,0,31,0.732,70.272,0.5,0.5
3,0,2,0,56,0,0,0,192,192,99999,0,0,32,0.37,71.04,0.5,0.5
3,0,3,0,475,0,0,0,60,60,99999,0,0,33,0.871,52.26,0.6,0.6
3,0,4,0,48,0,0,0,360,360,99999,0,0,34,0.275,99.0,0.4,0.4
3,0,5,0,117,0,0,0,336,336,99999,0,0,35,0.244,81.984,0.5,0.5
3,0,6,0,108,0,0,0,210,210,99999,0,0,36,0.108,22.68,0.5,0.5
3,0,7,0,33,0,0,0,240,240,99999,0,0,37,0.409,98.16,0.4,0.4
3,0,8,0,189,0,0,0,36,36,99999,0,0,38,0.342,12.312,0.5,0.5
3,0,9,0,356,0,0,0,18,18,99999,0,0,39,1.048,18.864,0.6,0.6
4,0,0,0,69,0,0,0,48,48,99999,0,0,40,0.176,8.448,0.5,0.5
