pod_id,pod_type,face_id,slot_id,slot_type,item_id,orientation,qty,max_qty,item_weight,total_item_weight,item_class
0,0,0,0,0,222,4,24,24,0.36541666666666667,8.77,0
0,0,0,1,0,222,4,24,24,0.36541666666666667,8.77,0
0,0,0,2,0,222,4,24,24,0.36541666666666667,8.77,0
0,0,0,3,1,2772,5,4,4,1.0,4.0,0
0,0,0,4,1,2772,5,4,4,1.0,4.0,0
0,0,0,5,1,2772,5,4,4,1.0,4.0,0
0,0,0,6,2,2802,4,9,9,0.2,1.8,0
0,0,0,7,2,2802,4,9,9,0.2,1.8,0
0,0,0,8,2,2802,4,9,9,0.2,1.8,0
0,0,0,9,2,2802,4,9,9,0.2,1.8,0
0,0,0,10,2,2802,4,9,9,0.2,1.8,0
0,0,0,11,2,2802,4,9,9,0.2,1.8,0
0,0,0,12,2,2802,4,9,9,0.2,1.8,0
0,0,0,13,2,2802,4,9,9,0.2,1.8,0
0,0,0,14,3,4203,1,12,12,0.27,3.24,0
0,0,0,15,3,4203,1,12,12,0.27,3.24,0
0,0,0,16,4,4406,1,60,60,0.125,7.5,0
0,0,1,0,0,222,4,24,24,0.36541666666666667,8.77,0
0,0,1,1,0,222,4,24,24,0.36541666666666667,8.77,0
0,0,1,2,0,222,4,24,24,0.36541666666666667,8.77,0
0,0,1,3,1,2772,5,4,4,1.0,4.0,0
0,0,1,4,1,2772,5,4,4,1.0,4.0,0
0,0,1,5,1,2772,5,4,4,1.0,4.0,0
0,0,1,6,2,2802,4,9,9,0.2,1.8,0
0,0,1,7,2,2802,4,9,9,0.2,1.8,0
0,0,1,8,2,2802,4,9,9,0.2,1.8,0
0,0,1,9,2,2802,4,9,9,0.2,1.8,0
0,0,1,10,2,2802,4,9,9,0.2,1.8,0
0,0,1,11,2,2802,4,9,9,0.2,1.8,0
0,0,1,12,2,2802,4,9,9,0.2,1.8,0
0,0,1,13,2,2802,4,9,9,0.2,1.8,0
0,0,1,14,3,4203,1,12,12,0.27,3.24,0
0,0,1,15,3,4203,1,12,12,0.27,3.24,0
0,0,1,16,4,4406,1,60,60,0.125,7.5,0
1,0,0,0,0,222,4,24,24,0.36541666666666667,8.77,0
1,0,0,1,0,222,4,24,24,0.36541666666666667,8.77,0
1,0,0,2,0,222,4,24,24,0.36541666666666667,8.77,0
1,0,0,3,1,2772,5,4,4,1.0,4.0,0
1,0,0,4,1,2772,5,4,4,1.0,4.0,0
1,0,0,5,1,2772,5,4,4,1.0,4.0,0
1,0,0,6,2,2802,4,9,9,0.2,1.8,0
1,0,0,7,2,2802,4,9,9,0.2,1.8,0
1,0,0,8,2,2802,4,9,9,0.2,1.8,0
1,0,0,9,2,2802,4,9,9,0.2,1.8,0
1,0,0,10,2,2802,4,9,9,0.2,1.8,0
1,0,0,11,2,2802,4,9,9,0.2,1.8,0
1,0,0,12,2,2802,4,9,9,0.2,1.8,0
1,0,0,13,2,2802,4,9,9,0.2,1.8,0
1,0,0,14,3,4203,1,12,12,0.27,3.24,0
1,0,0,15,3,4203,1,12,12,0.27,3.24,0
1,0,0,16,4,3011,0,18,18,0.17833333333333334,3.21,1
1,0,1,0,0,222,4,24,24,0.36541666666666667,8.77,0
1,0,1,1,0,463,4,24,24,0.5795833333333333,13.91,0
1,0,1,2,0,463,4,24,24,0.5795833333333333,13.91,0
1,0,1,3,1,2772,5,4,4,1.0,4.0,0
1,0,1,4,1,2772,5,4,4,1.0,4.0,0
1,0,1,5,1,2772,5,4,4,1.0,4.0,0
1,0,1,6,2,2802,4,9,9,0.2,1.8,0
1,0,1,7,2,2802,4,9,9,0.2,1.8,0
1,0,1,8,2,2802,4,9,9,0.2,1.8,0
1,0,1,9,2,2802,4,9,9,0.2,1.8,0
1,0,1,10,2,2802,4,9,9,0.2,1.8,0
1,0,1,11,2,2802,4,9,9,0.2,1.8,0
1,0,1,12,2,2802,4,9,9,0.2,1.8,0
1,0,1,13,2,2802,4,9,9,0.2,1.8,0
1,0,1,14,3,4203,1,12,12,0.27,3.24,0
1,0,1,15,3,4203,1,12,12,0.27,3.24,0
1,0,1,16,4,3011,0,18,18,0.17833333333333334,3.21,1
2,0,0,0,0,463,4,24,24,0.5795833333333333,13.91,0
2,0,0,1,0,463,4,24,24,0.5795833333333333,13.91,0
2,0,0,2,0,463,4,24,24,0.5795833333333333,13.91,0
2,0,0,3,1,2772,5,4,4,1.0,4.0,0
2,0,0,4,1,2772,5,4,4,1.0,4.0,0
2,0,0,5,1,2772,5,4,4,1.0,4.0,0
2,0,0,6,2,2802,4,9,9,0.2,1.8,0
2,0,0,7,2,2802,4,9,9,0.2,1.8,0
2,0,0,8,2,2802,4,9,9,0.2,1.8,0
2,0,0,9,2,2802,4,9,9,0.2,1.8,0
2,0,0,10,2,2802,4,9,9,0.2,1.8,0
2,0,0,11,2,2802,4,9,9,0.2,1.8,0
2,0,0,12,2,2802,4,9,9,0.2,1.8,0
2,0,0,13,2,2802,4,9,9,0.2,1.8,0
2,0,0,14,3,4203,1,12,12,0.27,3.24,0
2,0,0,15,3,4203,1,12,12,0.27,3.24,0
2,0,0,16,4,4590,1,48,48,1.0158333333333334,48.76,1
2,0,1,0,0,463,4,24,24,0.5795833333333333,13.91,0
2,0,1,1,0,463,4,24,24,0.5795833333333333,13.91,0
2,0,1,2,0,463,4,24,24,0.5795833333333333,13.91,0
2,0,1,3,1,2772,5,4,4,1.0,4.0,0
2,0,1,4,1,2772,5,4,4,1.0,4.0,0
2,0,1,5,1,2772,5,4,4,1.0,4.0,0
2,0,1,6,2,2802,4,9,9,0.2,1.8,0
2,0,1,7,2,2802,4,9,9,0.2,1.8,0
2,0,1,8,2,2802,4,9,9,0.2,1.8,0
2,0,1,9,2,2802,4,9,9,0.2,1.8,0
2,0,1,10,2,2802,4,9,9,0.2,1.8,0
2,0,1,11,2,2802,4,9,9,0.2,1.8,0
2,0,1,12,2,2802,4,9,9,0.2,1.8,0
2,0,1,13,2,2802,4,9,9,0.2,1.8,0
2,0,1,14,3,4203,1,12,12,0.27,3.24,0
2,0,1,15,3,4203,1,12,12,0.27,3.24,0
2,0,1,16,4,4590,1,48,48,1.0158333333333334,48.76,1
3,0,0,0,0,463,4,24,24,0.5795833333333333,13.91,0
3,0,0,1,0,463,4,24,24,0.5795833333333333,13.91,0
3,0,0,2,0,463,4,24,24,0.5795833333333333,13.91,0
3,0,0,3,1,2772,5,4,4,1.0,4.0,0
3,0,0,4,1,2772,5,4,4,1.0,4.0,0
3,0,0,5,1,2772,5,4,4,1.0,4.0,0
3,0,0,6,2,2802,4,9,9,0.2,1.8,0
3,0,0,7,2,2802,4,9,9,0.2,1.8,0
3,0,0,8,2,2802,4,9,9,0.2,1.8,0
3,0,0,9,2,2802,4,9,9,0.2,1.8,0
3,0,0,10,2,2802,4,9,9,0.2,1.8,0
3,0,0,11,2,2802,4,9,9,0.2,1.8,0
3,0,0,12,2,2802,4,9,9,0.2,1.8,0
3,0,0,13,2,2802,4,9,9,0.2,1.8,0
3,0,0,14,3,4203,1,12,12,0.27,3.24,0
3,0,0,15,3,4203,1,12,12,0.27,3.24,0
