pod,slot,item,quantity_in_that_slot
1,1,10000008001,8
1,2,10000008001,8
1,3,10000008001,8
1,4,10023093001,7
1,5,10031911001,22
1,6,10031911001,22
1,7,10031911001,22
1,8,10031911001,22
1,9,10031911001,8
1,10,10052015001,4
1,11,11010112001,3
1,12,11030062001,5
1,13,11042005001,5
1,14,11061011001,2
1,15,11076896001,2
1,16,11103136001,7
1,17,11103136001,6
1,18,12005003004,7
1,19,12011179001,4
1,20,12020196001,2
1,21,12103030001,9
1,22,12103030001,2
1,23,12201110001,1
1,24,12201110001,1
1,25,12201110001,1
1,26,12201110001,1
1,27,12201110001,1
1,28,12201110001,1
1,29,12201110001,1
1,30,12201110001,1
1,31,12201110001,1
1,32,12201110001,1
1,33,12201110001,1
1,34,12201110001,1
1,35,12201110001,1
1,36,12201110001,1
1,37,12201110001,1
1,38,12201110001,1
1,39,12201110001,1
1,40,12201110001,1
2,1,10000003001,11
2,2,10000003001,10
2,3,10022006001,19
2,4,10022006001,19
2,5,10022006001,19
2,6,10022006001,19
2,7,10022006001,4
2,8,10035021001,5
2,9,10035021001,5
2,10,10035021001,5
2,11,10035021001,5
2,12,10035021001,5
2,13,10035021001,5
2,14,10035021001,5
2,15,10035021001,5
2,16,10035021001,5
2,17,10035021001,5
2,18,10035021001,5
2,19,10035021001,5
2,20,10035021001,5
2,21,10035021001,5
2,22,10035021001,5
2,23,10035021001,5
2,24,10035021001,5
2,25,10035021001,5
2,26,10035021001,5
2,27,10035021001,5
2,28,10035021001,5
2,29,10035021001,5
2,30,10035021001,5
2,31,10035021001,5
2,32,10035021001,5
2,33,10035021001,2
2,34,14203089001,3
2,35,14222043001,4
2,36,14241004001,2
2,37,14244906001,6
2,38,30450013001,3
2,39,30450013001,1
2,40,31623898001,3
3,1,10000001001,5
3,2,10000001001,5
3,3,10000001001,5
3,4,10000001001,5
3,5,10000001001,4
3,6,10033053001,8
3,7,10033053001,8
3,8,10033053001,8
3,9,10033053001,8
3,10,10052004001,2
3,11,11020002001,3
3,12,11020002001,2
3,13,11041031001,2
3,14,11061023001,3
3,15,11100011001,4
3,16,11103220001,5
3,17,11103220001,1
3,18,12005082004,1
3,19,12011189001,4
3,20,12011189001,2
3,21,12103026001,6
3,22,12103026001,2
3,23,12201084001,1
3,24,12201084001,1
3,25,12201084001,1
3,26,14001085001,2
3,27,14010062001,5
3,28,14011034001,4
3,29,14011034001,1
3,30,14102026001,5
3,31,14110145001,2
3,32,14121017001,4
3,33,14133029001,3
3,34,14133029001,3
3,35,14133029001,1
3,36,14241030001,4
3,37,14244896001,7
3,38,14244896001,7
3,39,14244896001,6
3,40,31628003001,4
4,1,10000005001,11
4,2,10000005001,11
4,3,10000005001,11
4,4,10000005001,11
4,5,10000005001,11
4,6,10000005001,11
4,7,10000005001,10
4,8,10035028001,28
4,9,10040039001,10
4,10,10040039001,4
4,11,11020010001,8
4,12,11030079001,4
4,13,11042007001,4
4,14,11061015001,2
4,15,11100001001,6
4,16,11100001001,6
4,17,11100001001,4
4,18,12005056004,3
4,19,12011213001,2
4,20,12020260001,1
4,21,12103027001,5
4,22,12103027001,5
4,23,12103027001,5
4,24,12103027001,5
4,25,12103027001,3
4,26,14001090001,1
4,27,14001090001,1
4,28,14001090001,1
4,29,14001090001,1
4,30,14001090001,1
4,31,14001090001,1
4,32,14001090001,1
4,33,14001090001,1
4,34,14204052001,5
4,35,14222048001,15
4,36,14222048001,3
4,37,14244062001,3
4,38,30450006001,3
4,39,30450006001,1
4,40,31623006001,5
5,1,10000004001,7
5,2,10000004001,7
5,3,10000004001,7
5,4,10000004001,7
5,5,10000004001,7
5,6,10000004001,7
5,7,10000004001,7
5,8,10000004001,7
5,9,10000004001,1
5,10,10052014001,9
5,11,10052014001,3
5,12,11030128001,10
5,13,11042008001,4
5,14,11061030001,4
5,15,11100003001,6
5,16,11103188002,1
5,17,12000016001,3
5,18,12005082003,2
5,19,12011216001,2
5,20,12020264001,2
5,21,12103029001,6
5,22,12103029001,3
5,23,12201110001,1
5,24,12201110001,1
5,25,12201110001,1
5,26,12201110001,1
5,27,12201110001,1
5,28,12201110001,1
5,29,12201110001,1
5,30,12201110001,1
5,31,12201110001,1
5,32,12201110001,1
5,33,12201110001,1
5,34,12201110001,1
5,35,12201110001,1
5,36,12201110001,1
5,37,12201110001,1
5,38,12201110001,1
5,39,12201110001,1
5,40,12201110001,1
6,1,10000002001,7
6,2,10000002001,7
6,3,10000002001,7
6,4,10000002001,7
6,5,10000002001,7
6,6,10000002001,7
6,7,10000002001,7
6,8,10000002001,7
6,9,10000002001,7
6,10,10000002001,7
6,11,10000002001,5
6,12,11030096001,2
6,13,11042006001,3
6,14,11061028001,1
6,15,11100017001,4
6,16,11103191001,1
6,17,12000089001,2
6,18,12005056001,6
6,19,12011196001,1
6,20,12020240001,2
6,21,12103031001,2
6,22,12121059001,4
6,23,12201104001,1
6,24,12201104001,1
6,25,12201104001,1
6,26,12201104001,1
6,27,12201104001,1
6,28,12201104001,1
6,29,12201104001,1
6,30,12201104001,1
6,31,12201104001,1
6,32,12201104001,1
6,33,12201104001,1
6,34,12201104001,1
6,35,12201104001,1
6,36,12201104001,1
6,37,12201104001,1
6,38,12201104001,1
6,39,12201104001,1
6,40,12201104001,1
7,1,10000007001,11
7,2,10000007001,7
7,3,10021040001,6
7,4,10021040001,6
7,5,10021040001,6
7,6,10021040001,6
7,7,10034031001,10
7,8,10034031001,10
7,9,10034031001,10
7,10,10034031001,10
7,11,10034031001,8
7,12,11030183002,4
7,13,11042020001,3
7,14,11061049001,4
7,15,11061049001,2
7,16,11103196001,5
7,17,11103196001,1
7,18,12005056002,2
7,19,12011230001,2
7,20,12020217001,6
7,21,12103099001,6
7,22,12121087001,5
7,23,12201064001,1
7,24,12201064001,1
7,25,12201064001,1
7,26,12201064001,1
7,27,12201064001,1
7,28,12201064001,1
7,29,12201064001,1
7,30,12201064001,1
7,31,12201064001,1
7,32,12201064001,1
7,33,12201064001,1
7,34,12201064001,1
7,35,12201064001,1
7,36,12201064001,1
7,37,12201064001,1
7,38,12201064001,1
7,39,12201064001,1
7,40,12201064001,1
8,1,10000011001,13
8,2,10000011001,13
8,3,10000011001,13
8,4,10000011001,13
8,5,10000011001,13
8,6,10000011001,13
8,7,10000011001,13
8,8,10000011001,13
8,9,10000011001,13
8,10,10000011001,13
8,11,10000011001,13
8,12,10000011001,13
8,13,10000011001,13
8,14,10000011001,13
8,15,10000011001,13
8,16,10000011001,13
8,17,10000011001,13
8,18,10000011001,13
8,19,10000011001,13
8,20,10000011001,5
8,21,12103047001,3
8,22,12121048001,6
8,23,12201103001,1
8,24,12201103001,1
8,25,12201103001,1
8,26,12201103001,1
8,27,12201103001,1
8,28,12201103001,1
8,29,12201103001,1
8,30,12201103001,1
8,31,12201103001,1
8,32,12201103001,1
8,33,12201103001,1
8,34,12201103001,1
8,35,12201103001,1
8,36,12201103001,1
